poi,poi_category
d_computer,consumer_shopping
d_post_secondary,education
d_warehouse,services
d_bar,night_economy
d_alcohol,night_economy
d_veterinary,healthcare
d_clinic,healthcare
d_houseware,consumer_shopping
d_electronics,consumer_shopping
d_car_wash,transit
d_money_exchange_transfer,financial
d_post_depot,public
d_fuel,transit
d_hospital,healthcare
d_car_repair,services
d_laundry,transit
d_grave_yard,public
d_lawyer,services
d_doctors,services
d_car,financial
d_accountant,services
d_bank,financial
d_beauty,consumer_shopping
d_clothes,consumer_shopping
d_bakery,consumer_shopping
d_charging_station,transit
d_estate_agent,services
d_social_facility,public
d_library,public
d_post_office,public
d_dentist,services
d_community_centre,public
d_toilets,public
d_garages,services
d_garage,services
d_atm,financial
d_pub,night_economy
d_hairdresser,consumer_shopping
d_pharmacy,healthcare
d_restaurant,night_economy
d_convenience,consumer_shopping
d_cafe,consumer_shopping
d_park,public
d_place_of_worship,place_of_worship
d_school,education
d_bicycle_parking,transit
d_parking,transit
