Count ,Camera,Zone,Location
1,AX87,Apex Cornor,Northway Circus. O/S 635 Watford Way Northbound Carriageway
2,AX88,Apex Cornor,Northway Circus (Central footways in pedestrian underpass). 
3,AX89,Apex Cornor,Northway Circus. Watford Way Southbound Carriageway
4,AX90,Apex Cornor,Northway Circus. Watford Way junction with A1 Southbound (adj KFC)
5,BO128,Burnt Oak ,Montrose Avenue junction with the Greenway
6,BO130,Burnt Oak ,Orange Hill Road junction with Littlefield Road
7,BO131,Burnt Oak ,28 Orange Hill Road opposite Abbotts Road
8,BO132,Burnt Oak ,Shopping Parade o/s 223 Deansbrook Road
9,BO133,Burnt Oak ,Gold Lane. In alleyway behind shopping parade in Deansbrook Road.
10,BO169,Burnt Oak ,UNITAS building in Montrose Park near to Montrose Avenue
11,BO69,Burnt Oak ,Burnt Oak Broadway opp. Stag Lane outside Tesco's
12,BO70,Burnt Oak ,18 Watling Avenue junction with Market Lane
13,BO71,Burnt Oak ,Watling Avenue junction with Barnfield Road
14,BO72,Burnt Oak ,Market Lane / Junction Barnefiled Road 
15,BO73,Burnt Oak ,93 Watling Avenue outside Burnt Oak LT Tube Station
16,BO74,Burnt Oak ,Watling Avenue junction with Gervase Road
17,BO75,Burnt Oak ,Hilltop in centre of Watling Park
18,C76,Cricklewood ,"O/S McDonald's, 140, Cricklewood Broadway junction with Yew Grove"
19,C77,Cricklewood ,Outside 1 Cricklewood Lane (Adj to the COOP store) Just off Cricklewood Broadway
20,C79,Cricklewood ,"O/S 70, Cricklewood Lane junction with Lichfield Road"
21,CD137,Colindale,"Varley Parade, 175 Edgeware Road"
22,CD138,Colindale,4 Colin Close junction with The Hyde / Sheaveshill Avenue
23,CD146,Colindale,Colindale Ave-by roundabout adj Aerodrome Road
24,CD146.1,Colindale,Busy pedestrian area in front of Colindale tube station
25,Colindale ,Colindale ,Grahame Park Way 
26,CM39,Claremont,On traffic island at (Lamppost 52) Claremont Road j/w Clitterhouse Road 
27,CM40,Claremont,Claremont Road at minor road junction to Clitterhouse Road (Mid-point on lamppost 45) 
28,E13,Edgware,High Street junction with Whitchurch Lane
29,E139,Edgware,O/S 40 Glengall Road junction with Marlborough Avenue
30,E14,Edgware,Station Road junction with Mann's Road/Garden City
31,E15,Edgware,Station Road junction with Manor Park Crescent
32,E16,Edgware,"117 Station Road, opposite Edgware LT Station outside Santander"
33,E17,Edgware,Bakery Path (off Station Road adjacent to Paddy Power)
34,E18,Edgware,315 Hale Lane junction with Station Road / Edgwarebury Lane / Penshurst Gardens
35,E19,Edgware,Church Way adjacent to Edgware Infant School/Broadwalk Car Park
36,EB41,East Barnet ,"Russell Lane, outside The Cavalier PHN20-0BB"
37,EB42,East Barnet ,254 East Barnet  Road junction with Middle Road
38,EB43,East Barnet ,265 Church Hill Road junction with East Barnet Road
39,EB44,East Barnet ,Opposite 1 Cat Hill junction with Brookside
40,EB45,East Barnet ,Church Hill Road Car Park - by footpath lower level
41,EB46,East Barnet ,Church Hill Road Car Park - Mid-way in car park by vehicle exit route. (Behind shops)
42,EB47,East Barnet ,Church Hill Road car park footpath
43,EF114,East Finchley ,High Road junction with Park Road opposite Creighton Avenue
44,EF115,East Finchley ,High Road near Norfolk Close
45,EF116,East Finchley ,"O/S 127, High Road junction with Kitchener Road"
46,EF117,East Finchley ,87 High Road junction with Beresford Road
47,EF118,East Finchley ,84 High Road junction with Fortis Green Road & East End Road
48,EF119,East Finchley ,127 High Road junction with Diploma Avenue
49,EF120,East Finchley ,High Road opposite East Finchley LT/UG Station 
50,EF121,East Finchley ,East End Road junction with Ossulton Way
51,FC101,Finchley Central ,165 Ballards Lane junction with Wentworth Park O/S Homelike
52,FC102,Finchley Central ,122 Ballards Lane junction with Long Lane
53,FC103,Finchley Central ,87 Ballards Lane junction with Falkland Avenue
54,FC104,Finchley Central ,"46 Ballards Lane adjacent to junction of Redbourne Avenue, O/S Dreams and Barclays Bank; opposite Tesco's"
55,FC106,Finchley Central ,Ballards Lane junction with Chaville Way opposite Nether Street route to Finchley Station Tube Station
56,FC107,Finchley Central ,Regents Park Road near junction with Hendon Lane
57,FP80,Friary Park ,Friary House by Bowling Green
