Location reference,Location Description,Cont,Contravention description,Active since,Hours of operation
1,Hale Drive (Deansbrook Schools) NW7,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",20/04/2016,Mon-Fri 8am to 5pm
2,"STATION ROAD, EDGWARE, BUS STATION ENTRANCE (NORTHBOUND)",31J,Entering and stopping in a box junction when prohibited,20/02/2020,At all times
3,The Fairway (Fairway&Northway Schools) NW7,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",28/04/2016,Mon-Fri 8am to 5pm & Sat 8am to 1pm
4,Great Strand (St James Rc High School) NW9,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",22/09/2016,Mon-Fri 8am to 9:30am & 2:45pm to 4:15pm
5(a),"A5 West Hendon Broadway (NW9), Junction With Perryfield Way",31J,Entering and stopping in a box junction when prohibited,26/04/2016,At all times
5(b),"A5 West Hendon Broadway (NW9), Junction With Station Road",31J,Entering and stopping in a box junction when prohibited,20/05/2016,At all times
6,Clovelly Avenue (Colindale Primary School) NW9,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",23/09/2016,Mon-Fri 8am to 9:30am & 12pm to 1:30pm & 2:45pm to 4:15pm
7,"A5 West Hendon Broadway (NW9), Junction With Cool Oak Lane",31J,Entering and stopping in a box junction when prohibited,23/03/2016,At all times
8,"A5 Cricklewood Broadway (NW2), Junction With Kara Way",31J,Entering and stopping in a box junction when prohibited,16/03/2016,At all times
9,Thorverton Road (St Agnes' Rc School) Nw2,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",11/04/2016,Mon-Fri 8am to 6pm
10(a),"Cricklewood Lane (NW2), Junction With Superstore Access Road",31J,Entering and stopping in a box junction when prohibited,22/04/2016,At all times
10(b),Superstore Access Into Cricklewood Lane (NW11),32J,Failing to drive in the direction shown by the arrow on a blue sign,25/04/2016,At all times
10(c),Cricklewood Lane Into Oak Grove (NW11),51J,Failing to comply with a no entry restriction,23/04/2016,At all times
11(a),Finchley Road Into Rodborough Road (NW11),50R,Performing a prohibited turn: no right turn,01/07/2016,At all times
11(b),Rodborough Road Into Finchley Road (NW11),32T,Failing to proceed in the direction shown by the arrow on a blue sign: turning in the wrong direction,01/07/2016,At all times
12,Wessex Gardens NW11 (Wessex Gardens School),48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",13/10/2016,Mon-Fri 8am to 9:30am & 12pm to 1:30pm & 2:45pm to 4:15pm
13,Hill Top (Brookland Primary School) NW11,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",08/05/2017,Mon-Fri 8am to 9:30am & 2:45pm to 4:15pm
14,Childs Way (Garden Suburb Schools) NW11,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",29/04/2016,Mon-Fri 8am to 9:30am & 2:45pm to 4:15pm
15,Tilling Rd Junction Brentfield Gardens (NW2),50L,Performing a prohibited turn: no left turn,02/03/2016,At all times
16,Montagu Road (Ayesha Community School) NW4,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",17/03/2016,Mon-Fri 8am to 7pm & Sat 8am to 2pm
17,St Davids Place (Parkfield School) NW4,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",09/05/2016,Mon-Fri 8am to 9:30am & 2:45pm to 4:15pm
18,Prothero Gardens (St Mary & St John's School) NW4,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",06/12/2016,Mon-Fri 8am to 5pm 
19,St Josephs Grove (St Joseph's Rc Sch) NW4,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",16/01/2017,Mon-Fri 8:30am to 4:30pm 
23,East End Road (Christ's College) N2,48J,"Stopped in a restricted area outside a school, a hospital or a fire, police or ambulance station when prohibited",21/12/2016,Mon-Fri 8am to 9:30am & 2:45pm to 4:15pm
24,"Ballards Lane (N3), Junction With Nether St And Chaville Way",31J,Entering and stopping in a box junction when prohibited,21/03/2017,At all times
25,The Grove Into Ballards Lane (N3),50R,Performing a prohibited turn: no right turn,08/06/2017,At all times
