poi,mean_distance_to_nearest_poi
d_computer,3279.24531555286
d_post_secondary,2903.30356131148
d_warehouse,2800.2485580673
d_bar,2681.53928596323
d_alcohol,2554.63649062644
d_veterinary,2492.53987901537
d_clinic,2477.74473561838
d_houseware,2303.17142730491
d_electronics,2296.74266959167
d_car_wash,2102.05994357774
d_money_exchange_transfer,2096.79511435329
d_post_depot,1916.73158955976
d_fuel,1598.12992402442
d_hospital,1586.42183065779
d_car_repair,1574.30606947192
d_laundry,1520.80717011176
d_grave_yard,1513.43731789485
d_lawyer,1503.24753973704
d_doctors,1476.63737095183
d_car,1297.65178243208
d_accountant,1276.80094466885
d_bank,1206.87667523244
d_beauty,1185.94459704329
d_clothes,1184.25563464969
d_bakery,1111.2381987397
d_charging_station,1102.22369780484
d_estate_agent,1086.2125803372
d_social_facility,1079.28373027319
d_library,1078.16360967014
d_post_office,1067.15766633912
d_dentist,1016.89619745394
d_community_centre,933.079938538407
d_toilets,861.790571221998
d_garages,835.646636836696
d_garage,833.816510538809
d_atm,831.684467102303
d_pub,803.058109822026
d_hairdresser,731.101341441925
d_pharmacy,680.428907384062
d_restaurant,599.031883342271
d_convenience,549.034383842584
d_cafe,481.400208465777
d_park,399.352837710819
d_place_of_worship,367.175373522272
d_school,356.951971127213
d_bicycle_parking,252.595718403462
d_parking,157.547796379383
