poi,median_distance_to_nearest_poi
d_computer,3582.64035962882
d_warehouse,2890.78607223563
d_post_secondary,2575.11614150364
d_bar,2399.88083476054
d_alcohol,2254.5921589349
d_veterinary,2199.99390204165
d_electronics,2050.77070725083
d_money_exchange_transfer,2015.15437123521
d_clinic,1998.62136317894
d_car_wash,1957.29601872584
d_houseware,1943.67410861544
d_post_depot,1835.45924643576
d_hospital,1495.28337398727
d_grave_yard,1445.32874394404
d_laundry,1395.66596769525
d_fuel,1357.76999795191
d_car_repair,1299.40360085249
d_accountant,1274.07309049978
d_lawyer,1267.73601206421
d_doctors,1189.91248483167
d_car,1177.40126637433
d_bank,1175.76012381132
d_clothes,1153.67953832633
d_beauty,1091.22109805635
d_estate_agent,1064.46916077463
d_bakery,1054.31684566688
d_social_facility,1009.52648919952
d_dentist,1005.24960207432
d_post_office,973.2348131519
d_charging_station,966.409382453244
d_library,965.160106365885
d_community_centre,887.339311287037
d_pub,814.633244409945
d_toilets,800.024294312209
d_atm,787.406466047992
d_garage,756.179018053255
d_hairdresser,657.525637779035
d_garages,637.710725566268
d_pharmacy,608.818497048205
d_restaurant,515.285634146329
d_convenience,460.582093492727
d_cafe,417.971733347699
d_park,375.955641974753
d_school,322.698715787017
d_place_of_worship,320.658079655971
d_bicycle_parking,210.423149594785
d_parking,120.829578267806
