hmo_licence_reference,pcd,lat,long
HMOM/16/53577,NW4 3JS,51.5829,-0.2278
HMOAA/17/57033,NW4 4XA,51.5983,-0.2318
HMOM/17/57188,NW11 9RG,51.5744,-0.2057
HMOM/17/57189,NW11 9RG,51.5744,-0.2057
HMOM/18/59031,NW11 9UE,51.5764,-0.2109
HMOAA/18/58098,NW7 3BL,51.6245,-0.253
HMOAA/18/59733,EN4 8RW,51.6498,-0.1726
HMOAA/18/59976,NW2 2PG,51.5598,-0.1979
HMOM/19/60055,NW2 2PU,51.5609,-0.2044
HMOM/19/60071,NW11 9DY,51.5748,-0.2122
HMOM/19/60073,NW11 8JY,51.5724,-0.1974
HMOAA/19/60104,NW4 4PE,51.5822,-0.2368
HMOM/19/60114,EN5 5AP,51.6499,-0.1855
HMOME/19/60130,NW4 2AE,51.5867,-0.2169
HMOM/18/59948,NW4 3NB,51.5789,-0.2245
HMOAA/18/59977,NW2 2PG,51.5598,-0.1979
HMOAA/18/59982,NW2 2PH,51.5598,-0.1979
HMOAA/18/59984,NW2 2PG,51.5598,-0.1979
HMOM/18/59986,NW4 3JD,51.5749,-0.2333
HMOME/18/59736,N20 0UL,51.6284,-0.164
HMOM/19/60751,NW2 2RG,51.5578,-0.2111
HMOM/19/60935,NW11 9EA,51.5758,-0.2137
HMOAA/19/60975,NW4 2DG,51.5852,-0.2215
HMOM/19/60025,NW4 3TR,51.5765,-0.2287
HMOM/19/60085,NW11 8EL,51.5722,-0.1983
HMOM/18/59873,N3 2SG,51.5986,-0.1881
HMOME/19/60411,NW2 2PG,51.5598,-0.1979
HMOM/19/60869,NW4 3SB,51.5783,-0.2316
HMOAA/18/59889,NW4 4HA,51.5862,-0.2346
HMOM/19/60105,NW2 1BP,51.5616,-0.2137
HMOAA/19/60123,HA8 0LT,51.6015,-0.2654
HMOM/19/60218,NW2 2RE,51.5579,-0.2103
HMOME/19/60492,NW4 1BU,51.5906,-0.2204
HMOM/19/60728,NW11 9NN,51.5782,-0.2074
HMOME/18/59951,HA8 0LY,51.6044,-0.2603
HMOME/19/60171,NW11 9LE,51.5856,-0.2104
HMOM/19/60932,NW11 9RT,51.5727,-0.2076
HMOAA/18/59688,NW4 4BB,51.5885,-0.2261
HMOAA/19/60330,HA8 0EP,51.6022,-0.2617
HMOAA/19/60366,NW9 5AX,51.597,-0.261
HMOAA/19/60777,NW11 0NG,51.5787,-0.2007
HMOM/18/59878,N3 3NE,51.5945,-0.1966
HMOM/19/60961,NW11 9AB,51.5765,-0.2026
HMOAA/19/60965,EN4 8UL,51.6424,-0.1673
HMOAA/19/60389,N12 8PY,51.6183,-0.1787
HMOME/19/60502,NW11 8EN,51.5727,-0.1994
HMOAA/19/60504,NW11 9DS,51.574,-0.2089
HMOM/18/59651,NW4 4JU,51.5908,-0.2262
HMOAA/18/59768,N2 8JJ,51.5936,-0.174
HMOAA/18/59983,NW2 2PH,51.5598,-0.1979
HMOME/19/60418,NW4 2SH,51.5879,-0.2146
HMOM/19/60566,N3 2DB,51.6029,-0.1887
HMOM/19/60583,NW11 7PH,51.5715,-0.1944
HMOME/19/60867,NW4 3RX,51.5796,-0.2318
HMOM/18/59565,N2 8AX,51.5896,-0.1667
HMOM/18/59648,NW4 4JU,51.5908,-0.2262
HMOAA/18/59794,NW2 1EL,51.5656,-0.213
HMOAA/19/60020,NW4 4RL,51.5926,-0.2255
HMOAA/19/60524,N2 8BE,51.5938,-0.1696
HMOME/19/60663,N20 0SJ,51.6224,-0.1564
HMOM/19/60396,HA8 9UP,51.615,-0.2743
HMOM/19/60550,NW11 7PT,51.5714,-0.1937
HMOAA/19/60648,NW11 7PH,51.5715,-0.1944
HMOAA/19/60267,N3 2LX,51.6087,-0.1824
HMOM/19/60594,NW11 9NJ,51.5785,-0.206
HMOM/18/59875,N3 3RY,51.596,-0.1999
HMOME/19/60401,HA8 9AW,51.6092,-0.2758
HMOM/19/60455,NW4 4SJ,51.5894,-0.236
HMOAA/19/60598,N3 1PL,51.6103,-0.1913
HMOM/19/60456,NW2 3AD,51.5561,-0.2133
HMOM/19/60812,NW4 4LD,51.5891,-0.2259
HMOME/18/59544,NW11 0EN,51.5858,-0.2037
HMOAA/18/59696,EN4 8SB,51.6442,-0.1644
HMOAA/18/59696,EN4 8SB,51.6442,-0.1644
HMOM/19/60344,EN5 2NW,51.6463,-0.2089
HMOM/19/60834,NW4 4PN,51.5807,-0.2374
HMOM/19/60866,NW11 8AU,51.5761,-0.2013
HMOM/19/60936,N3 3QS,51.5959,-0.1938
HMOM/19/60076,NW11 8EN,51.5727,-0.1994
HMOM/19/60095,NW11 8EN,51.5727,-0.1994
HMOME/19/60326,NW4 2HR,51.5851,-0.2177
HMOAA/19/60223,N3 2DB,51.6029,-0.1887
HMOM/19/60240,NW11 8AJ,51.5679,-0.1954
HMOME/19/60286,NW9 6AJ,51.5789,-0.2402
HMOM/19/60295,EN5 1ED,51.6394,-0.177
HMOAA/19/60276,NW4 2SH,51.5879,-0.2146
HMOM/19/60452,NW9 6DT,51.5891,-0.2469
HMOAA/18/59578,NW9 5WJ,51.6044,-0.2503
HMOM/18/59680,NW9 7EE,51.5773,-0.2391
HMOM/18/59962,HA8 7LS,51.6141,-0.2775
HMOM/18/59988,NW11 8LE,51.5729,-0.1965
HMOME/19/60968,NW9 6EU,51.5888,-0.2407
HMOAA/19/60496,NW2 2JU,51.5617,-0.198
HMOM/19/60559,NW11 7RX,51.5705,-0.1949
HMOME/19/60596,NW4 4SL,51.5918,-0.2354
HMOAA/18/59311,NW9 5JX,51.5996,-0.2548
HMOME/18/59373,NW2 2TP,51.5609,-0.1978
HMOM/18/59684,N12 8QU,51.6224,-0.178
HMOM/18/59865,N3 2SP,51.5981,-0.1878
HMOME/18/59972,NW2 2PG,51.5598,-0.1979
HMOM/19/60613,EN5 1EB,51.6396,-0.1726
HMOM/18/59653,NW4 4JU,51.5908,-0.2262
HMOAA/19/60077,NW4 4TJ,51.5999,-0.2357
HMOM/18/59637,N12 8RB,51.6233,-0.1779
HMOM/19/60070,NW11 8EL,51.5722,-0.1983
HMOAL/19/60667,N14 5DS,51.6317,-0.144
HMOM/19/60671,NW2 3AE,51.5569,-0.213
HMOAA/19/60680,N14 5AX,51.6285,-0.1414
HMOM/19/60698,NW4 4LD,51.5891,-0.2259
HMOM/19/60058,NW11 8EL,51.5722,-0.1983
HMOM/19/60753,HA8 7JG,51.6141,-0.2761
HMOAA/19/60783,NW4 4RL,51.5926,-0.2255
HMOME/19/60799,NW4 2AG,51.586,-0.2157
HMOAA/19/60803,N12 8BG,51.6185,-0.1808
HMOME/19/60829,NW11 6JJ,51.5856,-0.1827
HMOAA/18/59909,EN4 8SF,51.645,-0.1634
HMOAA/18/59966,N3 2JB,51.6025,-0.1826
HMOME/19/60377,HA8 0EP,51.6022,-0.2617
HMOME/19/60795,NW4 4TN,51.5999,-0.2349
HMOAA/19/60627,NW11 8AU,51.5761,-0.2013
HMOM/19/60897,NW11 8JL,51.5742,-0.198
HMOM/19/60938,NW4 2TL,51.5837,-0.2222
HMOM/18/59843,NW11 7TA,51.5705,-0.188
HMOAA/18/59965,EN4 8PP,51.6336,-0.1523
HMOME/19/60813,NW11 9TP,51.5759,-0.2107
HMOM/18/59652,NW4 4JU,51.5908,-0.2262
HMOME/18/59731,NW11 0DG,51.5838,-0.201
HMOAA/18/59980,NW2 2PH,51.5598,-0.1979
HMOM/19/60069,NW11 8JY,51.5724,-0.1974
HMOAA/19/61001,NW9 5YZ,51.5957,-0.2538
HMOAA/19/61016,NW11 7HA,51.5677,-0.1834
HMOM/18/59381,NW2 2TP,51.5609,-0.1978
HMOME/18/59830,NW4 4UY,51.5964,-0.2331
HMOM/18/59856,N3 3AE,51.5949,-0.2034
HMOM/18/59992,NW4 3TN,51.5782,-0.2262
HMOM/19/60930,NW4 3EN,51.5812,-0.2338
HMOM/19/60931,NW11 9AH,51.577,-0.2033
HMOAA/19/60116,NW9 6HR,51.5888,-0.2497
HMOM/18/59331,NW11 6JY,51.5861,-0.1825
HMOME/18/59716,NW4 4HG,51.5858,-0.2349
HMOAA/19/60370,NW4 4XJ,51.5885,-0.2336
HMOM/19/60571,N11 1BY,51.6212,-0.1379
HMOME/19/60145,NW4 4LD,51.5891,-0.2259
HMOM/19/59998,NW4 4RS,51.5863,-0.2322
HMOM/18/59890,N3 3SL,51.596,-0.2048
HMOM/19/60030,NW9 5WA,51.6017,-0.2533
HMOM/19/60987,N3 2BP,51.6018,-0.1902
HMOM/19/60987,N3 2BP,51.6018,-0.1902
HMOMA/19/60013,N20 0QA,51.6233,-0.1768
HMOM/19/61063,NW11 9DP,51.5735,-0.2095
HMOM/19/61070,NW11 0AS,51.588,-0.2018
HMOME/19/61091,EN4 9PE,51.6503,-0.1677
HMOME/19/61111,NW11 9LH,51.5801,-0.2135
HMOME/19/61128,N12 7DQ,51.6208,-0.1867
HMOME/19/61128,N12 7DQ,51.6208,-0.1867
HMOAA/18/59783,NW4 4LP,51.5928,-0.2304
HMOM/19/60034,N20 9LN,51.6333,-0.1762
HMOM/19/60528,NW4 4LD,51.5891,-0.2259
HMOME/19/61118,NW2 6QE,51.56,-0.2186
HMOME/19/60597,NW4 3ER,51.5802,-0.2356
HMOME/18/59919,NW4 4UY,51.5964,-0.2331
HMOME/19/61126,NW4 4JN,51.5919,-0.2322
HMOM/19/61185,N2 0NB,51.5905,-0.1704
HMOME/19/61035,NW11 8BD,51.5758,-0.203
HMOAA/18/59705,NW2 2PG,51.5598,-0.1979
HMOAA/19/60297,N3 3QT,51.5963,-0.1936
HMOM/19/61872,NW4 4TN,51.5999,-0.2349
HMOM/18/59370,NW2 2TP,51.5609,-0.1978
HMOAA/18/59732,HA8 8XD,51.6267,-0.2666
HMOME/19/61190,NW11 7HA,51.5677,-0.1834
HMOME/19/61191,NW11 7HA,51.5677,-0.1834
HMOAA/19/61212,NW4 3PS,51.577,-0.2339
