osm_id,name,amenity,entrance,phone,website,geometry
223336398,,,,,,-0.1767237|51.6130588
223336400,,,,,,-0.176004|51.6129611
223336401,,,,,,-0.175959|51.612705
223336403,,,,,,-0.1760773|51.6126251
223336405,,,,,,-0.1768967|51.6125468
1752208306,,,,,,-0.1427569|51.568331
1752208307,,,,,,-0.1426323|51.5683555
1752208310,,,,,,-0.1426916|51.5684705
4687792039,,,,,,-0.1455556|51.5765259
4687792040,,,,,,-0.1454531|51.5763984
4687792041,,,,,,-0.1453365|51.5764346
4687792042,,,,,,-0.1453469|51.5764476
4687792043,,,,,,-0.1450665|51.5765347
4687792044,,,,,,-0.1451478|51.5766359
4687792045,,,,,,-0.1452013|51.5766199
4687792046,,,,,,-0.1452226|51.5766264
4687792047,,,,,,-0.1452275|51.5767282
4687792048,,,,,,-0.1452852|51.5766749
4687792049,,,,,,-0.1452482|51.5766555
4687792052,,,,,,-0.1455148|51.5765386
4687792053,,,,,,-0.1456768|51.5766124
4687792054,,,,,,-0.1454502|51.5768241
4687792055,,,,,,-0.1455896|51.5766957
4687847183,,,,,,-0.1452146|51.5766265
4687847184,,,,,,-0.1452062|51.5766244
4777880545,Kogan Academy of Dramatic Arts,arts_centre,,+44 20 7272 0027,,-0.1313861|51.5658517
4838589313,Bomb Factory Art Foundation,arts_centre,,,https://www.bombfactory.org.uk/,-0.1313956|51.5659201
5849991388,,,,,,-0.1759844|51.6126704
5849991391,,,,,,-0.176026|51.612645
6767181301,,,,,,-0.1428655|51.5684359
6767181302,,,,,,-0.1428138|51.5683198
10741400780,,,yes,,,-0.1450942|51.5765691
11742325153,,,,,,-0.1761793|51.6129849
