osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,atm,branch,brand,brand:website,brand:wikidata,brand:wikipedia,check_date,contact:website,description,drive_through,entrance,fee,opening_hours,operator,source,source:addr:postcode,survey:date,toilets:wheelchair,website,wheelchair,geometry
410936575,Barclays,London,,,,,Cricklewood Broadway,bank,yes,,Barclays,,Q245343,en:Barclays,,,,,,,,Barclays Bank PLC,,,,,,,-0.215377|51.5564842
410949890,Santander,London,,,,,Cricklewood Broadway,bank,yes,,Santander,,Q7420065,en:Santander Bank,,,,,,,,Abbey,,,,,,,-0.2149538|51.5562643
410949900,Nationwide,London,,,,,Cricklewood Broadway,bank,,,Nationwide,,Q846735,en:Nationwide Building Society,,https://locations.nationwidebranches.co.uk/cricklewood/153-cricklewood-broadway,,,,,,Nationwide,,,,,,,-0.2147564|51.5560882
446806477,TSB,,,,,,,bank,yes,,TSB,,Q7671560,,,,,,,,,TSB,,,,,,,-0.1356729|51.5658441
457102339,Lloyds Bank,,GB,,,,,bank,yes,,Lloyds Bank,,Q1152847,en:Lloyds Bank,,https://branches.lloydsbank.com/hendon/1-3-finchley-lane,,,,,,Lloyds Bank,Walking Papers,,,,,,-0.2213857|51.589752
548866039,Santander,Wembley,GB,,223,,Preston Road,bank,yes,,Santander,,Q7420065,en:Santander Bank,,,,,,,Mo-Fr 10:00-14:00,,survey;Bing 2012,,2013-08-02,no,,yes,-0.2949578|51.571032
566481304,Lloyds Bank,London,,,841,N12 8PX,High Road,bank,yes,,Lloyds Bank,,Q1152847,,,https://branches.lloydsbank.com/north-finchley/841-high-road,,,,,,LloydsTSB,local_knowledge,,,,,,-0.1770067|51.6174007
719511020,Barclays,London,,,,,High Road,bank,yes,,Barclays,,Q245343,,,,,,,,"Mo,Tu,Th 09:30-15:30; We 10:00-15:30; Sa 09:30-13:30",Barclays Bank PLC,,,,,,,-0.1765626|51.6169051
719511093,Halifax,,,,,,,bank,yes,,Halifax,,Q3310164,,,,,,,,Mo-Fr 09:00-15:30,Halifax,,,,,,,-0.1765772|51.6166088
1581067074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1499173|51.6511366
1581067075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1500597|51.6509934
1581067076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1500769|51.651089
1581067079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1498455|51.6510479
1581067081,,,,,,,,atm,,,,,,,,,,,,no,,Barclays Bank PLC,,,,,,,-0.1498548|51.6510594
