osm_id,access,amenity,bicycle_lock,bicycle_parking,bicycle_parking:stands,capacity,check_date,check_date:capacity,colour,covered,created_by,fee,indoor,layer,lit,mapillary,note,on_carriageway,operator,operator:type,ref,ref:GB:tflcid,smoothness,source,stands,supervised,surface,surveillance,survey:date,geometry
268226375,,bicycle_parking,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,-0.1766605|51.6143159
268229362,,bicycle_parking,,,,10,,,,no,,,,,,,,,,,,,,,5,,,,,-0.178995|51.6302252
268229499,,bicycle_parking,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,-0.1755173|51.6318276
268412733,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1938469|51.6500829
268501757,,bicycle_parking,,stands,,8,2022-06-06,,,yes,,,,,,,,,,,,,,,,,,,,-0.1795606|51.6111736
268502719,,bicycle_parking,,stands,,1,,,,no,,,,,,,,,,,,,,,,,,,,-0.1765489|51.6180679
279371762,,bicycle_parking,,half-sheffield,,8,2024-02-18,,,no,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,-0.1926582|51.6022247
279551818,,bicycle_parking,,stands,,4,,,,no,,,,,,,,,,,,,,,,,,,,-0.2039849|51.6561218
284239869,,bicycle_parking,,stands,,4,,,,no,,,,,,,,,,,,,,,,,,,,-0.1899014|51.6038624
291038382,,bicycle_parking,,,,12,,,,,,,,,,,,,,,,,,,,,,,,-0.1651759|51.587264
291187041,,bicycle_parking,,stands,,8,2022-06-06,,,no,Potlatch 0.10b,,,,,,,,,,,,,,,,,,,-0.177024|51.6132236
295052398,,bicycle_parking,,stands,,8,,,,no,,,,,,,,,,,,,,,,,,,,-0.2047886|51.6563564
297701170,,bicycle_parking,,stands,,8,,2022-01-06,,no,,,,,,,,,,,,,,,,,,,,-0.1584134|51.6131992
299028908,,bicycle_parking,,stands,,8,,,,no,,,,,,,,,,,,,,,,,,,,-0.1640969|51.5884678
365610048,,bicycle_parking,,stands,,4,,2022-11-05,,no,,,,,,,,,,,,,,,,,,,,-0.2017182|51.6570609
389899551,,bicycle_parking,,,,6,,,,,,,,,,,,,,,,,,,,,,,,-0.130163|51.5609436
768187791,,bicycle_parking,,stands,,15,,,,yes,,,,,,,,,,,,,,,,,,,,-0.2298584|51.589217
781833305,,bicycle_parking,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,-0.175459|51.6313788
930490147,,bicycle_parking,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,-0.1849698|51.6180067
1092776168,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1522101|51.6263395
1222347102,,bicycle_parking,,stands,,2,,,,no,,,,,,,,,,,,,,,,,,,,-0.1480983|51.5559888
1222347159,,bicycle_parking,,stands,,4,,,,,,,,,,,,,,,,,,,,,,,,-0.150692|51.5611763
1265199424,,bicycle_parking,,stands,,4,,,,,,,,,,,,,,,,,,,,,,,,-0.1331462|51.5648846
1265199427,,bicycle_parking,,,,4,,,,,,,,,,,,,,,,,,,,,,,,-0.1326633|51.5647457
1265199428,,bicycle_parking,,stands,,8,,,,,,,,,,479925849893217,,,,,,,,,,,,,2019-06-29,-0.1336574|51.5654317
1265199429,,bicycle_parking,,,,10,,,,,,,,,,,,,,,,,,,,,,,,-0.1349686|51.5650111
