osm_id,name,amenity,automated,operator,self_service,geometry
267022992,,,,,,-0.155959|51.6065574
503939726,,,,,,-0.2646407|51.5647955
1493444518,"Hand Car Wash, Mill Hill",car_wash,,,,-0.250416|51.6132943
1965917002,,,,,,-0.1560935|51.6064466
1976953363,,,,,,-0.2553456|51.6220472
1976953367,,,,,,-0.2554217|51.621942
1976953385,,,,,,-0.2554729|51.6219786
1976953386,,,,,,-0.2552944|51.6220106
1984593595,,,,,,-0.1589559|51.6122373
1984593605,,,,,,-0.1588024|51.6123335
1984593650,,,,,,-0.1588963|51.6122007
2097135975,,,,,,-0.2427336|51.5799072
2097135997,,,,,,-0.2427949|51.5799136
2097136083,,,,,,-0.2428707|51.5799009
2097136152,,,,,,-0.2427198|51.5799586
2097136236,,,,,,-0.2428003|51.5798936
2097136257,,,,,,-0.2428516|51.5799722
2195983087,,car_wash,,,,-0.1987384|51.5795001
2313660210,,,,,,-0.3047301|51.6374554
2313660212,,,,,,-0.3047883|51.6375041
2313660213,,,,,,-0.3045924|51.6375188
2313660215,,,,,,-0.3046506|51.6375675
4710262603,Morrisons,car_wash,,Morrisons,yes,-0.2557091|51.6454964
5226344362,,,,,,-0.1552696|51.5809862
5226344363,,,,,,-0.1553685|51.5809046
5226344364,,,,,,-0.155296|51.5808707
5226344365,,,,,,-0.155197|51.5809523
7037860923,USA Hand Car Wash,car_wash,no,,no,-0.1940027|51.601954
7775284365,,,,,,-0.1549093|51.5907099
7775284366,,,,,,-0.1547191|51.5907325
7775284367,,,,,,-0.1546727|51.5906058
7775284368,,,,,,-0.1548261|51.5905508
8088576938,,,,,,-0.1548942|51.5906116
8726495083,,,,,,-0.1549796|51.5807755
8726495084,,,,,,-0.1547658|51.5808623
8726495085,,,,,,-0.1547541|51.5808484
8726495086,,,,,,-0.1547241|51.5808764
8726495087,,,,,,-0.1545967|51.58082
8726495088,,,,,,-0.1546144|51.5808137
8726495089,,,,,,-0.1545654|51.5807678
8726495090,,,,,,-0.1548489|51.5806512
8726495092,,,,,,-0.1549036|51.5807033
9253923926,,,,,,-0.2717536|51.6572128
9253923927,,,,,,-0.2716934|51.6571501
9253923928,,,,,,-0.2717728|51.6571208
9253923929,,,,,,-0.271833|51.6571834
9253923941,,,,,,-0.2717962|51.657197
9253923949,,,,,,-0.271732|51.6571359
9442622459,,,,,,-0.1587459|51.6122954
9491001127,,car_wash,,,,-0.1489527|51.651237
9522788420,,,,,,-0.1562686|51.6065285
9522788425,,,,,,-0.1561341|51.6066393
9721545693,,car_wash,no,,,-0.2802663|51.6544087
10295689625,,,,,,-0.1741543|51.6050854
10295689626,,,,,,-0.174092|51.6050855
10295689627,,,,,,-0.1740918|51.6050508
10295689628,,,,,,-0.1741541|51.6050506
10649499167,,,,,,-0.1548522|51.5907167
10649499169,,,,,,-0.1547955|51.5905618
10739247719,,,,,,-0.1553302|51.5808867
10739247720,,,,,,-0.1552316|51.5809685
10937295895,,,,,,-0.26452|51.564735
10937295896,,,,,,-0.2644728|51.5647714
10937295897,,,,,,-0.2645936|51.5648319
11053680362,,,,,,-0.2554009|51.6220175
11053680363,,,,,,-0.2554245|51.6220343
11053680364,,,,,,-0.2554462|51.6220227
11053680365,,,,,,-0.2554658|51.6219825
11053680366,,,,,,-0.2554701|51.6220397
11053680367,,,,,,-0.2555133|51.6220164
11098062077,Mint Green,car_wash,no,,no,-0.1999654|51.5821732
