osm_id,name,access,amenity,amperage,authentication:nfc,authentication:none,authentication:phone_call,authentication:short_message,bicycle,brand,brand:wikidata,brand:wikipedia,capacity,car,charging_station:capacity,charging_station:output,colour,covered,description,fee,level,maxstay,motorcar,network,note,opening_hours,operator,operator:website,operator:wikidata,parking:fee,payment:coins,payment:contactless,payment:notes,ref,scooter,socket:chademo,socket:chademo:output,socket:tesla_supercharger,socket:type1,socket:type1_cable,socket:type2,socket:type2:output,socket:type2_combo,socket:type2_combo:output,source,survey:date,tesla:ref,truck,voltage,website,geometry
2456198840,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2232126|51.5717531
2517244446,,,charging_station,,,,,,,,,,,,2,,,,,,,,,,The two N/S alligned bays either side ore reserved for charging.  N side says 7kW; S side 3kW (maybe kWH).,,,,,,,,,,,,,,,,,,,,survey;Bing 2012,2013-11-01,,,,,-0.2953983|51.5734556
3280906970,Tesla Supercharger Brent Cross,customers,charging_station,,,,,,no,,,,2,yes,,,,,,,,,,,,24/7,Tesla Motors Inc.,,,,,,,,,,,2,,,,,,,,,brentcrosssupercharger,,,,-0.2236782|51.5775159
3366599861,Enfield/Cockfosters LU Car Park,,charging_station,32,,,,,,,,,8,,,,,,,,,,,,,,Source London,,,,,,,,,,,,,,,,,,,,,,230,,-0.1489797|51.6520268
3366599862,Enfield/Westpole Avenue,,charging_station,32,,,,,,,,,,,,,,,,,,,,,,,Source London,,,,,,,,,,,,,,,,,,,,,,230,,-0.1480276|51.6500996
4130123719,High Barnet Station NCP Car Park,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Source London,,,,,,,,,,,,4,,6,,,,,,,,,,-0.1930045|51.6495222
4708127745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1560047|51.5812548
5484774405,Shell Recharge Barnet,,charging_station,,yes,no,no,no,no,,,,1,no,,,,,,,,,,,,,Allego,,,,no,,no,,no,1,,,,,1,,1,,,,,no,,,-0.2538563|51.6427187
5498310622,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2860941|51.5947774
5528087655,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2425757|51.5931164
