osm_id,name,access,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:unit,amenity,brand,brand:wikidata,door,entrance,fhrs:id,level,operator,source:addr,toilets,toilets:access,toilets:wheelchair,website,wikidata,geometry
299028906,Phoenix Cinema,,,,,,,,cinema,,,,,,,,,,,,,Q7186809,-0.1637085|51.5885079
849394168,,,,,,,,,,,,,,,,,,,,,,,-0.1879669|51.646115
849394352,,,,,,,,,,,,,,,,,,,,,,,-0.1875278|51.6464155
849394586,,,,,,,,,,,,,,,,,,,,,,,-0.1882658|51.6462831
849394916,,,,,,,,,,,,,,,,,,,,,,,-0.1878266|51.6465836
1257763217,,,,,,,,,,,,,,,,,,,,,,,-0.1789108|51.5563531
1257763218,,,,,,,,,,,,,,,,,,,,,,,-0.1790469|51.5563073
1257763219,,,,,,,,,,,,,,,,,,,,,,,-0.1790955|51.5563632
1257763220,,,,,,,,,,,,,,,,,,,,,,,-0.1789594|51.5564089
1257801415,,,,,,,,,,,,,,,,,,,,,,,-0.1788802|51.5563144
2095564937,,,,,,,,,,,,,,,,,,,,,,,-0.1789551|51.5562926
2095564940,,,,,,,,,,,,,,,,,,,,,,,-0.1789839|51.556329
2763450295,Cineworld Wembley,,London,London Designer Outlet,,HA9 0TG,Wembley Park Boulevard,Unit 7,cinema,Cineworld,Q5120901,,,,4,Cineworld plc,,,,,https://www.cineworld.co.uk/cinemas/london-wembley/082,Q42166251,-0.2839283|51.5563016
4021758418,,,,,,,,,,,,,,,,,,,,,,,-0.1466502|51.5896707
4021758419,,,,,,,,,,,,,,,,,,,,,,,-0.1465939|51.5895571
4021758421,,,,,,,,,,,,,,,,,,,,,,,-0.1463141|51.589506
4021758423,,,,,,,,,,,,,,,,,,,,,,,-0.1463152|51.5894829
4021758446,,,,,,,,,,,,,,,,,,,,,,,-0.1459022|51.5895961
4021758474,,,,,,,,,,,,,,,,,,,,,,,-0.1459244|51.5897007
4021759125,,,,,,,,,,,,,,,,,,,,,,,-0.1463007|51.5894686
4130111423,,,,,,,,,,,,,,,,,,,,,,,-0.1882204|51.6463142
4130111424,,,,,,,,,,,,,,,,,,,,,,,-0.1877551|51.6462599
4976196830,Vue Cinema,,London,,,N12 0GL,Chaplin Square,,cinema,Vue,Q2535134,,,989331,,,,yes,customers,yes,,,-0.1732082|51.6038551
5215445498,,,,,,,,,,,,,,,,,,,,,,,-0.1459111|51.589568
5215445499,,,,,,,,,,,,,,,,,,,,,,,-0.1457874|51.5895864
5215445500,,,,,,,,,,,,,,,,,,,,,,,-0.1457594|51.5896042
5215445501,,,,,,,,,,,,,,,,,,,,,,,-0.145809|51.5896302
5215445502,,,,,,,,,,,,,,,,,,,,,,,-0.1459813|51.5897085
5215445503,,,,,,,,,,,,,,,,,,,,,,,-0.1459811|51.5897256
5215445504,,,,,,,,,,,,,,,,,,,,,,,-0.1460314|51.589465
5215445505,,,,,,,,,,,,,,,,,,,,,,,-0.1465949|51.589513
5215445506,,,,,,,,,,,,,,,,,,,,,,,-0.1466572|51.5895833
5215445507,,,,,,,,,,,,,,,,,,,,,,,-0.1465799|51.5897354
5215445512,,,,,,,,,,,,,,,,,,,,,,,-0.1465844|51.5896942
9692133535,,,,,,,,,,,,,,,,,,,,,,,-0.1463003|51.5894827
9692133536,,,,,,,,,,,,,,,,,,,,,,,-0.1462765|51.5894561
9692133537,,,,,,,,,,,,,,,,,,,,,,,-0.1457854|51.5896035
9692133538,,,,,,,,,,,,,,,,,,,,,,,-0.145785|51.5896329
9692133539,,,,,,,,,,,,,,,,,,,,,,,-0.1458373|51.5896596
9692133540,,,,,,,,,,,,,,,,,,,,,,,-0.1460599|51.589481
9692133541,,,,,,,,,,,,,,,,,,,,,,,-0.1461434|51.5894832
9692133542,,,,,,,,,,,,,,,,,,,,,,,-0.1461445|51.5894541
9692133543,,,,,,,,,,,,,,,,,,,,,,,-0.1459335|51.5896913
9692133544,,,,,,,,,,,,,,,,,,,,,,,-0.14585|51.5896547
9692133545,,,,,,,,,,,,,,,,,,,,,,,-0.1459019|51.5896849
9692133546,,,,,,,,,,,,,,,,,,,,,,,-0.1458694|51.5896708
9692816408,,customers,,,,,,,,,,hinged,main,,,,,,,,,,-0.1458857|51.5896778
11739567668,,,,,,,,,,,,,,,,,,,,,,,-0.1463862|51.5897322
11744997173,Reel Cinema,,Borehamwood,,84,WD6 1EH,Shenley Road,,cinema,,,,,429380,,,FHRS Open Data,,,,,Q39055492,-0.2747628|51.6549265
