osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,description,entrance,healthcare,healthcare:speciality,phone,source,survey:date,website,geometry
1077705635,,,,,,,,,,,,,,,,,-0.3006746|51.6056437
1077705637,,,,,,,,,,,,,,,,,-0.3005415|51.60568
1077705649,,,,,,,,,,,,,,,,,-0.3004951|51.6056086
1077705651,,,,,,,,,,,,,,,,,-0.3003619|51.6056374
1077705652,,,,,,,,,,,,,,,,,-0.3003115|51.605566
1077705653,,,,,,,,,,,,,,,,,-0.3004467|51.6055334
1077705654,,,,,,,,,,,,,,,,,-0.3004043|51.6054846
1077705656,,,,,,,,,,,,,,,,,-0.3005959|51.6054307
1077705658,,,,,,,,,,,,,,,,,-0.3006423|51.6054796
1077705660,,,,,,,,,,,,,,,,,-0.3005536|51.6055059
1599958663,,,,,,,,,,,,,,,,,-0.1946637|51.649356
1599958664,,,,,,,,,,,,,,,,,-0.1950377|51.649805
1599958665,,,,,,,,,,,,,,,,,-0.1948387|51.649656
1599958666,,,,,,,,,,,,,,,,,-0.1948212|51.6496406
1599958667,,,,,,,,,,,,,,,,,-0.1947223|51.6493304
1599958668,,,,,,,,,,,,,,,,,-0.1947901|51.6496604
1599958675,,,,,,,,,,,,,,,,,-0.1948648|51.6496468
1599958677,,,,,,,,,,,,,,,,,-0.1943954|51.6494411
1599958681,,,,,,,,,,,,,,,,,-0.1949792|51.6495586
1599958682,,,,,,,,,,,,,,,,,-0.1945815|51.6493127
1599958683,,,,,,,,,,,,,,,,,-0.1952078|51.6497319
1599958684,,,,,,,,,,,,,,,,,-0.195004|51.6495486
1985773741,,,,,,,,,,,,,,,,,-0.1517996|51.615921
1985773742,,,,,,,,,,,,,,,,,-0.1515349|51.6161995
1985773746,,,,,,,,,,,,,,,,,-0.1515543|51.6160113
1985773747,,,,,,,,,,,,,,,,,-0.1513573|51.6160444
1985773756,,,,,,,,,,,,,,,,,-0.1514614|51.6159645
1985773762,,,,,,,,,,,,,,,,,-0.1519251|51.6160192
1985773764,,,,,,,,,,,,,,,,,-0.1516462|51.6160063
1985773770,,,,,,,,,,,,,,,,,-0.1515742|51.616193
1985773777,,,,,,,,,,,,,,,,,-0.1514336|51.6161485
1985773779,,,,,,,,,,,,,,,,,-0.1514805|51.6161126
1985773798,,,,,,,,,,,,,,,,,-0.1517436|51.6161108
1985773802,,,,,,,,,,,,,,,,,-0.1515569|51.6161843
1985773816,,,,,,,,,,,,,,,,,-0.1517148|51.6160949
1985773824,,,,,,,,,,,,,,,,,-0.1515946|51.6159803
2102163122,,,,,,,,,,,,,,,,,-0.2619374|51.6031837
2102163128,,,,,,,,,,,,,,,,,-0.2619271|51.6033803
2102163166,,,,,,,,,,,,,,,,,-0.2619711|51.6033554
2102163233,,,,,,,,,,,,,,,,,-0.2618618|51.6032265
2102163300,,,,,,,,,,,,,,,,,-0.261844|51.6032688
2102163344,,,,,,,,,,,,,,,,,-0.262109|51.6032236
2102163361,,,,,,,,,,,,,,,,,-0.2621996|51.6032854
2102163420,,,,,,,,,,,,,,,,,-0.2620471|51.6032585
2102163426,,,,,,,,,,,,,,,,,-0.2618876|51.6032441
2102163591,,,,,,,,,,,,,,,,,-0.2619747|51.6034127
2429615493,Chalkhill Primary Care Centre,,,,,,,clinic,,,,,+44 20 8736 7128,survey,2013-08-23,,-0.2765082|51.563842
4056661935,Honeypot Lane Centre NHS Clinic,,,,,,,clinic,,,clinic,,,,,,-0.3005147|51.6055711
4480990848,The Park Clinic,,,,,,,clinic,,,clinic,,,,,,-0.2416471|51.5960737
4581649864,The Medical Centre,,,,,,,clinic,,,clinic,,,,,,-0.2989516|51.5955723
4689709392,Highgate Holistic Clinic,,,,253,,Archway Road,clinic,,,clinic,,,,,,-0.143858|51.5761248
4691593754,Highgate Chiropractic,,,,,,,clinic,,,,chiropractic,,,,,-0.1400033|51.5725911
4720709468,Heathfielde Medical Centre,,,,,,Lyttelton Road,clinic,,,,,,,,,-0.1796411|51.5852216
5171420097,,,,,,,,,,,,,,,,,-0.143423|51.564019
5570934538,,,,,,,,,,,,,,,,,-0.2803023|51.6558173
5570934539,,,,,,,,,,,,,,,,,-0.2806009|51.6557362
5570934540,,,,,,,,,,,,,,,,,-0.2806661|51.6558285
5570934541,,,,,,,,,,,,,,,,,-0.2805092|51.6561105
5570934542,,,,,,,,,,,,,,,,,-0.280724|51.6560376
5586801896,,,,,,,,,,,,,,,,,-0.2671459|51.6597138
5586801897,,,,,,,,,,,,,,,,,-0.2675603|51.6595684
5586801898,,,,,,,,,,,,,,,,,-0.2676449|51.6596948
5586801899,,,,,,,,,,,,,,,,,-0.2672083|51.659807
5586801907,,,,,,,,,,,,,,,,,-0.2674882|51.659587
6037871560,,,,,,,,,,,,,,,,,-0.1299154|51.5645069
6037872007,,,,,,,,,,,,,,,,,-0.1298161|51.5644951
6037872014,,,,,1,,Fairbridge Road,,,yes,,,,,,,-0.1298448|51.5644366
6037872015,,,,,,,,,,,,,,,,,-0.1298954|51.5644036
6037872016,,,,,,,,,,,,,,,,,-0.1298853|51.5643978
6037872017,,,,,,,,,,,,,,,,,-0.1298512|51.564421
6037872018,,,,,,,,,,,,,,,,,-0.1298599|51.5644259
6037872019,,,,,,,,,,,,,,,,,-0.1298323|51.5644446
6037872020,,,,,,,,,,,,,,,,,-0.1298222|51.5644389
6037872021,,,,,,,,,,,,,,,,,-0.1297843|51.5644646
6037872022,,,,,,,,,,,,,,,,,-0.1297927|51.5644694
6037872023,,,,,,,,,,,,,,,,,-0.1297828|51.5644762
6037872024,,,,,,,,,,,,,,,,,-0.1298795|51.5645312
6037872025,,,,,,,,,,,,,,,,,-0.1299983|51.5644506
6037872026,,,,,,,,,,,,,,,,,-0.1299047|51.5643973
6265090966,,,,,,,,,,,,,,,,,-0.143543|51.5639831
6265090968,,,,,,,,,,,,,,,,,-0.1435743|51.5640203
6265090969,,,,,,,,,,,,,,,,,-0.1434627|51.5640071
6265090970,,,,,,,,,,,,,,,,,-0.143455|51.5640565
7623019262,Stanmore Medical Centre,,,,,,,clinic,,,clinic,,,,,,-0.3044126|51.6014251
9254426942,,,,,,,,,,,,,,,,,-0.2674277|51.6597508
9254426943,,,,,,,,,,,,,,,,,-0.2673921|51.6597597
9254426944,,,,,,,,,,,,,,,,,-0.2674475|51.6597803
9254426945,,,,,,,,,,,,,,,,,-0.267412|51.6597893
9254426946,,,,,,,,,,,,,,,,,-0.2675191|51.6598101
9254426947,,,,,,,,,,,,,,,,,-0.2673232|51.6598605
9254426948,,,,,,,,,,,,,,,,,-0.2672956|51.6598193
9254426949,,,,,,,,,,,,,,,,,-0.2674916|51.659769
9254426950,,,,,,,,,,,,,,,,,-0.2675102|51.65962
9254700432,,,,,,,,,,,,,,,,,-0.2805192|51.6560932
9254700433,,,,,,,,,,,,,,,,,-0.2805278|51.6561054
9254700434,,,,,,,,,,,,,,,,,-0.2807035|51.6559687
9254700435,,,,,,,,,,,,,,,,,-0.2806799|51.6559751
9254700436,,,,,,,,,,,,,,,,,-0.2806863|51.6558982
9254700437,,,,,,,,,,,,,,,,,-0.280659|51.6559056
