osm_id,addr:city,addr:housenumber,addr:postcode,addr:street,barrier,entrance,geometry
13807602,,,,,,,-0.1487735|51.6419085
370048851,,,,,,,-0.1439987|51.6410997
472636296,,,,,,,-0.2007225|51.6529619
472636297,,,,,,,-0.2009748|51.6529654
472636298,,,,,,,-0.2011285|51.652741
472636299,,,,,,,-0.2016364|51.6518325
472636300,,,,,,,-0.2007245|51.6515613
472636301,,,,,,,-0.2006528|51.6516458
472636302,,,,,,,-0.1998923|51.6518866
472636303,,,,,,,-0.1995426|51.6523445
472636304,,,,,,,-0.2001132|51.652502
587644717,,,,,,,-0.1297997|51.6309811
587644718,,,,,,,-0.1287844|51.630757
587644954,,,,,,,-0.1303036|51.6293301
587644974,,,,,,,-0.1302298|51.6310709
587645058,,,,,,,-0.145019|51.6380184
587645059,,,,,,,-0.1430911|51.6390885
587645205,,,,,,,-0.1478711|51.6420629
588020560,,,,,,,-0.2650083|51.6547809
588020606,,,,,,,-0.2639859|51.6527187
588020608,,,,,,,-0.267051|51.6535625
588020618,,,,,,,-0.2639014|51.6544615
588020621,,,,,,,-0.2638504|51.6523273
588020622,,,,,,,-0.2644123|51.6522266
588020624,,,,,,,-0.2643111|51.6520519
588020625,,,,,,,-0.2659626|51.6516858
661113156,,,,,,,-0.1391315|51.5782227
741659472,,,,,,,-0.1308271|51.6301279
869283554,,,,,,,-0.1484051|51.6419373
1020717376,,,,,,,-0.2676981|51.6546893
1020717379,,,,,,,-0.2659006|51.6553487
1020717382,,,,,,,-0.2657075|51.6551077
1020717385,,,,,,,-0.2649645|51.6550885
1030659589,,,,,,,-0.2002512|51.6529346
1190694358,,,,,,,-0.193428|51.5545521
1190694361,,,,,,,-0.1932545|51.5546823
1190694363,,,,,,,-0.1933545|51.5547339
1190694366,,,,,,,-0.1933197|51.55476
1190694367,,,,,,,-0.1932733|51.5547361
1190694369,,,,,,,-0.1931813|51.554805
1190694371,,,,,,,-0.1931337|51.5547805
1190694372,,,,,,,-0.1929181|51.554942
1190694374,,,,,,,-0.1935402|51.5552631
1190694376,,,,,,,-0.1936011|51.5552174
1190694377,,,,,,,-0.1935511|51.5551916
1190694383,,,,,,,-0.1936482|51.555119
1190694385,,,,,,,-0.193583|51.5550853
1190694387,,,,,,,-0.1937504|51.5549599
1190694389,,,,,,,-0.1938095|51.5549904
1190694390,,,,,,,-0.1938682|51.5549464
1190694391,,,,,,,-0.1937583|51.5548897
1190694392,,,,,,,-0.1938049|51.5548547
1190694393,,,,,,,-0.1939463|51.5549277
1190694394,,,,,,,-0.1940561|51.5548454
1190694396,,,,,,,-0.1939747|51.5548034
1190694398,,,,,,,-0.1939457|51.5548251
1190694406,,,,,,,-0.1937454|51.5548202
1190694407,,,,,,,-0.1934847|51.5550155
1190694408,,,,,,,-0.193334|51.5549378
1190694409,,,,,,,-0.1935947|51.5547424
1600251583,,,,,,,-0.2002305|51.6526372
1600251587,,,,,,,-0.2010175|51.6516907
1600251589,,,,,,,-0.2010511|51.6528555
1600251592,,,,,,,-0.2013248|51.6526161
1600251599,,,,,,,-0.2002128|51.6515226
1600251601,,,,,,,-0.201425|51.652469
1600251603,,,,,,,-0.2013094|51.6527093
1600251605,,,,,,,-0.2000877|51.6526239
1629155231,,,,,,,-0.1996196|51.6522148
1643355362,,,,,,,-0.199791|51.6519228
1643355364,,,,,,,-0.1997001|51.6520893
1718593553,,,,,,,-0.1458766|51.637683
1718593568,,,,,,,-0.1452202|51.6379223
1718593616,,,,,,,-0.1466632|51.6374566
1718593725,,,,,,,-0.1462975|51.6375358
1718593738,,,,,,,-0.1433688|51.6389333
1718593740,,,,,,,-0.1438442|51.6386797
1718593777,,,,,,,-0.1432533|51.6390307
1718594965,,,,,,,-0.14255|51.6392322
1718594978,,,,,,,-0.142424|51.6392826
1994603240,,,,,,,-0.1280648|51.6302192
1994603285,,,,,,,-0.1291473|51.6307759
1994611732,,,,,,,-0.1308874|51.6300726
1995705046,,,,,,,-0.1305742|51.6294643
1995733484,,,,,,,-0.1304668|51.629423
1995733523,,,,,,,-0.1310786|51.6296583
1995733600,,,,,,,-0.1309657|51.6298892
1995733625,,,,,,,-0.131014|51.6297943
1995749643,,,,,,,-0.1280702|51.6300093
1995749647,,,,,,,-0.1287225|51.6299826
1995749649,,,,,,,-0.1280776|51.6301654
1995757068,,,,,,,-0.1304031|51.6294077
1996237151,,,,,,,-0.1288615|51.6305012
1996237194,,,,,,,-0.128891|51.6302914
1996237205,,,,,,,-0.1281561|51.6302255
1996237226,,,,,,,-0.1288025|51.630598
1996237238,,,,,,,-0.1287543|51.6305375
1996253901,,,,,,,-0.1287462|51.6294957
2000788049,,,,,,,-0.1392646|51.5780445
2000788053,,,,,,,-0.1390517|51.5780964
2000788063,,,,,,,-0.1393444|51.5781707
2001260865,London,51,N6 5QP,Shepherds Hill,,yes,-0.1391599|51.57807
3498031165,,,,,,,-0.200569|51.6516265
3955289835,,,,,,,-0.1523415|51.6386552
3955302595,,,,,,,-0.1478911|51.6369734
3955302597,,,,,,,-0.1473367|51.6373153
3955302603,,,,,,,-0.147588|51.6372364
3955302618,,,,,,,-0.1488865|51.6371644
5012498065,,,,,,,-0.1467435|51.6375363
5012498076,,,,,,,-0.1505121|51.638047
5012498077,,,,,,,-0.149435|51.63755
5024666802,,,,,,,-0.1946026|51.5573981
5024666803,,,,,,,-0.1947568|51.55724
5024666804,,,,,,,-0.1948653|51.5572839
5024666805,,,,,,,-0.1947061|51.5574396
5136171186,,,,,,,-0.2386384|51.5911245
5136171187,,,,,,,-0.2387068|51.5909219
5421179967,,,,,,,-0.2394342|51.5911287
6292680763,,,,,,,-0.2662562|51.6551736
6292680764,,,,,,,-0.2667202|51.6549723
7068572432,,,,,gate,,-0.2396472|51.5910482
7876612961,,,,,,,-0.1421889|51.6393661
7876612962,,,,,,,-0.1423007|51.6394786
7876646692,,,,,,,-0.1443217|51.6415203
7876646698,,,,,,,-0.1468882|51.6422548
7876646699,,,,,,,-0.1473847|51.6421546
7878369356,,,,,,,-0.1496498|51.6409349
7878369357,,,,,,,-0.1502906|51.6405361
7878369360,,,,,,,-0.1522194|51.6390156
7880573207,,,,,,,-0.1500799|51.6378431
7880573227,,,,,,,-0.1439012|51.6409484
7902955974,,,,,,,-0.1512094|51.6398591
7902955975,,,,,,,-0.1491017|51.6412902
7914033369,,,,,,,-0.1450991|51.6426162
7919594130,,,,,,,-0.1286895|51.6294981
7925748046,,,,,,,-0.1497128|51.6414055
7947635891,,,,,,,-0.1491937|51.6417566
8570108434,,,,,,,-0.2381557|51.591052
8570108435,,,,,,,-0.2376553|51.5919189
8570108436,,,,,,,-0.2378228|51.5919449
8570108441,,,,,,,-0.2383584|51.5901614
8570108442,,,,,,,-0.2399327|51.590595
8570108443,,,,,,,-0.2397987|51.5909763
8570108444,,,,,,,-0.2397107|51.5909718
8570108445,,,,,,,-0.2396922|51.591052
8570108446,,,,,,,-0.2394982|51.5910355
8909361593,,,,,,,-0.1297726|51.6293764
10218651246,,,,,,,-0.2660912|51.6519003
10218651251,,,,,,,-0.2675141|51.6547767
10218651252,,,,,,,-0.2670984|51.6548316
10218651253,,,,,,,-0.2675959|51.6547543
10218651254,,,,,,,-0.2675839|51.6546012
10218651255,,,,,,,-0.2675208|51.6543665
10380533583,,,,,,,-0.1937206|51.5547008
10569176376,,,,,,,-0.1423054|51.6393247
10569176408,,,,,,,-0.1432025|51.638976
10569176409,,,,,,,-0.1433393|51.6389065
10569176410,,,,,,,-0.1464922|51.6374932
10820680703,,,,,,,-0.1450156|51.642632
10857181756,,,,,,,-0.2005104|51.6516085
10861496790,,,,,,,-0.2010054|51.6516382
10863879008,,,,,,,-0.2001786|51.6515326
10863879009,,,,,,,-0.1998185|51.6518716
10863879033,,,,,,,-0.2002624|51.6528406
10863879034,,,,,,,-0.2002122|51.6528389
11199817011,,,,,,,-0.1476898|51.6370376
11199817012,,,,,,,-0.1477907|51.637156
11199817041,,,,,,,-0.151471|51.6396407
11831691387,,,,,,,-0.2647613|51.6545047
11831691388,,,,,,,-0.2650055|51.6548004
11863121137,,,,,,,-0.2676758|51.6546721
