osm_id,name,amenity,geometry
26018491,St Mary's Court,courthouse,-0.1954392|51.6004363
2118729765,,,-0.1955251|51.6002996
2118729773,,,-0.1955198|51.6003196
2118729785,,,-0.1954903|51.6005795
2118729788,,,-0.1950772|51.6004579
2118729790,,,-0.1952569|51.6003683
2118729802,,,-0.1954581|51.6003163
2118729804,,,-0.1955654|51.6003513
2118729809,,,-0.1954098|51.6005145
2118729850,,,-0.1958524|51.6004029
2118729859,,,-0.1952381|51.6005912
2118729872,,,-0.1957048|51.6002863
2118729904,,,-0.1954578|51.6002915
2118729907,,,-0.1952918|51.6003929
5656300533,Barnet Coroners Court,courthouse,-0.2020295|51.6529106
