osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:unit,amenity,brand,brand:wikidata,check_date,contact:facebook,contact:phone,contact:website,description,email,emergency,entrance,healthcare,healthcare:speciality,level,note,opening_hours,operator,payment:american_express,payment:apple_pay,payment:cash,payment:credit_cards,payment:debit_cards,payment:google_pay,payment:maestro,payment:mastercard,payment:visa,phone,postal_code,source,survey:date,url,website,wheelchair,geometry
410949887,,London,,,165,,Cricklewood Broadway,,dentist,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,-0.215081|51.55637
849409345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1838967|51.6472907
849409373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.184091|51.6472207
849409632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1840073|51.6471312
849409778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.183813|51.6472011
893961869,Golders Green Dental Care,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2050076|51.5764783
902643955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1347173|51.5647995
902643981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1347434|51.5647562
902643986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1345133|51.5646791
902644007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1344861|51.5647227
931624559,Aspire,London,,,139,NW5 2HR,Fortess Road,,dentist,,,,,,,,,,,dentist,,,,,,,,,,,,,,,+44 20 7485 3833,,,,,https://www.aspire-dental.com/,,-0.1391479|51.5560973
1107444398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2985582|51.6435779
1303405872,Lotus Clinic,,,,943,,Finchley Road,,dentist,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,NW11 7PE,,,http://lotusclinic.co.uk/,,,-0.1961733|51.5743086
1304814181,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1998683|51.5729531
1451319695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146481|51.5705817
1600400231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2018336|51.6536302
1600400419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2019698|51.6536527
1600400506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2015989|51.6536178
1600400535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.201737|51.6536202
1629062465,Grove Dental Practice,,GB,,236,EN5 5TD,High Street,,dentist,,,,,,,,,no,,,,,,,,,,,,,,,,,+44 20 8449 5931,,,,,http://grovedentalpractice.com,,-0.2009906|51.6579388
1658190929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1331249|51.5662483
1658190937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1330809|51.5662858
1658190940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1332165|51.5662897
1658190964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1331703|51.5663282
1687236394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1737107|51.6302631
1687236400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1737763|51.6302475
1687236402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1736493|51.6301633
1687236407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.173715|51.6301478
1911500221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1471416|51.6466131
1911500224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1471744|51.6465849
1911500232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1474238|51.6465464
1911511972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1474278|51.6465556
1984418996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1473754|51.6000356
1984419030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1472078|51.6000277
1984419146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1472473|51.6000904
1984419150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1473488|51.5999934
2100685947,Dental Perfection,London,GB,,53A,,Heath Street,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1785486|51.5568996
2131655518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1859256|51.6034657
2131655521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1860033|51.603509
