osm_id,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,check_date:opening_hours,contact:website,description,entrance,healthcare,healthcare:speciality,opening_hours,opening_hours:signed,operator,phone,postal_code,website,wheelchair,geometry
522101399,,,,,,,doctors,,,,,doctor,,,,,,,,,-0.1752435|51.6227641
763390818,East Finchley Medical Practice,,,,,,doctors,,,,,,,,,,,,,,-0.1621514|51.588168
893961870,The Practice @ 188,,,,,,doctors,,,,,,,,,,,,,no,-0.2048047|51.5763455
893961906,,,,,,,,,,,,,,,,,,,,,-0.2023627|51.5751261
893961910,,,,,,,,,,,,,,,,,,,,,-0.2024816|51.5751963
893961911,,,,,,,,,,,,,,,,,,,,,-0.2026123|51.5751104
893961912,,,,,,,,,,,,,,,,,,,,,-0.2024933|51.5750402
1128715463,,,,,,,,,,,,,,,,,,,,,-0.2157695|51.5556694
1130773453,,,,,,,,,,,,,,,,,,,,,-0.2052696|51.5610814
1130773454,,,,,,,,,,,,,,,,,,,,,-0.2051631|51.5611012
1130773456,,,,,,,,,,,,,,,,,,,,,-0.205121|51.561109
1130773458,,,,,,,,,,,,,,,,,,,,,-0.2051052|51.5610762
1130773460,,,,,,,,,,,,,,,,,,,,,-0.2050363|51.5610889
1130773466,,,,,,,,,,,,,,,,,,,,,-0.2051057|51.5612336
1130773467,,,,,,,,,,,,,,,,,,,,,-0.2051822|51.5612194
1130773468,,,,,,,,,,,,,,,,,,,,,-0.2053233|51.5611933
1230536409,,,,,,,,,,,,,,,,,,,,,-0.2984108|51.6451632
1230536411,,,,,,,,,,,,,,,,,,,,,-0.2983803|51.6452462
1230536412,,,,,,,,,,,,,,,,,,,,,-0.298688|51.6452897
1230536413,,,,,,,,,,,,,,,,,,,,,-0.2987182|51.6452077
1230536415,,,,,,,,,,,,,,,,,,,,,-0.2985886|51.6451893
1230536416,,,,,,,,,,,,,,,,,,,,,-0.2985816|51.6452083
1230536417,,,,,,,,,,,,,,,,,,,,,-0.2985394|51.6452023
1230536418,,,,,,,,,,,,,,,,,,,,,-0.2985467|51.6451824
1279783543,Cricklewood Health Centre,London,,2,NW2 1DZ,Cricklewood Lane,doctors,,,GP Surgery,,doctor,,,,,,NW2 1DZ,https://www.cricklewoodgphealthcentre.nhs.uk/,,-0.2153174|51.5576309
1658274136,,,,,,,,,,,,,,,,,,,,,-0.1311918|51.5677426
1658274139,,,,,,,,,,,,,,,,,,,,,-0.1313892|51.5678873
1658274141,,,,,,,,,,,,,,,,,,,,,-0.130853|51.5678608
1658274154,,,,,,,,,,,,,,,,,,,,,-0.1311198|51.5680412
1658274156,,,,,,,,,,,,,,,,,,,,,-0.1310512|51.5679961
1867074459,,,,,,,,,,,,,,,,,,,,,-0.1309335|51.5678148
1867074460,,,,,,,,,,,main,,,,,,,,,,-0.1309774|51.5678235
1867074463,,,,,,,,,,,,,,,,,,,,,-0.1309606|51.5678331
1867074467,,,,,,,,,,,,,,,,,,,,,-0.1313511|51.5678423
1867074469,,,,,,,,,,,,,,,,,,,,,-0.1313356|51.5678511
1867074470,,,,,,,,,,,,,,,,,,,,,-0.1308876|51.5678829
1867074497,,,,,,,,,,,,,,,,,,,,,-0.131077|51.5680131
1965696173,,,,,,,,,,,,,,,,,,,,,-0.1312008|51.5837723
1965696175,,,,,,,,,,,,,,,,,,,,,-0.1310645|51.5838287
1965696176,,,,,,,,,,,,,,,,,,,,,-0.1313167|51.5838346
1965696177,,,,,,,,,,,,,,,,,,,,,-0.1311002|51.5838472
1965696180,,,,,,,,,,,,,,,,,,,,,-0.1309613|51.5839053
1965696181,,,,,,,,,,,,,,,,,,,,,-0.1312202|51.5839087
1965696182,,,,,,,,,,,,,,,,,,,,,-0.1313897|51.5839138
1965696183,,,,,,,,,,,,,,,,,,,,,-0.1309938|51.5839225
1965696184,,,,,,,,,,,,,,,,,,,,,-0.131324|51.5839625
1965696186,,,,,,,,,,,,,,,,,,,,,-0.1315114|51.5839791
1965696188,,,,,,,,,,,,,,,,,,,,,-0.1316491|51.5840081
1965696191,,,,,,,,,,,,,,,,,,,,,-0.1314464|51.5840275
1965696195,,,,,,,,,,,,,,,,,,,,,-0.1308076|51.5840626
1965696196,,,,,,,,,,,,,,,,,,,,,-0.1317675|51.5840736
1965696197,,,,,,,,,,,,,,,,,,,,,-0.1309886|51.5840803
1965696198,,,,,,,,,,,,,,,,,,,,,-0.1315482|51.5840805
1965696199,,,,,,,,,,,,,,,,,,,,,-0.1309294|51.5841233
1965696200,,,,,,,,,,,,,,,,,,,,,-0.1316664|51.5841443
1965696202,,,,,,,,,,,,,,,,,,,,,-0.1316981|51.5841627
1965696203,,,,,,,,,,,,,,,,,,,,,-0.131572|51.5842216
1965696204,,,,,,,,,,,,,,,,,,,,,-0.1316005|51.5842382
1965696206,,,,,,,,,,,,,,,,,,,,,-0.131535|51.5842443
1965696208,,,,,,,,,,,,,,,,,,,,,-0.1311359|51.5842321
1965696209,,,,,,,,,,,,,,,,,,,,,-0.1315886|51.5842749
1965696210,,,,,,,,,,,,,,,,,,,,,-0.1314952|51.5842682
1965696212,,,,,,,,,,,,,,,,,,,,,-0.1315604|51.5842973
1965696213,,,,,,,,,,,,,,,,,,,,,-0.1312477|51.5842901
1965696215,,,,,,,,,,,,,,,,,,,,,-0.1313777|51.5843599
1984414752,,,,,,,,,,,,,,,,,,,,,-0.1474625|51.6013267
