osm_id,name,amenity,geometry
413570859,Hendon Fire Station,fire_station,-0.2286435|51.5888473
849394133,,,-0.1856826|51.6471096
849394561,,,-0.1857271|51.6473049
849394660,,,-0.1862271|51.6472923
849395109,,,-0.1862499|51.6470598
960130915,,,-0.2430215|51.6150357
960130918,,,-0.2432709|51.6150205
960130922,,,-0.2433979|51.6149588
960130933,,,-0.2430606|51.6149454
990406382,,,-0.1794377|51.5980085
990406397,,,-0.1790497|51.598048
990406413,,,-0.17953|51.5980203
990406425,,,-0.1795767|51.5978796
990406444,,,-0.1794093|51.5980941
990406498,,,-0.1790419|51.5978111
991248515,,,-0.2976787|51.6035373
991248544,,,-0.2973951|51.6035912
991248755,,,-0.2974536|51.6037931
991248984,,,-0.2978056|51.6037169
2097043388,,,-0.2667573|51.6589741
2097043390,,,-0.2665003|51.6590386
2097043395,,,-0.2668428|51.6591038
2097043397,,,-0.266585|51.6591685
2121307480,,,-0.1789951|51.5979522
2121307494,,,-0.1790779|51.5979628
7170216058,,,-0.1862099|51.647217
7170216059,,,-0.1862843|51.6472105
7170216060,,,-0.1860545|51.6473075
7170216061,,,-0.1860597|51.6473304
7170216062,,,-0.1858738|51.6473466
7170216063,,,-0.1858835|51.6473891
7997456709,,,-0.2432479|51.6150736
7997456710,,,-0.2432223|51.6149724
7997456720,,,-0.2433644|51.6150361
7997456744,,,-0.2432397|51.6149323
9028639451,,,-0.2977141|51.6035874
9508119232,,,-0.1857645|51.6473017
9508119233,,,-0.1857864|51.6473976
9508119234,,,-0.1859327|51.6470877
9508119236,,,-0.1861303|51.6470703
9508119238,,,-0.1860308|51.647079
9725673154,,,-0.2667647|51.6589854
9725673155,,,-0.266792|51.6590258
