osm_id,name,addr:city,addr:housenumber,addr:interpolation,addr:postcode,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,compressed_air,contact:website,fixme,fuel:diesel,fuel:lpg,fuel:octane_95,fuel:octane_98,name:en,not:addr:postcode,opening_hours,operator,operator:website,operator:wikidata,phone,postal_code,ref:navads,self_service,source:addr:postcode,website,geometry
75167297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1503228|51.6523108
75167299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1500004|51.652408
75167301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1499409|51.652332
75167308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1502633|51.6522348
206177866,Shell Stirling Corner,,,,EN5 3JG,,fuel,Shell,Q110716465,,,,,,,,,,EN5 3JT,24/7,,,,+44 20 8364 9497,,NVDS353_10018878,,code-point_open,https://find.shell.com/gb/fuel/10018878-shell-little-waitrose-stirling,-0.2537207|51.6432083
249400366,Shell,London,,,NW7 3ET,,fuel,Shell,Q110716465,en:Royal Dutch Shell,,https://find.shell.com/gb/fuel/10018876-shell-mill-hill,,,,,,,,24/7,,,,+44 20 8906 4360,,NVDS353_10018876,,,,-0.2551736|51.6221763
266471037,BP Connect,London,99,,N14 5BU,Chase Side,fuel,BP,Q152057,en:BP,,,,,,,,,,,Motor Fuel Group,https://www.motorfuelgroup.com/locations/southgate-fs660/,Q107271358,,,,yes,,https://map.bp.com/en-GB/GB/petrol-station/london/southgate-s-stn-fs660/4417,-0.1331176|51.6337578
293655955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.145074|51.5951881
301548932,BP,,,,,,fuel,BP,Q152057,en:BP,,,,,,,,,,,,,,,,,,,https://map.bp.com/en-GB/GB/petrol-station/mill-hill/watford-way-sf-connect/4782,-0.2403134|51.6055464
303619397,Texaco,,,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,-0.2095502|51.6528081
305084385,Shell,London,369,,NW10 0SH,North Circular Road,fuel,Shell,Q110716465,,,,,,,,,,,24/7,,,,+44 20 8830 7350,,NVDS353_10019504,,,https://find.shell.com/gb/fuel/10019504-shell-neasden,-0.253917|51.5578407
305084405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2642794|51.5651464
305442670,Esso,,,,,,fuel,Esso,Q867662,,,,,,,,,,,,Motor Fuel Group,https://www.motorfuelgroup.com/locations/wembley-fs754/,Q107271358,,,,,,,-0.3012661|51.5626553
365581663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2648332|51.6596562
442570182,BP,,,,,,fuel,BP,Q152057,en:BP,,,,,,,,,,,,,,,,,,,https://map.bp.com/en-GB/GB/petrol-station/north-finchley/byron-sf-connect/3742,-0.1750576|51.6008768
448897293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1551967|51.6063645
448897294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1552809|51.6064616
448897295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1551088|51.6065192
448897296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1548826|51.6062585
448897297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1550512|51.6062021
448897298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1551059|51.6062651
448897299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1553031|51.6061991
448897300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1553904|51.6062997
503939726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2646407|51.5647955
535099405,Deansbrook Garage,,,,,,fuel,,,,yes,,,,,,,,,24/7,Texaco,,,,HA8 9RZ,,,,,-0.2608844|51.6171155
535137180,Esso,London,520-522,even,,Watford Way,fuel,,,,,,,,,,,,,,Esso,,,,NW7 2PT,,,,,-0.2420335|51.6155914
536126536,Jet,,,,,,fuel,JET,Q568940,en:Jet (brand),,,,,,,,,,,JET,,,,,,,,,-0.3018615|51.5874294
586881371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2067334|51.605134
598725878,Elstree Hill Service Station,,,,,,fuel,Esso,Q867662,,,https://www.esso.co.uk/en-gb/find-station/esso-watford-essoegelstreehill-100200839,,,,,,,,24/7,Esso,,,,,,,,,-0.3041855|51.6375037
613577529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1370797|51.6103959
622031176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1456771|51.5954222
763082275,Shell London Gateway,London,,,NW7 3HB,,fuel,Shell,Q110716465,,yes,,,,,,,,,Mo-Fr 00:00-24:00; Sa 08:00-17:30; Su 10:00-17:00,Shell,,,+44 20 8959 4514,,NVDS353_10018912,,,,-0.2661656|51.632132
763391229,Shell,London,383,,NW2 6LD,Edgware Road,fuel,Shell,Q110716465,,,,,,,,,,,24/7,,,,+44 20 8452 7294,,,,,https://find.shell.com/gb/fuel/12038595-hks-staples-corner-service-station,-0.2265749|51.5663799
769152952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2167896|51.5751174
769152953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2164141|51.5753908
769152954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2168647|51.5755641
769152955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2170578|51.5753241
846291244,Esso,,,,,,fuel,Esso,Q867662,en:Esso,,https://www.esso.co.uk/en-gb/find-station/esso-eastbarnet-tesconewbarnetexpressrtfuel-100200369,,,,,,,,,Tesco,,,,,,,,,-0.166931|51.6462159
849394174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1886664|51.6466806
849394448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1884964|51.6468924
849394797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1886105|51.6469273
849395022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1887789|51.6467162
959179277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1362737|51.6107768
1643307625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2528155|51.6583569
1643307630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2528932|51.6584193
1643307632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2525303|51.6584936
1643307638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.252608|51.658556
1686169213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1418793|51.6172913
1686169219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419428|51.6172004
1686169228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419592|51.6172013
1686169236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1415626|51.6171786
1686169250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1415555|51.6172694
1798796080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1995945|51.5886515
1798796081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1993554|51.5886512
1798796082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1993553|51.5886874
1798796085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1993475|51.5887775
1798796087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1995941|51.5888149
1798796088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1993474|51.5888146
1830045883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2225335|51.5635732
1893905681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1699934|51.6496059
1893906699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1700263|51.6495726
