osm_id,barrier,bicycle,foot,geometry
13796289,,,,-0.2266806|51.5919031
13796290,,,,-0.2270392|51.591857
13796291,,,,-0.2271638|51.5918604
13796294,,,,-0.2279786|51.591803
21642908,,,,-0.1644571|51.6211114
21642909,,,,-0.164111|51.6209926
106231337,,,,-0.2902232|51.6090855
106231338,,,,-0.2897395|51.6078563
268233723,,,,-0.1938913|51.6614227
268233726,,,,-0.1939733|51.6614208
332539462,,,,-0.1815437|51.5554386
332539463,,,,-0.181166|51.5554813
332539464,,,,-0.1803592|51.5554973
332539465,,,,-0.180239|51.5553692
332539466,,,,-0.1804566|51.5547848
332539468,,,,-0.1811041|51.5546702
332539469,,,,-0.1815429|51.5550527
574308615,,,,-0.1982862|51.6002481
576496704,,,,-0.2595345|51.5687241
576496712,,,,-0.2592448|51.5683307
576496717,,,,-0.2592019|51.5678705
576496718,,,,-0.2603177|51.5676971
576496726,,,,-0.2616588|51.5670369
576496733,,,,-0.2620665|51.567377
576496740,,,,-0.261176|51.5679972
576496744,,,,-0.2603392|51.5681973
576496748,,,,-0.2602748|51.5684507
594772784,,,,-0.2310539|51.6205971
621392906,,,,-0.1744638|51.5921219
1098334701,,,,-0.2958833|51.6445701
1261875132,,,,-0.1810198|51.5546858
1261875140,,,,-0.1812682|51.5548871
1279333017,,,,-0.2281482|51.5918954
1352499342,,,,-0.1496495|51.5713545
1479393394,,,,-0.1994506|51.6327292
1479393399,,,,-0.1990938|51.6331273
1479393401,,,,-0.1996036|51.63255
1479393407,,,,-0.198265|51.6333088
1479393412,,,,-0.1990315|51.6335437
1479393414,,,,-0.2006615|51.632279
1479393425,,,,-0.2006401|51.6324539
1479393430,,,,-0.1998127|51.632493
1479393431,,,,-0.1999213|51.6322924
1479393435,,,,-0.1983804|51.6332039
1479393437,,,,-0.1992816|51.6329342
1479393456,,,,-0.199877|51.6326079
1479393460,,,,-0.2004376|51.6326046
1479393463,,,,-0.2003692|51.6326012
1479393464,,,,-0.2000648|51.6322216
1479393465,,,,-0.1993835|51.6330388
1479393466,,,,-0.200215|51.6326811
1479393482,,,,-0.2002418|51.632135
1479393489,,,,-0.1986191|51.6329758
1898110727,,,,-0.1530139|51.6519828
1898110729,,,,-0.1521725|51.6517997
1898110731,,,,-0.153063|51.6520427
1898110738,,,,-0.152751|51.651655
1898110760,,,,-0.1519732|51.6515335
1898110765,,,,-0.1525847|51.6513804
1898110766,,,,-0.1525499|51.6522174
1977791023,,,,-0.2783142|51.6115048
1977791029,,,,-0.2791152|51.6118353
1977791036,,,,-0.2793162|51.6111356
1977791038,,,,-0.2792128|51.6112133
1977791046,,,,-0.2782874|51.6115415
1977791048,,,,-0.2784939|51.6113632
1977791058,,,,-0.2788346|51.6115814
1977791060,,,,-0.2786039|51.6116997
1977791074,,,,-0.279518|51.611666
1977791077,,,,-0.2790967|51.6110347
1977791078,,,,-0.2786683|51.6116464
1987151708,,,,-0.1641111|51.6202246
1987151710,,,,-0.1630193|51.6208143
1987151712,,,,-0.1632634|51.6211373
1987151742,,,,-0.1631669|51.6205029
1987151746,,,,-0.1633734|51.6212106
1987151750,,,,-0.1643229|51.6214038
1987151761,,,,-0.1634056|51.6200619
1987151770,,,,-0.1636953|51.6212972
1987151794,,,,-0.1630651|51.6209393
2087628702,,,,-0.2307791|51.6210859
2087632249,,,,-0.2308336|51.6204505
2087632251,,,,-0.2303266|51.6207383
2087649221,,,,-0.2235866|51.6205494
2087649238,,,,-0.2230097|51.6208526
2087649244,,,,-0.2235059|51.6207544
2087649270,,,,-0.2231438|51.6204879
2087649281,,,,-0.2234978|51.6209176
2312907934,,,,-0.2948153|51.6444701
2312907948,,,,-0.2958155|51.6449221
3524103852,gate,no,yes,-0.1632134|51.6204179
3780974596,,,,-0.2897499|51.6078922
4726091422,,,,-0.1931846|51.6614246
4726091423,,,,-0.1931913|51.6616397
4726091424,,,,-0.1933845|51.6616497
4726091425,,,,-0.1933684|51.661846
4726091426,,,,-0.1941448|51.6616705
4730211373,,,,-0.1944022|51.661644
4730211374,,,,-0.1942483|51.6613547
4978005547,,,,-0.1977354|51.6005814
4978005548,,,,-0.1973896|51.5997617
4978005549,,,,-0.1981592|51.5996925
4986763152,,,,-0.1741956|51.5922687
4986763153,,,,-0.1741723|51.5922397
4986763154,,,,-0.1741863|51.5921447
4986763155,,,,-0.1740859|51.5920315
4986763156,,,,-0.174188|51.591963
5007824377,,,,-0.1979519|51.6004577
5007824378,,,,-0.1982832|51.6002184
5007824379,,,,-0.1981307|51.600221
5007824380,,,,-0.1981368|51.6001888
5007824381,,,,-0.1981002|51.6001888
5007824382,,,,-0.1981023|51.6001679
5007824383,,,,-0.1979254|51.6001667
5007824384,,,,-0.1979163|51.6001016
5007824385,,,,-0.1979671|51.6000821
5007824386,,,,-0.1980494|51.6000701
5007824387,,,,-0.1981389|51.5999792
5007824388,,,,-0.1974661|51.5998617
5007824389,,,,-0.1973087|51.5999183
5007824390,,,,-0.1973353|51.5999663
5007824391,,,,-0.1970587|51.6000659
5007824392,,,,-0.197961|51.5997418
5007824393,,,,-0.1975426|51.5998097
5007824394,,,,-0.1975477|51.599759
5007824395,,,,-0.1974501|51.599759
5007824396,,,,-0.1976869|51.5998078
5007824397,,,,-0.197885|51.599744
