osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,automatic_door,door,entrance,opening_hours,operator,phone,toilets:wheelchair,wheelchair,wikidata,geometry
292130473,,,,,,,,,,main,,,,,,,-0.143668|51.5770925
622031273,,,,,,,,,,,,,,,,,-0.1480871|51.6003824
765802909,Hendon Library,,,,,,library,,,,,,,,yes,Q27087003,-0.2288779|51.5885771
769153838,,,,,,,,,,,,,,,,,-0.2010104|51.5623036
769153839,,,,,,,,,,,,,,,,,-0.2008119|51.5620577
769153840,,,,,,,,,,,,,,,,,-0.2004807|51.5621844
769153842,,,,,,,,,,,,,,,,,-0.2007073|51.5624104
769153844,,,,,,,,,,,,,,,,,-0.2004682|51.5621899
797982278,,,,,,,,,,,,,,,,,-0.1683252|51.555553
797982372,,,,,,,,,,,,,,,,,-0.1680835|51.5555646
797982562,,,,,,,,,,,,,,,,,-0.1683228|51.5553232
797982697,,,,,,,,,,,,,,,,,-0.1680809|51.5553242
842435966,,,,,,,,,,,,,,,,,-0.1355127|51.5658034
842436108,,,,,,,,,,,,,,,,,-0.1356214|51.5655772
842436203,,,,,,,,,,,,,,,,,-0.135533|51.5655418
842436234,,,,,,,,,,,,,,,,,-0.1357841|51.5654678
842436286,,,,,,,,,,,,,,,,,-0.1356028|51.5658234
842436317,,,,,,,,,,,,,,,,,-0.135588|51.5654323
893961914,,,,,,,,,,,,,,,,,-0.2020409|51.5746294
893961915,,,,,,,,,,,,,,,,,-0.2016903|51.5748712
893961916,,,,,,,,,,,,,,,,,-0.2015571|51.5747963
893961917,,,,,,,,,,,,,,,,,-0.2019077|51.5745545
895874416,,,,,,,,,,,,,,,,,-0.2270837|51.5568557
895874418,,,,,,,,,,,,,,,,,-0.2275639|51.5569243
895874421,,,,,,,,,,,,,,,,,-0.2276137|51.5567896
895874422,,,,,,,,,,,,,,,,,-0.2271334|51.556721
910346747,,,,,,,,,,,,,,,,,-0.1438757|51.5638717
910346748,,,,,,,,,,,,,,,,,-0.1441568|51.5639278
910346749,,,,,,,,,,,,,,,,,-0.1442777|51.5636995
910346750,,,,,,,,,,,,,,,,,-0.1440021|51.5636384
914971622,Neasden Library Plus,,,,,,library,,,,,,,,,,-0.2515019|51.5598343
926705400,,,,,,,,,,,,,,,,,-0.1303639|51.615296
926705401,,,,,,,,,,,,,,,,,-0.1307346|51.6153425
926705406,,,,,,,,,,,,,,,,,-0.1306925|51.6154528
926705410,,,,,,,,,,,,,,,,,-0.1303381|51.615416
960130937,,,,,,,,,,,,,,,,,-0.2431591|51.615503
960130939,,,,,,,,,,,,,,,,,-0.2428194|51.6154503
960130942,,,,,,,,,,,,,,,,,-0.2428905|51.6152735
960130944,,,,,,,,,,,,,,,,,-0.2433085|51.6153384
960130952,,,,,,,,,,,,,,,,,-0.2432521|51.6154786
960130953,,,,,,,,,,,,,,,,,-0.2431738|51.6154665
1012884689,,,,,,,,,,,,,,,,,-0.167732|51.5939996
1012884700,,,,,,,,,,,,,,,,,-0.1674521|51.5940042
1012884701,,,,,,,,,,,,,,,,,-0.1673894|51.5939541
1012884702,,,,,,,,,,,,,,,,,-0.1673495|51.5938819
1012884703,,,,,,,,,,,,,,,,,-0.1675337|51.5938426
1012884704,,,,,,,,,,,,,,,,,-0.1678097|51.5939667
1076910035,,,,,,,,,,,,,,,,,-0.2660329|51.5888852
1076910036,,,,,,,,,,,,,,,,,-0.2662088|51.5888285
1076910040,,,,,,,,,,,,,,,,,-0.2659677|51.588541
1076910042,,,,,,,,,,,,,,,,,-0.2657917|51.5885977
1314263144,Oakwood Library,London,,185-187,N14 4XA,Bramley Road,library,,,,Mo-Fr 09:00-18:00; Sa 09:00-17:30,,020 8379 1645,yes,yes,Q55125474,-0.1292409|51.6488987
1389887364,,,,,,,,,,,,,,,,,-0.1355307|51.5658069
1426991294,,,,,,,,,,,,,,,,,-0.1682883|51.5555638
1426991555,,,,,,,,,,,,,,,,,-0.1682882|51.5555532
1444412559,,,,,,,,,,,,,,,,,-0.1683067|51.5555531
1599355271,,,,,,,,,,,,,,,,,-0.1489696|51.6304132
1599355274,,,,,,,,,,,,,,,,,-0.1489743|51.6302794
1599355285,,,,,,,,,,,,,,,,,-0.1491888|51.6304162
1599355287,,,,,,,,,,,,,,,,,-0.1491935|51.6302816
1601281805,,,,,,,,,,,,,,,,,-0.2044329|51.6562764
1601281818,,,,,,,,,,,,,,,,,-0.2045178|51.6559264
1601281820,,,,,,,,,,,,,,,,,-0.2047317|51.656188
1601281823,,,,,,,,,,,,,,,,,-0.2050602|51.655944
1601281827,,,,,,,,,,,,,,,,,-0.2046737|51.6562951
1601281835,,,,,,,,,,,,,,,,,-0.2046043|51.6563444
1601281860,,,,,,,,,,,,,,,,,-0.2044148|51.6563064
1601281863,,,,,,,,,,,,,,,,,-0.2050069|51.6560437
1601281869,,,,,,,,,,,,,,,,,-0.2044641|51.6560441
1601281873,,,,,,,,,,,,,,,,,-0.2044903|51.6560747
1601281899,,,,,,,,,,,,,,,,,-0.2044021|51.6562442
1601281904,,,,,,,,,,,,,,,,,-0.2047635|51.6558567
1601281907,,,,,,,,,,,,,,,,,-0.20462|51.656312
1601281910,,,,,,,,,,,,,,,,,-0.2048859|51.6561853
1601281913,,,,,,,,,,,,,,,,,-0.2049489|51.6560605
1712859029,,,,,,,,,,,,,,,,,-0.1490832|51.6302801
1712859060,,,,,,,,,,,,,,,,,-0.1488281|51.6302774
1712859067,,,,,,,,,,,,,,,,,-0.1488307|51.6302023
1712859088,,,,,,,,,,,,,,,,,-0.1490858|51.6302058
1831017807,,,,,,,,,,,,,,,,,-0.1368626|51.5988464
1980018546,,,,,,,,,,,,,,,,,-0.1675991|51.5938286
1980018609,,,,,,,,,,,,,,,,,-0.1674208|51.5939474
1980018612,,,,,,,,,,,,,,,,,-0.167627|51.5938519
1980018614,,,,,,,,,,,,,,,,,-0.1675462|51.5938531
1980018644,,,,,,,,,,,,,,,,,-0.1675358|51.5939863
1980018651,,,,,,,,,,,,,,,,,-0.1676559|51.5938385
1980018654,,,,,,,,,,,,,,,,,-0.1675562|51.5940234
1983472139,,,,,,,,,,,,,,,,,-0.1481622|51.6006289
1983472159,,,,,,,,,,,,,,,,,-0.1479423|51.6006106
1983472175,,,,,,,,,,,,,,,,,-0.1478591|51.6003324
1983472179,,,,,,,,,,,,,,,,,-0.1480683|51.6006589
1985789887,,,,,,,,,,,,,,,,,-0.1534767|51.6135489
1985789909,,,,,,,,,,,,,,,,,-0.1536085|51.6135309
1985789928,,,,,,,,,,,,,,,,,-0.1534428|51.6136112
1985789944,,,,,,,,,,,,,,,,,-0.1534962|51.613604
1985789973,,,,,,,,,,,,,,,,,-0.15327|51.6135157
1985789976,,,,,,,,,,,,,,,,,-0.1534328|51.6135831
1985789983,,,,,,,,,,,,,,,,,-0.1533002|51.6136012
1987083418,,,,,,,,,,,,,,,,,-0.176004|51.6184609
1987083487,,,,,,,,,,,,,,,,,-0.1758035|51.6185501
1987083492,,,,,,,,,,,,,,,,,-0.1757973|51.6186982
1987083495,,,,,,,,,,,,,,,,,-0.1759923|51.6187407
1987083535,,,,,,,,,,,,,,,,,-0.1757671|51.6186977
