osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,barrier,entrance,operator,phone,source,survey:date,website,geometry
771205399,,,,,,,,,,,,,,-0.2135183|51.5602332
771205400,,,,,,,,,,,,,,-0.2133317|51.5602876
771205401,,,,,,,,,,,,,,-0.2131441|51.5600741
771205402,,,,,,,,,,,,,,-0.2129651|51.5599293
771205403,,,,,,,,,,,,,,-0.213165|51.559871
771205404,,,,,,,,,,,,,,-0.2132611|51.5600057
771205405,,,,,,,,,,,,,,-0.2134543|51.5599487
771205406,,,,,,,,,,,,,,-0.2133783|51.5598481
771205407,,,,,,,,,,,,,,-0.2135752|51.5597906
771205408,,,,,,,,,,,,,,-0.213814|51.560114
771205409,,,,,,,,,,,,,,-0.2136981|51.5601478
771205410,,,,,,,,,,,,,,-0.2136208|51.5600454
771205411,,,,,,,,,,,,,,-0.2134207|51.5601038
1130779807,,,,,,,,,,,,,,-0.1954297|51.5689431
1130779808,,,,,,,,,,,,,,-0.1952273|51.5689604
1130779809,,,,,,,,,,,,,,-0.1952224|51.5689386
1130779810,,,,,,,,,,,,,,-0.1951858|51.5689417
1130779811,,,,,,,,,,,,,,-0.1951652|51.5688486
1130779812,,,,,,,,,,,,,,-0.1951973|51.5688459
1130779813,,,,,,,,,,,,,,-0.1951898|51.5688119
1130779814,,,,,,,,,,,,,,-0.1953824|51.5687955
1130779815,,,,,,,,,,,,,,-0.1954388|51.5688185
1130779816,,,,,,,,,,,,,,-0.1954623|51.5689245
1150054680,,,,,,,,,,,,,,-0.1402351|51.5693653
1150054696,,,,,,,,,,,,,,-0.1398835|51.5693556
1150054710,,,,,,,,,,,,,,-0.1398523|51.5692944
1150054743,,,,,,,,,,,,,,-0.1398283|51.5692543
1150054744,,,,,,,,,,,,,,-0.1402691|51.5693956
1150054769,,,,,,,,,,,,,,-0.1405634|51.569085
1150054773,,,,,,,,,,,,,,-0.1399245|51.5694912
1150054806,,,,,,,,,,,,,,-0.1399199|51.5695524
1150054829,,,,,,,,,,,,,,-0.1398487|51.5692714
1150054839,,,,,,,,,,,,,,-0.1407002|51.5692168
1150054858,,,,,,,,,,,,,,-0.1399525|51.5695166
1150054867,,,,,,,,,,,,,,-0.1396569|51.5692996
1150054874,,,,,,,,,,,,,,-0.1398356|51.56931
1150054902,,,,,,,,,,,,,,-0.1399458|51.5695448
1150054924,,,,,,,,,,,,,,-0.13978|51.5692514
1248282475,,,,,,,,,,,,,,-0.2130752|51.5600752
1248282476,,,,,,,,,,,,,,-0.2131323|51.5600585
1248282480,,,,,,,,,,,,,,-0.2133159|51.5599897
1248282482,,,,,,,,,,,,,,-0.2133051|51.5599755
1248282492,,,,,,,,,,,,,,-0.2133785|51.5599541
1248282494,,,,,,,,,,,,,,-0.2133889|51.5599678
1248282495,,,,,,,,,,,,,,-0.2132789|51.5600005
1248282497,,,,,,,,,,,,,,-0.2131953|51.5599186
1248282499,,,,,,,,,,,,,,-0.2132538|51.5599015
1248282502,,,,,,,,,,,,,,-0.2132238|51.5598618
1248282503,,,,,,,,,,,,,,-0.2131699|51.5598775
1248282505,,,,,,,,,,,,,,-0.2131621|51.560098
1248282511,,,,,,,,,,,,,,-0.2131457|51.5601028
1248282512,,,,,,,,,,,,,,-0.2131881|51.5601591
1248282514,,,,,,,,,,,,,,-0.2132145|51.5601514
1248282515,,,,,,,,,,,,,,-0.2132464|51.5601935
1248282517,,,,,,,,,,,,,,-0.2132332|51.5601974
1248282518,,,,,,,,,,,,,,-0.2132654|51.56024
1248282522,,,,,,,,,,,,,,-0.2132902|51.5602327
1248282535,,,,,,,,,,,,,,-0.2136728|51.5599268
1248282539,,,,,,,,,,,,,,-0.213701|51.5599186
1248282540,,,,,,,,,,,,,,-0.2136571|51.5598604
1248282543,,,,,,,,,,,,,,-0.2136332|51.5598674
1248282581,,,,,,,,,,,,,,-0.2130342|51.5600208
1248282583,,,,,,,,,,,,,,-0.2130081|51.5599862
1248282595,,,,,,,,,,,,,,-0.2130216|51.5600245
1248282596,,,,,,,,,,,,,,-0.2129955|51.5599899
1910649213,,,,,,,,,,,,,,-0.1579337|51.644745
1910649238,,,,,,,,,,,,,,-0.1579557|51.6447414
1910649245,,,,,,,,,,,,,,-0.1580223|51.6447116
1910649285,,,,,,,,,,,,,,-0.1579822|51.6448595
1910649323,,,,,,,,,,,,,,-0.1581098|51.6447178
1910649350,,,,,,,,,,,,,,-0.158171|51.6448621
1910649356,,,,,,,,,,,,,,-0.1580421|51.6448831
1910649388,,,,,,,,,,,,,,-0.1579482|51.6447237
1910649398,,,,,,,,,,,,,,-0.1580305|51.6447307
2439018709,,,,,,,,,,,,,,-0.2815993|51.5659112
2439055405,,,,,,,,,,,,,,-0.2822036|51.5651439
2439055406,,,,,,,,,,,,,,-0.2832938|51.5658834
2439055407,,,,,,,entrance,,,,survey;Bing 2012,2013-08-29,,-0.2831641|51.5659047
2439055408,,,,,,,,,,,,,,-0.2828868|51.5659459
2439055409,,,,,,,,,,,,,,-0.2818438|51.5659479
2439055410,,,,,,,,,,,,,,-0.282569|51.5659668
2439055411,,,,,,,,,,,,,,-0.2821995|51.5659756
2451664865,,,,,,,,,,,,,,-0.2924135|51.576097
2451664866,,,,,,,,,,,,,,-0.2918927|51.5761955
2451664867,,,,,,,,,,,,,,-0.2918321|51.5763674
2451664868,,,,,,,,,,,,,,-0.2918697|51.5769694
2451664870,,,,,,,,,,,,,,-0.2916387|51.5769869
2451664872,,,,,,,,,,,,,,-0.2924872|51.5770369
2451664875,,,,,,,,,,,,,,-0.2916704|51.5771478
4252843514,,,,,,,,,,,,,,-0.1310812|51.5708017
4580862859,,,,,,,,,,,,,,-0.2922845|51.5771012
4580862860,,,,,,,,,,,,,,-0.2918567|51.5769035
4580862861,,,,,,,,,,,,,,-0.2919365|51.5768975
4580862862,,,,,,,,,,,,,,-0.2919251|51.5763604
4580862863,,,,,,,,,,,,,,-0.2920684|51.5761822
4580862864,,,,,,,,,,,,,,-0.2920928|51.5763058
4580862865,,,,,,,,,,,,,,-0.2922276|51.5762956
4580862866,,,,,,,,,,,,,,-0.2921918|51.5761138
4580862867,,,,,,,,,,,,,,-0.292461|51.5763381
4580862868,,,,,,,,,,,,,,-0.2925088|51.5763344
4580862869,,,,,,,,,,,,,,-0.2925534|51.5765607
4580862870,,,,,,,,,,,,,,-0.292352|51.576576
4580862871,,,,,,,,,,,,,,-0.2923161|51.5763939
4580862872,,,,,,,,,,,,,,-0.2920984|51.5764104
4580862873,,,,,,,,,,,,,,-0.2921916|51.5768839
4580862874,,,,,,,,,,,,,,-0.2922694|51.576878
4580862875,,,,,,,,,,,,,,-0.2922831|51.5769476
4580862876,,,,,,,,,,,,,,-0.2924489|51.576895
4580862877,,,,,,,,,,,,,,-0.2925053|51.5769636
4580862878,,,,,,,,,,,,,,-0.2924432|51.5769833
4897638122,Moriss House,London,23,N8 8EP,Coolhurst Road,nursing_home,,main,Abbeyfield,+44 1727737978,,,https://www.abbeyfield.com/eastern/m/morriss-house-n8-8ep/,-0.1306391|51.5776615
7636716977,,,,,,,,,,,,,,-0.1325806|51.6372591
7636716978,,,,,,,,,,,,,,-0.1325541|51.6372446
7636716979,,,,,,,,,,,,,,-0.132637|51.6371642
7636716980,,,,,,,,,,,,,,-0.1326811|51.6371882
7636716981,,,,,,,,,,,,,,-0.1324362|51.6373279
7636716982,,,,,,,,,,,,,,-0.1322861|51.637246
7636716983,,,,,,,,,,,,,,-0.1323533|51.6371986
7636716984,,,,,,,,,,,,,,-0.1321674|51.6370972
7636716985,,,,,,,,,,,,,,-0.1321511|51.6369491
7636716986,,,,,,,,,,,,,,-0.132039|51.6370282
7636716987,,,,,,,,,,,,,,-0.1321031|51.6371427
7636716988,,,,,,,,,,,,,,-0.1320314|51.6371036
7636716989,,,,,,,,,,,,,,-0.1320949|51.6370587
7636716990,,,,,,,,,,,,,,-0.1327252|51.6371019
7636716991,,,,,,,,,,,,,,-0.1325895|51.6370278
7636716992,,,,,,,,,,,,,,-0.1324956|51.6370941
7636716993,,,,,,,,,,,,,,-0.1322429|51.6369561
7636716994,,,,,,,,,,,,,,-0.1322085|51.6369804
7906074408,,,,,,,,,,,,,,-0.1310974|51.5708223
7906074409,,,,,,,,,,,,,,-0.1309504|51.5708423
7906074410,,,,,,,,,,,,,,-0.1307073|51.570878
7906074411,,,,,,,,,,,,,,-0.1306705|51.5707799
7906074412,,,,,,,,,,,,,,-0.1308882|51.5707446
7906074413,,,,,,,,,,,,,,-0.1309522|51.5707232
7906074414,,,,,,,,,,,,,,-0.1309106|51.5706741
7906074415,,,,,,,,,,,,,,-0.1310581|51.5706274
7906074416,,,,,,,,,,,,,,-0.1311144|51.5706974
7906074417,,,,,,,,,,,,,,-0.1313987|51.5706132
7906074418,,,,,,,,,,,,,,-0.1314752|51.5707074
10830592428,,,,,,,,,,,,,,-0.1580289|51.6448519
