osm_id,name,access,addr:flats,amenity,barrier,bicycle,bus,capacity,capacity:disabled,created_by,crossing,crossing:island,crossing_ref,description,direction,entrance,fee,foot,highway,horse,lamp_model,lamp_mount,lamp_type,layer,level,light:count,material,maxheight,maxheight:physical,maxwidth,motor_vehicle,motorcar,motorcycle,parking,ref:GB:tflcid,source,support,surface,tactile_paving,traffic_calming,geometry
515473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2812579|51.5850181
640822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RWG145640,,,,,hump,-0.1496852|51.6568787
10440512,,,,,,,,,,,uncontrolled,,zebra,,,,,,crossing,,,,,,,,,,,,,,,,,,,,,,-0.1564564|51.6361167
13683871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1685396|51.652083
13683872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1686217|51.6518874
13683873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1681977|51.6518123
19086704,,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1300075|51.6491972
19086705,,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1303336|51.6492185
19086706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.130655|51.6491374
21104108,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1352243|51.666416
21431133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2164273|51.619943
21452136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2164769|51.6199167
21556507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1487497|51.6126808
23703157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1558954|51.6358542
25498238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1683786|51.5584574
25498240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.167423|51.5578549
25681338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1800771|51.5580849
25721853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1494589|51.6518675
25721854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1488006|51.652081
25721855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482652|51.6519036
25721856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148147|51.6519232
25721857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482749|51.6521867
26432861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.144667|51.6112447
26432863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1422223|51.6106086
26625038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1376997|51.5722389
26948601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2160589|51.5598667
26948602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2152128|51.5587492
26948603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2146496|51.5589975
26948604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2136683|51.5581759
26948607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2133352|51.5586231
26948613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2154742|51.560144
27143808,,,,,,,,,,YahooApplet 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2189692|51.5751303
27143809,,,,,,,,,,YahooApplet 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2182139|51.5748556
27143820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2161568|51.5755009
27144281,,,,,,,,,,YahooApplet 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2303922|51.5711841
27144283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.228867|51.5694501
27144284,,,,,,,,,,YahooApplet 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2308505|51.570927
27144297,,,,,,,,,,YahooApplet 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2113946|51.5632333
27144299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2119126|51.5630786
27445195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1985861|51.6514669
27456173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.216915|51.5750313
27543267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.290841|51.6391368
28926677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2670246|51.6610393
29190917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2777532|51.6553732
29190919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2787244|51.6558353
31224530,,,,parking,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,surface,,,,,,,-0.2419189|51.5788128
33499159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1388564|51.6567288
33499160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1380908|51.6568616
33499161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1373105|51.6553148
33499162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1375301|51.6552717
33499163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13825|51.6566189
33499164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1387755|51.6565325
33751228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.168696|51.5583019
33751233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1677224|51.5576293
34466789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1718131|51.6513451
34466790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1716248|51.651371
34466791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1716026|51.6512843
34466792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171533|51.6512874
34466793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1714325|51.6511101
34466794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1716461|51.6510632
34467376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1811337|51.6560591
34467377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1801747|51.6561045
34467378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1801499|51.6559037
34467379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181109|51.6558583
45454790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1490957|51.6509485
45454793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1487957|51.6510189
45454797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1485697|51.6510357
45454801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483276|51.6509892
45454803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1481494|51.6509087
45454806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1479951|51.6508376
45454809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148119|51.6507414
45454814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1481765|51.6507688
45454816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1484625|51.6505456
45454818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482828|51.6504595
45454822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1478555|51.6508049
45454823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1477112|51.6507364
45454825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482573|51.6503016
45454829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1488288|51.6505798
45454831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148717|51.6506671
45454833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1485905|51.6506082
45454836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483089|51.6508321
45454838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1484992|51.6509037
45454842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1486696|51.6509174
45454844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.148878|51.6508737
45454845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1490353|51.6508353
45460746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483925|51.6508682
45460749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1485924|51.650917
45460751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1487572|51.6509027
45460754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1486818|51.6510345
45460757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1484397|51.6510206
45460760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482356|51.6509483
56170453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1848981|51.6181056
56170458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1848927|51.6191357
