osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:unit,alt_name,amenity,branch,brand,brand:wikidata,brand:wikipedia,check_date,contact:phone,contact:website,dispensing,drive_through,email,entrance,fhrs:id,fhrs:local_authority_id,fixme,healthcare,level,nhs,note,opening_hours,opening_hours:signed,operator,payment:cash,phone,ref,shop,source,source:addr,source:addr:postcode,survey:date,toilets:wheelchair,website,wheelchair,geometry
268503198,Boots,London,,,1263-1275,N20 9HS,High Road,,,pharmacy,Whetstone 1261-1275 High Road,Boots,Q6123139,en:Boots (company),,+44 20 8343 8596,http://www.boots.com/stores/6509-whetstone-high-road-n20-9hs,yes,,,,,,,pharmacy,,,,,,Boots UK Limited,,,6509,chemist,,,,,,,yes,-0.17544|51.630385
410936571,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.2156068|51.556758
410952430,Akhtar Pharmacy,,,,,,,,,pharmacy,,,,,,,,yes,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.2139059|51.5557675
410952435,Akhtar Health Store,,,,,,,,,pharmacy,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.2138765|51.5557312
411306150,Andrews Pharmacy,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2929249|51.62151
537958816,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1742552|51.650166
547540220,Tyerest Limited,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2989325|51.5867181
548866034,Paster Pharmacy,Wembley,GB,,212,HA9 8PB,Preston Road,,,pharmacy,,,,,,,,yes,,,,532463,,,pharmacy,,yes,,,,,,,,,survey;Bing 2012,FHRS Open Data,,2013-08-17,no,,yes,-0.2946133|51.5709459
558807170,C&M Whitman Vantage Dispensing Chemist,,,,73,,Bramley Road,,,pharmacy,,,,,,,,yes,,,,,,,,,,,Mo-Fr 09:00-19:00; Sa 08:30-12:30,,,,,,,,,,,,,,-0.1349239|51.646769
679967795,Boots,London,,,78,N14 5PH,Chase Side,,,pharmacy,London Southgate,Boots,Q6123139,en:Boots (company),,+44 20 8886 2003,http://www.boots.com/stores/1086-london-southgate-n14-5ph,yes,,,,316247,PI/000026201,,pharmacy,,,,,,Boots UK Limited,,,1086,chemist,,FHRS Open Data,,,,,,-0.1313702|51.6335491
769140148,Akshar Pharmacies,London,,,91,NW2 1HR,Cricklewood Lane,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,+44 20 8452 4681,,,,,,,,,,-0.2065875|51.5608771
823148725,Hayward Pharmacy,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1475048|51.5776648
842611015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348765|51.5642767
842611261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348512|51.5643217
842611811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1349904|51.5643015
842612089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.134965|51.5643465
902643922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1343841|51.5651159
902643925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1345176|51.5651474
902643968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1345952|51.565018
914971675,Clockwork Pharmacy,,,,,,,,,pharmacy,,Clockwork Pharmacy,Q109789537,,,,,no,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.2517444|51.5598726
931615245,Roberts Chemist,London,,,165,,Fortess Road,,,pharmacy,,,,,,,,,,,,,,,pharmacy,,,chemist,,,,,,,,,,,,,,,-0.1386485|51.5567904
1434108781,Health Village,London,,Brent South Shopping Park,,NW2 1LJ,Tilling Road,,Lloyds Pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2257144|51.5723567
1596164100,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2787048|51.597623
1598304278,Prima Pharmacy,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2148313|51.6471238
1600400336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2019784|51.6537642
1600400453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2016277|51.6537809
1634404181,Boots,Barnet,,,142,EN5 5XP,High Street,,,pharmacy,Barnet High Street,Boots,Q6123139,en:Boots (company),,+44 20 8449 0055,http://www.boots.com/stores/798-barnet-high-street-en5-5xp,yes,,,,,,,pharmacy,,,,Mo-Fr 08:30-18:00; Sa 09:00-18:00; Su 10:30-16:30,,Boots UK Limited,,,798,chemist,gps; photograph; local knowledge,,,,,,,-0.201589|51.6553018
1737179989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1809894|51.6304371
1737179999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1809284|51.6305366
1737227833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1810736|51.630457
1737227851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1810125|51.6305565
1911584555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1482656|51.6484932
1911584568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483859|51.6484655
1993188860,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.2792582|51.5847566
2094002757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1787212|51.556548
2094002759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1788598|51.5565602
2094002761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.178709|51.5566001
2094002763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1788479|51.5566109
2095455385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1776387|51.5562224
2095455388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1777185|51.5562482
2095455395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1775603|51.5563141
2095455396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1776548|51.5563149
2095455399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1776193|51.5563366
2096222296,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,photograph,,,,,,,-0.1776557|51.5562279
2096222315,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,photograph,,,,,,,-0.1787128|51.5565837
2328776401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1421243|51.5913512
2328776402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1422541|51.5913603
2328776415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1418005|51.5914817
2328776417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1421228|51.5915005
2328776418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1421936|51.5915042
2328776422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1417536|51.5915276
2328776426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1417716|51.5915407
2328776432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419505|51.5915834
2328776433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419622|51.5915924
2328776439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1419028|51.5916297
2376007893,Kings Pharmacy,,,,,,,,,pharmacy,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,-0.3010454|51.6065385
