osm_id,name,addr:housenumber,addr:interpolation,addr:street,amenity,note,opening_hours,operator,operator:wikidata,website,geometry
260422543,Barnet Police Station,,,,police,Closed to public,closed,Metropolitan Police,,,-0.198299|51.6525188
365582595,Borehamwood Police Station,,,,police,,,,,,-0.268619|51.6593398
569956498,,,,,,,,,,,-0.2404457|51.5966966
569956499,,,,,,,,,,,-0.2405744|51.5965476
569956500,,,,,,,,,,,-0.2413157|51.5967931
569956501,,,,,,,,,,,-0.2412799|51.5968208
569956502,,,,,,,,,,,-0.2413523|51.5968393
569956504,,,,,,,,,,,-0.2413345|51.5969799
569956506,,,,,,,,,,,-0.2413602|51.5970086
569956508,,,,,,,,,,,-0.2410733|51.5971906
569956510,,,,,,,,,,,-0.2408517|51.5970592
569956512,,,,,,,,,,,-0.2411002|51.5969411
1600337384,Southgate Police Station,,,,police,,,Metropolitan Police,Q1139213,,-0.129255|51.6327121
2104526036,,,,,,,,,,,-0.2413972|51.5969005
2104526046,,,,,,,,,,,-0.2410854|51.5969122
2104526069,,,,,,,,,,,-0.2409296|51.5970511
2104526072,,,,,,,,,,,-0.2408873|51.5970334
2104526110,,,,,,,,,,,-0.2413798|51.5969501
4603423060,Safer Neighbourhoods,13-15,odd,Cat Hill,police,,,,,https://www.police.uk/metropolitan/E05000048/,-0.1621063|51.643233
6833382381,,,,,,,,,,,-0.2648835|51.5647247
6833382382,,,,,,,,,,,-0.264821|51.5647179
6833382383,,,,,,,,,,,-0.264787|51.5647136
6833382384,,,,,,,,,,,-0.2647379|51.5646898
6833418285,,,,,,,,,,,-0.2646658|51.5647473
6833418286,,,,,,,,,,,-0.2647158|51.5647715
6833418287,,,,,,,,,,,-0.2647074|51.5647782
6833418288,,,,,,,,,,,-0.2648019|51.5648241
6833418289,,,,,,,,,,,-0.2648662|51.5647728
6833418290,,,,,,,,,,,-0.2648614|51.5647705
6833418291,,,,,,,,,,,-0.2648866|51.5647505
6833418292,,,,,,,,,,,-0.2648645|51.5647398
10937295899,,,,,,,,,,,-0.2648394|51.5647033
10937295900,,,,,,,,,,,-0.2647965|51.5647061
