osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,collection_times,drive_through,opening_hours,post_box:type,ref,royal_cypher,royal_cypher:wikidata,wheelchair,geometry
623899783,,,,,,,,,,,,,,,-0.2132489|51.5624479
1248191866,,,,,,,,,,,,,,,-0.2130298|51.5621643
1283806158,,,,,,,,,,,,,,,-0.2137434|51.5623003
1283806162,,,,,,,,,,,,,,,-0.2139585|51.562236
1283806178,,,,,,,,,,,,,,,-0.2140361|51.5619169
1283806215,,,,,,,,,,,,,,,-0.214186|51.5621681
1283806241,,,,,,,,,,,,,,,-0.2139758|51.5618388
1283806291,,,,,,,,,,,,,,,-0.2129987|51.5621241
1283806293,,,,,,,,,,,,,,,-0.2139717|51.5618336
1283806316,,,,,,,,,,,,,,,-0.2142219|51.5621574
1735320488,,,,,,,,,,,,,,,-0.1949705|51.6012271
1735320508,,,,,,,,,,,,,,,-0.1951514|51.6013731
1735320518,,,,,,,,,,,,,,,-0.1947234|51.6011211
1735320532,,,,,,,,,,,,,,,-0.1950074|51.6014928
1735320539,,,,,,,,,,,,,,,-0.1949249|51.6012637
1735320541,,,,,,,,,,,,,,,-0.1951265|51.6015481
1735320555,,,,,,,,,,,,,,,-0.1950691|51.6015958
1735320563,,,,,,,,,,,,,,,-0.1946004|51.6013853
1979735551,,,,,,,,,,,,,,,-0.167901|51.5907277
1979735557,,,,,,,,,,,,,,,-0.1675442|51.5908576
1979735596,,,,,,,,,,,,,,,-0.1673282|51.5907349
1979735617,,,,,,,,,,,,,,,-0.1676596|51.590531
3733035701,,,,,,,,,,,,,,,-0.1803275|51.6168846
3733035702,,,,,,,,,,,,,,,-0.1809117|51.6169193
3733035703,,,,,,,,,,,,,,,-0.1809062|51.616955
3733035704,,,,,,,,,,,,,,,-0.1809781|51.6169593
3733035705,,,,,,,,,,,,,,,-0.1810015|51.616807
3733035706,,,,,,,,,,,,,,,-0.1803455|51.616768
4305474098,North London Delivery Centre,London,unit 11-13,N19 5UW,Station Road,post_depot,,,"Mo,Tu,Th,Fr 07:00-19:00; We 07:00-20:00; Sa 07:00-14:00; Su 11:00-15:00",,,,,yes,-0.131264|51.5607126
4977963992,,,,,,,,,,,,,,,-0.1947166|51.6012849
4977963993,,,,,,,,,,,,,,,-0.1945994|51.6012286
5656379343,,,,,,,,,,,,,,,-0.2780197|51.6131458
7768143638,,,,,,post_box,"Mo-Fr 16:15, Sa 10:45",,,wall,N2 13,EIIR,Q33102113,,-0.1674547|51.5908068
7851419485,,,,,,post_box,,no,,,,,,,-0.1809431|51.6168035
9657196600,,,,,,,,,,,,,,,-0.2778291|51.6130663
9657196601,,,,,,,,,,,,,,,-0.2777823|51.6130754
9657196602,,,,,,,,,,,,,,,-0.2778086|51.6134319
9657196603,,,,,,,,,,,,,,,-0.2775841|51.6133704
9721659299,,,,,,,,,,,,,,,-0.2792653|51.6553012
9721659300,,,,,,,,,,,,,,,-0.279074|51.655131
9721659301,,,,,,,,,,,,,,,-0.2787662|51.6552641
9721659302,,,,,,,,,,,,,,,-0.2789422|51.6554208
9721659303,,,,,,,,,,,,,,,-0.2789834|51.655403
9721659304,,,,,,,,,,,,,,,-0.2790707|51.6554807
9721659305,,,,,,,,,,,,,,,-0.2792839|51.6553886
9721659306,,,,,,,,,,,,,,,-0.2792118|51.6553244
