osm_id,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,atm,branch,brand,brand:wikidata,brand:wikipedia,check_date,contact:linkedin,contact:website,entrance,facebook,fee,fhrs:id,note,opening_hours,operator,operator:wikidata,phone,post_box:apertures,post_box:type,post_office:type,ref,ref:pol_id,royal_cypher,service,shop,source,source:addr:postcode,survey:date,twitter,website,wheelchair,geometry
49879537,North Finchley Post Office,London,GB,,N12 8PR,High Road,,post_office,,,Post Office,Q1783168,,,,https://www.postoffice.co.uk/branch-finder/2120046/north-finchley,,,,,,,,,,,,,,146421,,,,,,,,,,-0.1769854|51.6170062
410936533,Cricklewood Post Office,London,GB,,NW2 3HR,Cricklewood Broadway,,post_office,,,Post Office,Q1783168,,,,https://www.postoffice.co.uk/branch-finder/0050059/cricklewood,,,,,,,Post Office,Q1783168,,,,,,19577,,,,,,,,,,-0.2161175|51.5571695
411306127,Spur Road Post Office,,GB,,HA8 8AE,,,post_office,,,Post Office,Q1783168,,,,https://www.postoffice.co.uk/branch-finder/0370207/spur-road,,,,,,,,,,,,,,177868,,,,,,,,,,-0.2931824|51.62143
476746060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2016379|51.653794
540343281,,,,,,,,post_box,,,,,,,,,,,,,,,Royal Mail,Q638098,,3,wall,,NW3 65,,no,,,,,,,,,-0.1763943|51.5555659
741435978,Golders Green Post Office,London,GB,879,NW11 8RT,Finchley Road,,post_office,,Golders Green,Post Office,Q1783168,en:Post Office Ltd,2020-02-20,,https://www.postoffice.co.uk/branch-finder/0080055/golders-green,,,,,,,Post Office,Q1783168,,,,,,19736,,,,,,,,,,-0.1955259|51.5712271
758451709,East Finchley Post Office,London,,120,N2 9ED,High Road,,post_office,,East Finchley,Post Office,Q1783168,,2020-02-20,,https://www.postoffice.co.uk/branch-finder/0110043/east-finchley,,,,,,,,,,,,,,126054,,,,,,,,,,-0.1641692|51.5904959
773326893,Preston Road Post Office,Harrow,GB,267-269,HA3 0PU,Preston Road,Preston Road Post Office,post_office,yes,,,,,,,,,,,,,Mo-Sa 09:00-17:30,,,,,,post_partner,,19516,,,,,,,,,yes,-0.2948517|51.57246
773352035,Deansbrook Road Post Office,,,,HA8 9BU,,,post_office,,,Post Office,Q1783168,,,,,,,,,,,,,,,,,,136003,,,,OS OpenData StreetView,,,,,,-0.2579929|51.6105625
773426488,Manor Way Post Office,Borehamwood,,,WD6 1QU,,,post_office,,Manor Way,Post Office,Q1783168,,2020-02-20,,,,,,,,,,,,,,,,18901,,,,,,,,https://www.postoffice.co.uk/branch-finder/1220330/manor-way,,-0.2613368|51.6512643
773426737,Aycliffe Road Post Office,Borehamwood,,,WD6 4DY,,,post_office,,Aycliffe Road,Post Office,Q1783168,,2020-02-20,,https://www.postoffice.co.uk/branch-finder/1430335/aycliffe-road,,,,,,,,,,,,,,19102,,,,,,,,,,-0.2837503|51.6679904
774103571,Oxgate Court Post Office,London,,,NW2 6EG,Humber Road,,post_office,,Oxgate Court,Post Office,Q1783168,,2020-02-20,,,,,,,,,,,,,,,,18113,,,,,,,,,,-0.2307551|51.5649002
774103613,Hendon Post Office,London,GB,,NW4 4BY,Brent Street,,post_office,,,Post Office,Q1783168,,,,https://www.postoffice.co.uk/branch-finder/1020056/hendon,,,,,,,,,,,,,,70025,,,,,,,,,yes,-0.2215883|51.5880012
774103783,Holders Hill Road Post Office,London,,,NW7 1LN,Thornfield Parade,,post_office,,Holders Hill Road,Post Office,Q1783168,,2020-02-20,,https://www.postoffice.co.uk/branch-finder/0990051/holders-hill-road,,,,,,,,,,,,,,18620,,,,,,,,,,-0.207307|51.6044405
774104659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2544731|51.5935498
774105229,The Hyde Post Office,London,,,NW9 6LR,Edgware Road,,post_office,,The Hyde,Post Office,Q1783168,,2020-02-20,,https://www.postoffice.co.uk/branch-finder/1120050/the-hyde,,,,,,,,,,,,,,18774,,,,,,,,,,-0.2520844|51.5875036
