osm_id,name,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,barrier,brand,brand:wikidata,brand:wikipedia,brewery,building,check_date,cocktails,contact:email,contact:facebook,contact:phone,contact:website,cuisine,diet:gluten_free,diet:meat,diet:vegan,diet:vegetarian,display,email,emergency,entrance,fhrs:authority,fhrs:id,fhrs:local_authority_id,food,garden,indoor,indoor_seating,internet_access,internet_access:fee,level,note,old_name,opening_hours,opening_hours:covid19,opening_hours:signed,operator,operator:wikidata,outdoor_seating,payment:american_express,payment:contactless,payment:credit_cards,payment:debit_cards,payment:maestro,payment:mastercard,payment:visa,phone,real_ale,smoking,source,source:addr,source:addr:postcode,start_date,support,survey:date,toilets,toilets:access,type,website,wheelchair,wikidata,wikipedia,geometry
451152,King of Prussia,,London,,King of Prussia,363,N3 1DH,Regents Park Road,,pub,,,,,,,,,,,,,pizza;burger,yes,yes,yes,yes,,,,,,1217477,,yes,,,,wlan,,,,,,,,Mitchells & Butlers,,yes,yes,yes,yes,yes,yes,yes,yes,,,outside,,,,,,,yes,customers,,https://www.thekingfinchley.com,,,,-0.1946078|51.6008404
451154,The Catcher in the Rye,,,,,319,,Regents Park Road,,pub,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,-0.196028|51.5995788
451271,The Tally Ho,,London,GB,,749,N12 0BP,High Road,,pub,,,,,,,,,,,,,,,,,,,,,,,1059072,,,,,yes,,,,,,,,,Stonegate,Q7619176,yes,,,,,,,,,,,,,,,,,,,,https://www.greatukpubs.co.uk/tally-ho-north-finchley,,Q24298976,"en:The Tally Ho, Finchley",-0.1765556|51.6141038
25744229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1792476|51.5579338
25744422,The House,,,,,,,,,pub,,,,,,,,,,,,,pizza,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thehouselondon.co.uk/,,,,-0.140689|51.5649774
25744452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1368747|51.566304
25744507,Aces and Eights,,London,,,156-158,NW5 2HP,Fortess Road,,pub,,,,,,,2023-11-08,yes,,,,,pizza,,,yes,yes,,,,,,653514,,yes,,,yes,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,https://www.acesandeightssaloonbar.com/,no,,,-0.1383959|51.5566538
26363049,The Gate,,,,,,,,The Gate Public House,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,-0.2424157|51.6419852
82701633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1437852|51.5763386
98160782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1476079|51.5705043
192402868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1404069|51.5594225
203121941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1509315|51.5699975
245435428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1508851|51.5755352
245978877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.219662|51.6524301
250080453,The Greyhound,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2279046|51.5913275
250080603,Claddagh Ring,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,customers,,,,,,-0.226129|51.5901278
267641958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1739506|51.5699448
268040596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1857745|51.6459853
268040827,Three Horseshoes,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,customers,,,yes,,,-0.1746584|51.627374
273404382,Toolan's,,London,,,866,N12 9RH,High Road,,pub,,,,,,,,,,,,,,,,,,,,,,,1090312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,customers,,,,,,-0.1764629|51.6185904
299130817,The Bald Faced Stag,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1642237|51.5893303
299131928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1470184|51.5905065
304744886,The Green Man,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,customers,,http://www.thegreenmanhotelatwembley.co.uk/,,,,-0.2895953|51.5574542
305075246,The Cock Inn,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,"Mo-Th 11:00-23:00; Fr,Sa 11:00-24:00; Su 11:00-22:30",,,,,,,,,,,,,,,,,,,,,,yes,customers,,https://www.thecockinncockfosters.co.uk/,,,,-0.154481|51.654469
310526380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2184417|51.616117
310526818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2338494|51.6215528
310527820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2416481|51.627155
311188199,The Flask,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q15957066,,-0.1772469|51.5566015
313745909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1767407|51.5556881
357491748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1350191|51.5658829
357491751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348727|51.5659835
357491753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1349749|51.5661369
357491756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1352053|51.5659665
370187947,The Priory,,London,GB,,169,N8 8NB,Priory Road,,pub,,,,,,,,,,,,,,,,,,,,,,,422091,,,,,,,,,,,"Mo-Su 11:00-24:00; Fr,Sa 11:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,https://www.thepriorypubn8.com,,,,-0.1325891|51.5872491
380331450,The King's Head,,,,,84,EN5 5SN,High Street,,pub,,,,,,,,,,,,,,,,,,,,,,,757082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mcmullens.co.uk/king-s-head,,,,-0.2007979|51.6534067
389782254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1736011|51.5588008
389899593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1324636|51.5576711
410936555,Lucky 7,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,customers,,,,,,-0.2148571|51.5572165
