osm_id,name,addr:city,addr:country,addr:floor,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,addr:unit,air_conditioning,alt_name,amenity,atm,bar,brand,brand:website,brand:wikidata,brand:wikipedia,capacity,changing_table,check_date,check_date:opening_hours,contact:email,contact:facebook,contact:instagram,contact:phone,contact:website,cuisine,delivery,description,diet:gluten_free,diet:halal,diet:kosher,diet:kosher:certification,diet:kosher:certification-expires,diet:meat,diet:vegan,diet:vegetarian,drive_in,email,entrance,fhrs:authority,fhrs:id,fhrs:local_authority_id,fixme,indoor_seating,internet_access,internet_access:fee,level,microbrewery,music,name:en,note,old_name,opening_hours,opening_hours:signed,outdoor_seating,payment:american_express,payment:cash,payment:credit_cards,payment:debit_cards,phone,post_office:type,previously,reservation,shop,smoking,source,source:addr,source:addr:postcode,source:name,survey:date,takeaway,toilets,toilets:access,toilets:wheelchair,url,url:menu,website,website:orders,wheelchair,wheelchair:description,geometry
451153,Central Restaurant,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1935029|51.6020306
267971989,The Brew House,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec-Jan: Mo-Su 09:00-16:00; Feb-Mar: Mo-Su 09:00-17:00; Apr-Sep: Mo-Su 09:00-18:00; Oct-Nov: Mo-Su 09:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,http://searcyskenwoodhouse.co.uk,,,,-0.1667879|51.5717552
273404140,Maya Lounge,London,,,,,1277,,N20 9HS,High Road,,,,,restaurant,,,,,,,250,,,,,,,,,lebanese,,,,,,,,,,,,,,,,,,,,,,,,,,The New Bull and Butcher,"Su-Th 18:00-01:00, Fr-Sa 18:00-02:00",,yes,,,,,,,,,,isolated,,,,,,yes,,,,,,,,,,-0.175384|51.6306596
293648993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1442974|51.5900359
310897070,Izgara,London,,,,,1274,,N20 9HH,High Road,,,,,restaurant,,,,,,,,,,,,,,,,turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 12:00-23:00,,,,,,,+44 20 8445 2196,,,,,no,,,,,,yes,,,,,,http://izgararestaurant.com/,,,,-0.1747593|51.6305239
310897906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1753975|51.6299576
321625011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1851894|51.5680386
321625012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1851971|51.5679838
321625013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1847669|51.5679606
332925823,Lauderdale House Restaurant,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1433914|51.5693661
