osm_id,name,amenity,barrier,entrance,social_facility,source,survey:date,website,geometry
576474333,,,,,,,,,-0.1531183|51.6117476
576474334,,,,,,,,,-0.1532222|51.6116876
576474344,,,,,,,,,-0.1532679|51.6116179
576474348,,,,,,,,,-0.1532333|51.6115669
576474352,,,,,,,,,-0.1531214|51.6115386
576474356,,,,,,,,,-0.1530384|51.6115603
576474360,,,,,,,,,-0.1529974|51.6117152
576474364,,,,,,,,,-0.1529007|51.6116907
576474371,,,,,,,,,-0.1525714|51.611489
576474690,,,,,,,,,-0.1538475|51.6107624
576474693,,,,,,,,,-0.1521726|51.6114398
576474697,,,,,,,,,-0.1526124|51.6119031
576474701,,,,,,,,,-0.1542478|51.6125163
576474748,,,,,,,,,-0.1540451|51.6121631
576474750,,,,,,,,,-0.1542252|51.6118903
576474756,,,,,,,,,-0.1542115|51.6118114
576474762,,,,,,,,,-0.1536534|51.611704
576474765,,,,,,,,,-0.1535668|51.6117266
576474766,,,,,,,,,-0.1533914|51.6119935
576474767,,,,,,,,,-0.1534273|51.6120467
576474768,,,,,,,,,-0.1539659|51.6121836
1107425415,,,,,,,,,-0.2885261|51.6406646
1107425418,,,,,,,,,-0.2884208|51.6406832
1107425419,,,,,,,,,-0.2884523|51.6407519
1107425423,,,,,,,,,-0.2883095|51.6407771
1107425425,,,,,,,,,-0.2882997|51.6407558
1107425427,,,,,,,,,-0.2879846|51.6408113
1107425428,,,,,,,,,-0.2879692|51.6407778
1107425430,,,,,,,,,-0.2878674|51.6407958
1107425432,,,,,,,,,-0.2878971|51.6408606
1107425434,,,,,,,,,-0.2878661|51.6408661
1107425435,,,,,,,,,-0.2879021|51.6409448
1107425436,,,,,,,,,-0.2878809|51.6409486
1107425437,,,,,,,,,-0.2879523|51.6411047
1107425438,,,,,,,,,-0.2880328|51.6410905
1107425439,,,,,,,,,-0.2880263|51.6410762
1107425440,,,,,,,,,-0.2880841|51.6410661
1107425442,,,,,,,,,-0.2880797|51.6410566
1107425449,,,,,,,,,-0.2881615|51.6410421
1107425450,,,,,,,,,-0.2881269|51.6409665
1107425451,,,,,,,,,-0.2884896|51.6409026
1107425452,,,,,,,,,-0.2885575|51.641051
1107425454,,,,,,,,,-0.2888087|51.6410068
1107425455,,,,,,,,,-0.2887695|51.6409212
1107425457,,,,,,,,,-0.288743|51.6409259
1107425459,,,,,,,,,-0.2887141|51.6408627
1107425460,,,,,,,,,-0.2886768|51.6408693
1107425462,,,,,,,,,-0.2886033|51.6407088
1107425464,,,,,,,,,-0.2885506|51.6407181
1107425712,,,,,,,,,-0.2893227|51.6398918
1107425713,,,,,,,,,-0.2882664|51.6402774
1107425714,,,,,,,,,-0.2875719|51.6396379
1107425718,,,,,,,,,-0.2876135|51.6395911
1107425720,,,,,,,,,-0.2885413|51.6391938
1107425722,,,,,,,,,-0.289074|51.6396389
1107425723,,,,,,,,,-0.2892094|51.6397864
1107444292,,,,,,,,,-0.2898096|51.6426138
1107444293,,,,,,,,,-0.2896869|51.6426929
1107444294,,,,,,,,,-0.2897595|51.6427363
1107444295,,,,,,,,,-0.2895904|51.6428453
1107444296,,,,,,,,,-0.2897128|51.6429184
1107444297,,,,,,,,,-0.289704|51.6429241
1107444299,,,,,,,,,-0.289768|51.6429623
1107444300,,,,,,,,,-0.2898669|51.6428985
1107444302,,,,,,,,,-0.2900024|51.6429794
1107444304,,,,,,,,,-0.2900604|51.642942
1107444305,,,,,,,,,-0.2901123|51.642973
1107444307,,,,,,,,,-0.2902461|51.6428867
1107444309,,,,,,,,,-0.2901288|51.6428167
1107444311,,,,,,,,,-0.2899675|51.6427204
1107444312,,,,,,,,,-0.2899936|51.6427035
1107444314,,,,,,,,,-0.289958|51.6426823
1107444316,,,,,,,,,-0.2899336|51.6426677
1107444317,,,,,,,,,-0.2898901|51.6426618
1107444416,,,,,,,,,-0.299534|51.6424234
1107444417,,,,,,,,,-0.2998557|51.6421666
1107444418,,,,,,,,,-0.2999297|51.6419389
1107444419,,,,,,,,,-0.2998064|51.6419234
1107444420,,,,,,,,,-0.299802|51.6419367
1107444422,,,,,,,,,-0.2997565|51.641931
1107444425,,,,,,,,,-0.2998349|51.64169
1107444427,,,,,,,,,-0.299818|51.6416878
1107444432,,,,,,,,,-0.2998307|51.6416489
1107444433,,,,,,,,,-0.299741|51.6416376
1107444434,,,,,,,,,-0.2997556|51.6415929
1107444435,,,,,,,,,-0.2997254|51.6415891
1107444436,,,,,,,,,-0.2997484|51.6415184
1107444437,,,,,,,,,-0.2996452|51.6415054
1107444439,,,,,,,,,-0.2996538|51.6414791
1107444440,,,,,,,,,-0.2994566|51.6414544
1107444442,,,,,,,,,-0.2994378|51.6415121
1107444443,,,,,,,,,-0.299667|51.6415408
1107444446,,,,,,,,,-0.2996324|51.6416471
1107444448,,,,,,,,,-0.2996989|51.6416554
1107444450,,,,,,,,,-0.2996936|51.6416719
1107444452,,,,,,,,,-0.2996111|51.6416615
