osm_id,name,addr:city,addr:postcode,addr:street,amenity,capacity,covered,phone,website,geometry
268412734,Station Cars,New Barnet,EN5 1QT,Station Approach,taxi,8,no,+44 20 8449 0000,https://www.stationcars.org.uk/,-0.1732709|51.6486171
802187433,East Finchley Station,,,,taxi,,,,,-0.1642826|51.5870827
1778363609,,,,,taxi,,,,,-0.1340323|51.6161388
4482995708,,,,,,,,,,-0.2542357|51.5936536
4482995715,,,,,,,,,,-0.2541768|51.5936794
4482995721,,,,,,,,,,-0.2543135|51.5937223
4482995723,,,,,,,,,,-0.254299|51.5937286
4482995729,,,,,,,,,,-0.2543351|51.5937604
4482995732,,,,,,,,,,-0.2542907|51.5937798
5141528232,,,,,taxi,,,,,-0.1979279|51.5967613
11398473418,,,,,taxi,,,,,-0.2804181|51.5628046
11398473419,,,,,taxi,,,,,-0.2802289|51.562833
