osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,contact:twitter,live_music,note,payment:credit_cards,payment:debit_cards,phone,toilets:wheelchair,website,wikidata,geometry
79724642,,,,,,,,,,,,,,,,,-0.1455568|51.6444172
79724643,,,,,,,,,,,,,,,,,-0.1449462|51.6446095
79724644,,,,,,,,,,,,,,,,,-0.1448947|51.644519
79724645,,,,,,,,,,,,,,,,,-0.1447574|51.6445456
79724646,,,,,,,,,,,,,,,,,-0.1446465|51.6443442
79724647,,,,,,,,,,,,,,,,,-0.1453925|51.6442133
79724649,,,,,,,,,,,,,,,,,-0.1454785|51.6443749
909388336,,,,,,,,,,,,,,,,,-0.1772418|51.558907
1634364050,The Bull,,,,,theatre,,,,,,,,,,,-0.2000071|51.6532091
1687087838,Pentameter's theatre,,,,,theatre,,,,,,,,,,Q7165026,-0.1783675|51.55596
4171880790,Upstairs at the Gatehouse,London,,N6 4BD,North Road,theatre,,,,,,,+44 20 8340 3488,,https://www.upstairsatthegatehouse.com/,Q7899305,-0.1499456|51.5713837
4476696152,,,,,,,,,,,,,,,,,-0.145055|51.6445655
4476696154,,,,,,,,,,,,,,,,,-0.1455539|51.6444638
4476696158,,,,,,,,,,,,,,,,,-0.145404|51.6442889
4476696162,,,,,,,,,,,,,,,,,-0.1450604|51.6442837
4476696164,,,,,,,,,,,,,,,,,-0.1454297|51.644274
4476696175,,,,,,,,,,,,,,,,,-0.1454173|51.6444625
4476696179,,,,,,,,,,,,,,,,,-0.1450461|51.6442647
4476696180,,,,,,,,,,,,,,,,,-0.1454334|51.6444846
4826306052,Alexandra Palace Theatre,,,,,theatre,,,,"On 29 April 1967, The 14 Hour Technicolor Dream was held in the Great Hall. Described as a multi-artist event featuring poets, artists and musicians, Pink Floyd was the headline act. Other artists included Yoko Ono and John Lennon, Arthur Brown, Soft Mach",,,,,,,-0.1312121|51.5945562
5095635289,,,,,,,,,,,,,,,,,-0.1774437|51.5588093
5095635309,,,,,,,,,,,,,,,,,-0.1774229|51.5589212
5095635310,,,,,,,,,,,,,,,,,-0.1772662|51.5587944
5141059876,,,,,,,,,,,,,,,,,-0.2811982|51.6079869
5141059877,,,,,,,,,,,,,,,,,-0.2810823|51.6080652
5141059878,,,,,,,,,,,,,,,,,-0.2808485|51.6079402
5141059879,,,,,,,,,,,,,,,,,-0.2809664|51.6078594
5669475327,,,,,,,,,,,,,,,,,-0.1923793|51.5863927
5669475328,,,,,,,,,,,,,,,,,-0.1926105|51.5861319
5669475329,,,,,,,,,,,,,,,,,-0.1923002|51.5860997
5669475330,,,,,,,,,,,,,,,,,-0.1921208|51.5861942
10681094108,Boston Music Room,London,178,N19 5QQ,Junction Road,theatre,2023-05-25,BostonMusicRoom,yes,,yes,yes,,no,https://www.bostonmusicroom.co.uk/,,-0.1383779|51.5573334
11483910970,,,,,,,,,,,,,,,,,-0.177447|51.5588034
