osm_id,name,access,amenity,changing_table,changing_table:location,check_date,created_by,description,entrance,fee,fee:note,female,fixme,indoor,level,male,note,opening_hours,operator,source,survey:date,toilets:disposal,unisex,wheelchair,geometry
54070004,,yes,toilets,,,2022-03-28,,,,no,,,,,,,,,,,,,,yes,-0.1518909|51.559457
267188423,,,toilets,,,,Potlatch 0.9b,,,,,,,,,,,,,,,,,,-0.1755956|51.6319909
321223692,,yes,toilets,,,,,,,no,,,,,,,,,,,,,,,-0.1850462|51.5680771
331274203,,,,,,,,,,,,,,,,,,,,,,,,,-0.1736612|51.5642544
331274725,,,,,,,,,,,,,,,,,,,,,,,,,-0.1735246|51.564224
331274802,,,,,,,,,,,,,,,,,,,,,,,,,-0.1736413|51.5642056
331275122,,,,,,,,,,,,,,,,,,,,,,,,,-0.1735445|51.5642728
331289045,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.166981|51.5715869
331922282,,,toilets,,,,,,,no,,,,,,,Disabled toilet (ask in station for access),,,,,,yes,yes,-0.1941982|51.5720875
332925681,,customers,toilets,,,,,,,,,,,,,,,,,,,,,,-0.1436025|51.5692691
339312648,,,,,,,,,,,,,,,,,,,,,,,,,-0.1847018|51.5736935
339312649,,,,,,,,,,,,,,,,,,,,,,,,,-0.1845912|51.5736524
339312650,,,,,,,,,,,,,,,,,,,,,,,,,-0.1846406|51.573601
339312700,,,,,,,,,,,,,,,,,,,,,,,,,-0.1847513|51.5736421
366238452,,,toilets,,,,,,,no,,,,,,,,,,,,,,,-0.1622275|51.6191395
414239364,,,toilets,,,2023-06-05,,,,no,,,,,,,,,,,,,,,-0.282868|51.6252845
581143053,,,toilets,,,2021-08-03,,,,no,,,,,,,,,,,,,,limited,-0.1499555|51.5824191
771265102,,,,,,,,,,,,,,,,,,,,,,,,,-0.1488234|51.5705939
771265104,,,,,,,,,,,,,,,,,,,,,,,,,-0.1489531|51.5705474
771265105,,,,,,,,,,,,,,,,,,,,,,,,,-0.1489163|51.5705075
771265108,,,,,,,,,,,,,,,,,,,,,,,,,-0.1487866|51.570554
804289634,,,toilets,,,,,,,no,,,,,,,,,,,,,,yes,-0.1891727|51.5665686
804358498,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.1572349|51.5659718
871153883,,,,,,,,,,,,,,,,,,,,,,,,,-0.1495415|51.6564975
935555307,,,toilets,,,,,,,yes,,,,,,,Fee: 10p,,,,,,,,-0.2508192|51.5596208
1161014178,,,,,,,,,,,,,,,,,,,,,,,,,-0.1496744|51.6566009
1161014232,,,,,,,,,,,,,,,,,,,,,,,,,-0.149623|51.6564572
1161014267,,,,,,,,,,,,,,,,,,,,,,,,,-0.1497559|51.6565606
1304102792,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.1993132|51.5672558
1313535473,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.2814885|51.5567871
1372372846,,,,,,,,,,,,,,,,,,,,,,,,,-0.1859784|51.6061651
1376858185,,,toilets,,,,,,,no,,yes,,,,yes,,Mo-Th 08:30-20:00; Fr 08:30-21:00; Sa 08:30-19:00; Su 10:00-16:00,,,,,,yes,-0.2042082|51.6557208
1461884001,East Barnet War Memorial,,toilets,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,-0.1619115|51.6429722
1499089924,,,toilets,,,,,,,no,,,,,,,,,,,,,,,-0.1500857|51.5796983
1687451490,Cockfosters Underground Station,,toilets,no,,2024-02-07,,,,yes,,yes,,,,,,Mo-Sa 06:00-24:00; Su 07:00-23:00,,,,,,yes,-0.149596|51.65155
1687451492,Cockfosters Underground Station,,toilets,no,,2024-02-07,,,,yes,,,,,,yes,,Mo-Sa 06:00-24:00; Su 07:00-23:00,,,,,,yes,-0.1497064|51.6518094
1689263091,,yes,toilets,,,,,,,no,,yes,,yes,,yes,,,,,,,,,-0.1343907|51.6187973
1752208308,,,toilets,,,,,,,no,,,,,,,,,,,,,,limited,-0.1426838|51.5683676
2131643160,,,,,,,,,,,,,,,,,,,,,,,,,-0.1861192|51.6061902
2131643164,,,,,,,,,,,,,,,,,,,,,,,,,-0.1862042|51.6062445
2131643165,,,,,,,,,,,,,,,,,,,,,,,,,-0.1861467|51.6062793
2131643167,,,,,,,,,,,,,,,,,,,,,,,,,-0.1860353|51.6061094
2131643170,,,,,,,,,,,,,,,,,,,,,,,,,-0.1861411|51.606177
2131643172,,,,,,,,,,,,,,,,,,,,,,,,,-0.1860466|51.606234
2131643210,,,,,,,,,,,,,,,,,,,,,,,,,-0.1860616|51.6062249
2184649501,Alexandra Palace Toilets,,toilets,,,,,,,no,,,,,,,,,,,,,,yes,-0.1303136|51.5966166
2414177242,Disabled WC,permissive,toilets,,,,,,,no,,,,,,,,,,,,flush,yes,yes,-0.1513428|51.555451
2894414189,,,toilets,,,,,,,£0.20,The event day urinals are free.,,"Trim position when Bing is updated. The immediate area has been changed since Bing, but this building is in the clear so should be visible when the imagery is updated.",,,,"There is a secondary door on the South side for four, event day only, urinals. Looks architect designed.",,,survey;Bing 2012,2014-06-01,,,yes,-0.2862809|51.5561159
3654792025,,,,,,,,,,,,,,,,,,,,,,,,,-0.1580979|51.586133
3654792026,,,,,,,,,,,,,,,,,,,,,,,,,-0.1580633|51.5860714
3654792027,,,,,,,,,,,,,,,,,,,,,,,,,-0.1579556|51.5860929
3654792028,,,,,,,,,,,,,,,,,,,,,,,,,-0.1579875|51.5861536
3780963380,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.2963578|51.6128187
3979329866,,,toilets,,,,,,,no,,yes,,,,,,,,,,,,no,-0.1332927|51.6025463
3979329868,,,toilets,,,,,,,,,,,,,yes,,,,,,,,,-0.1335891|51.602498
4327904610,,,toilets,,,2023-03-13,,,,,,yes,,,,,,,,,,,,,-0.1770955|51.5841857
4455788939,,customers,toilets,,,,,Platform 1 (Northbound),,,,,,,,,,,,,,,,no,-0.1884185|51.609469
4579912550,,yes,toilets,,,,,,,,,,,,0,,,,,,,,,,-0.2632249|51.6030786
4664432362,,customers,toilets,,,,,,,no,,no,,,,yes,,,,,,,,,-0.179273|51.6307735
4664432363,,customers,toilets,,,,,,,no,,yes,,,,no,,,,,,,,,-0.1790133|51.6307763
4697353378,,permissive,toilets,yes,dedicated_room,,,,,,,,,,,,,"Mo-Fr 08:30-20:00,Sa-Su 09:00-17:00",,,,,,,-0.2815796|51.5589092
4706953989,,customers,toilets,,,,,,,,,,,,,,,,,,,,,yes,-0.1940091|51.6503697
4720879277,,,,,,,,,,,,,,,,,,,,,,,,,-0.1940777|51.5721271
4720879278,,,,,,,,,,,,,,,,,,,,,,,,,-0.194135|51.5721279
4720879279,,,,,,,,,,,,,,,,,,,,,,,,,-0.1941251|51.5721409
4720879280,,,,,,,,,,,,,,,,,,,,,,,,,-0.1940876|51.5721141
4720893566,,,,,,,,,,,,,,,,,,,,,,,,,-0.1941123|51.5721372
4851412025,,customers,toilets,,,,,,,,,,,,,,,,,,,,,,-0.1463444|51.5667419
4851421021,,customers,toilets,,,,,,,,,,,,,,,,,,,,,,-0.1468413|51.5667074
5023986922,,,toilets,,,,,,,,,,,,,,,,,,,,,,-0.18483|51.6055602
5061630776,,customers,toilets,,,,,,,no,,,,,-1,,,,London Underground,,,,,,-0.1926495|51.601055
5382831954,,customers,toilets,no,,,,,,no,,,,,,,,,,,,flush,yes,no,-0.1854819|51.61787
5551893121,,,,,,,,,,,,,,,,,,,,,,,,,-0.142469|51.5901015
5836474312,,yes,toilets,yes,,,,,,no,,,,,,,,,,,,flush,yes,,-0.2367323|51.5598328
6058547448,,,toilets,,,,,,,no,,,,,,,,,,,,,,yes,-0.2096723|51.6011717
6201921232,,,,,,,,,,,,,,,,,,,,,,,,,-0.1960758|51.6406113
6201921233,,,,,,,,,,,,,,,,,,,,,,,,,-0.1960839|51.640598
6201921234,,,,,,,,,,,,,,,,,,,,,,,,,-0.1961026|51.6406038
6201921235,,,,,,,,,,,,,,,,,,,,,,,,,-0.1960986|51.6406146
6201921236,,,,,,,,,,,,,,,,,,,,,,,,,-0.1961201|51.640608
6201921237,,,,,,,,,,,,,,,,,,,,,,,,,-0.196116|51.640593
6201921238,,,,,,,,,,,,,,,,,,,,,,,,,-0.1961362|51.6405922
6201921239,,,,,,,,,,,,,,,,,,,,,,,,,-0.1961429|51.6406063
7442828546,,,,,,,,,,,,,,,,,,,,,,,,,-0.1340102|51.5911226
7442828547,,,,,,,,,,,,,,,,,,,,,,,,,-0.1340638|51.5910702
7442828548,,,,,,,,,,,,,,,,,,,,,,,,,-0.1339483|51.591183
7442828549,,,,,,,,,,,,,,,,,,,,,,,,,-0.1340377|51.5912183
7442828550,,,,,,,,,,,,,,,,,,,,,,,,,-0.1341532|51.5911055
8259170826,,,toilets,,,,,,,no,,,,,,,,,,,,,,no,-0.2240467|51.5827437
8498077401,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348767|51.6044132
8498077402,,,,,,,,,,,,,,,,,,,,,,,,,-0.134872|51.6044142
8498077403,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348615|51.604396
8498077404,,private,toilets,,,,,,,,,,,,,,,,,,,,yes,,-0.1348667|51.6043949
8498077405,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348671|51.6044144
8498077406,,,,,,,,,,,,,,,,,,,,,,,,,-0.1348623|51.6044135
