osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,operator,website,geometry
33500207,,,,,,,,,,-0.2283724|51.5893972
33500208,,,,,,,,,,-0.2286997|51.5894437
33500209,,,,,,,,,,-0.2292844|51.5895237
33500210,,,,,,,,,,-0.2297135|51.5895803
33500211,,,,,,,,,,-0.2300005|51.5896153
33500212,,,,,,,,,,-0.2304029|51.5895887
33500213,,,,,,,,,,-0.231296|51.5897137
33500214,,,,,,,,,,-0.231585|51.5906746
33500215,,,,,,,,,,-0.2315494|51.5908811
33500216,,,,,,,,,,-0.2310031|51.5910866
33500217,,,,,,,,,,-0.2303895|51.5909983
33500218,,,,,,,,,,-0.2302604|51.5913791
33500219,,,,,,,,,,-0.2299887|51.5913394
33500220,,,,,,,,,,-0.2297604|51.5913079
33500221,,,,,,,,,,-0.2297091|51.5914274
33500222,,,,,,,,,,-0.2295564|51.5913723
33500223,,,,,,,,,,-0.2289692|51.5912035
33500224,,,,,,,,,,-0.2279857|51.5911746
33500225,,,,,,,,,,-0.2278344|51.5908536
33500226,,,,,,,,,,-0.2275273|51.5908995
33500227,,,,,,,,,,-0.2274142|51.590548
33500228,,,,,,,,,,-0.2267975|51.5900512
33500229,,,,,,,,,,-0.2275629|51.5898749
33500230,,,,,,,,,,-0.2283313|51.5895484
272526205,,,,,,,,,,-0.2269518|51.5905893
303632169,,,,,,,,,,-0.2303653|51.5896603
303634192,,,,,,,,,,-0.232503|51.5898136
303634193,,,,,,,,,,-0.2323019|51.5907468
303634194,,,,,,,,,,-0.2312853|51.5908596
303635778,,,,,,,,,,-0.2277789|51.5897202
303636112,,,,,,,,,,-0.231202|51.5884008
303636113,,,,,,,,,,-0.2310304|51.588663
303636114,,,,,,,,,,-0.2308964|51.5889104
303636115,,,,,,,,,,-0.2307086|51.5888904
303636116,,,,,,,,,,-0.2304672|51.5891621
303636117,,,,,,,,,,-0.2297698|51.5893773
303636118,,,,,,,,,,-0.2284325|51.5890947
303636119,,,,,,,,,,-0.2284677|51.5889568
303636120,,,,,,,,,,-0.2291452|51.5890553
303636121,,,,,,,,,,-0.229202|51.588901
303636122,,,,,,,,,,-0.2294461|51.588939
303636123,,,,,,,,,,-0.2290912|51.5888088
303636124,,,,,,,,,,-0.2288675|51.588385
303636125,,,,,,,,,,-0.2290999|51.588092
303636126,,,,,,,,,,-0.2302681|51.5882298
303636127,,,,,,,,,,-0.2306663|51.5883065
569956526,,,,,,,,,,-0.2400721|51.5942158
583898026,,,,,,,,,,-0.2410382|51.594579
583898029,,,,,,,,,,-0.2423473|51.5950387
588020522,,,,,,,,,,-0.2618299|51.6608252
588020524,,,,,,,,,,-0.2620053|51.6604245
588020526,,,,,,,,,,-0.2616119|51.6602704
588020527,,,,,,,,,,-0.260381|51.6601538
603123550,,,,,,,,,,-0.2436911|51.5953341
765627151,,,,,,,,,,-0.2292086|51.5904272
765627152,,,,,,,,,,-0.228014|51.5902884
765627153,,,,,,,,,,-0.2278439|51.5902333
765627155,,,,,,,,,,-0.2278091|51.59002
765627157,,,,,,,,,,-0.2278842|51.589985
765627158,,,,,,,,,,-0.2279888|51.5899966
765627160,,,,,,,,,,-0.2280022|51.5900233
765627167,,,,,,,,,,-0.2280531|51.5900533
765627173,,,,,,,,,,-0.2281685|51.5900816
765627175,,,,,,,,,,-0.2282104|51.590092
765627176,,,,,,,,,,-0.2292669|51.5901423
765627177,,,,,,,,,,-0.2292137|51.5903453
765627256,,,,,,,,,,-0.227845|51.5900052
768167293,,,,,,,,,,-0.2292215|51.590365
768178630,,,,,,,,,,-0.2308642|51.5896303
768178631,,,,,,,,,,-0.2309619|51.5896671
768180075,,,,,,,,,,-0.2301936|51.5894404
768189254,,,,,,,,,,-0.2282659|51.5897738
768191745,,,,,,,,,,-0.2284368|51.5891871
1020045167,,,,,,,,,,-0.2288486|51.5911851
1020045236,,,,,,,,,,-0.2286622|51.5911841
1020169253,,,,,,,,,,-0.2300639|51.5896231
1020169258,,,,,,,,,,-0.2298567|51.5896005
1151682586,,,,,,,,,,-0.2424932|51.6134848
1151682629,,,,,,,,,,-0.2419094|51.6134872
1180633468,,,,,,,,,,-0.2418906|51.6131806
1279342168,,,,,,,,,,-0.2294379|51.5913419
1279342171,,,,,,,,,,-0.2291812|51.5912637
1422500884,,,,,,,,,,-0.2294965|51.5881261
1422516959,,,,,,,,,,-0.2294826|51.5889001
1422516992,,,,,,,,,,-0.2293012|51.5885108
1989906798,,,,,,,,,,-0.2280034|51.5909776
1989906800,,,,,,,,,,-0.2280302|51.5909067
2035089791,,,,,,,,,,-0.2415394|51.5947571
2035089806,,,,,,,,,,-0.2418056|51.5948596
2035089848,,,,,,,,,,-0.242756|51.5951655
2091447151,,,,,,,,,,-0.2397369|51.5940499
2104658551,,,,,,,,,,-0.2428977|51.5952008
2104658553,,,,,,,,,,-0.2420502|51.59495
2104753658,,,,,,,,,,-0.2417729|51.594847
3461979463,,,,,,,,,,-0.2312229|51.5909881
3461979479,,,,,,,,,,-0.2312548|51.5909253
3461979487,,,,,,,,,,-0.2311959|51.5910438
3461979593,,,,,,,,,,-0.2310623|51.5911054
3461979601,,,,,,,,,,-0.2310043|51.5910992
3461979604,,,,,,,,,,-0.2311266|51.5910848
3858640861,,,,,,,,,,-0.2283477|51.5900614
3858640862,,,,,,,,,,-0.2282952|51.5900827
3858640863,,,,,,,,,,-0.2283598|51.5900339
3858640865,,,,,,,,,,-0.2290926|51.5902912
3892426443,,,,,,,,,,-0.2284754|51.5890979
3893248310,,,,,,,,,,-0.2279169|51.5908963
3893248311,,,,,,,,,,-0.2279054|51.5908638
3893248312,,,,,,,,,,-0.2279825|51.5910441
3893626810,,,,,,,,,,-0.2279874|51.5911229
3944340292,,,,,,,,,,-0.2293837|51.5889251
3953743236,,,,,,,,,,-0.2267898|51.5899982
3953743241,,,,,,,,,,-0.2276692|51.5898012
3953743245,,,,,,,,,,-0.2272259|51.5899404
3953745316,,,,,,,,,,-0.2268242|51.5901487
3954880847,,,,,,,,,,-0.226907|51.5904454
3954893358,,,,,,,,,,-0.2281717|51.5903067
4480990843,Middlesex University,,,,,,university,,,-0.2413129|51.5960416
5136164010,,,,,,,,,,-0.2458432|51.5950584
5136171197,,,,,,,,,,-0.2457592|51.5957275
5326039769,,,,,,,,,,-0.261939|51.6603334
5503711955,,,,,,,,,,-0.2396998|51.5939565
5503711957,,,,,,,,,,-0.24043|51.5930961
6816780283,,,,,,,,,,-0.2278517|51.5902722
8572882884,,,,,,,,,,-0.2436013|51.5941415
8572882885,,,,,,,,,,-0.243777|51.5939484
8572882886,,,,,,,,,,-0.243771|51.593955
8572882888,,,,,,,,,,-0.2406803|51.5944338
8572882889,,,,,,,,,,-0.240719|51.5931842
8572882890,,,,,,,,,,-0.2410109|51.5931089
8572882891,,,,,,,,,,-0.2411382|51.5929881
8950913256,,,,,,,,,,-0.2453283|51.5948068
