osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:unit,amenity,brand,brand:wikidata,check_date,check_date:opening_hours,fixme,opening_hours,opening_hours:signed,phone,reservation,source,survey:date,website,geometry
815702464,,,,,,,,,,,,,,,,,,,,,,-0.1670048|51.5556859
815702482,,,,,,,,,,,,,,,,,,,,,,-0.1669956|51.5556479
815702595,,,,,,,,,,,,,,,,,,,,,,-0.1667278|51.5557222
815702622,,,,,,,,,,,,,,,,,,,,,,-0.1667248|51.5556879
935555299,,,,,,,,,veterinary,,,,,,,,,,,,,-0.2526543|51.5607789
1304102423,Animal Medical Centre,,,,,,,,veterinary,,,,,,,,,,survey,,,-0.203845|51.5611352
1600414489,,,,,,,,,,,,,,,,,,,,,,-0.2053131|51.6531677
1600414560,,,,,,,,,,,,,,,,,,,,,,-0.2055638|51.6532816
1600414599,,,,,,,,,,,,,,,,,,,,,,-0.2056108|51.6531344
1600414608,,,,,,,,,,,,,,,,,,,,,,-0.2055719|51.65324
1600414616,,,,,,,,,,,,,,,,,,,,,,-0.2053815|51.6531776
1600414663,,,,,,,,,,,,,,,,,,,,,,-0.2053325|51.6531102
1600414676,,,,,,,,,,,,,,,,,,,,,,-0.2055129|51.6532134
1600414704,,,,,,,,,,,,,,,,,,,,,,-0.2052996|51.6532159
1600414758,,,,,,,,,,,,,,,,,,,,,,-0.2053023|51.6532567
1600414825,,,,,,,,,,,,,,,,,,,,,,-0.2056014|51.653181
1600414896,,,,,,,,,,,,,,,,,,,,,,-0.2053694|51.6532134
1600414913,,,,,,,,,,,,,,,,,,,,,,-0.2054807|51.6532284
1600414932,,,,,,,,,,,,,,,,,,,,,,-0.2055276|51.6531743
1600414949,,,,,,,,,,,,,,,,,,,,,,-0.2054847|51.6532101
1600414953,,,,,,,,,,,,,,,,,,,,,,-0.2053774|51.653255
1889768854,,,,,,,,,,,,,,,,,,,,,,-0.1624404|51.6428435
1889768914,,,,,,,,,,,,,,,,,,,,,,-0.1623419|51.6429044
1889768928,,,,,,,,,,,,,,,,,,,,,,-0.1624627|51.6429666
1889768939,,,,,,,,,,,,,,,,,,,,,,-0.1625735|51.6428562
1889768957,,,,,,,,,,,,,,,,,,,,,,-0.1625278|51.6428101
