osm_id,geometry
2099177036,-0.2545448|51.5951661
2099177046,-0.2544835|51.5951639
2099177065,-0.2544062|51.5953684
2099177107,-0.2544537|51.595375
2616059825,-0.2866486|51.624206
2616059831,-0.2863539|51.6242092
2616059844,-0.2865037|51.6243275
2616059846,-0.2873673|51.6249087
2616059861,-0.287244|51.6247955
2616059863,-0.2873512|51.6247921
2616059865,-0.2864689|51.6243026
2616059866,-0.2866834|51.6242309
2616059889,-0.2870055|51.6246659
2616059895,-0.2869792|51.6246454
2616059905,-0.2873459|51.6247538
2616059926,-0.287147|51.6245956
2616059934,-0.2874773|51.6248471
2616059938,-0.2872949|51.6248254
2616059940,-0.2873191|51.6247538
2616059946,-0.2865378|51.6241098
2616059952,-0.2863748|51.6242241
2616059965,-0.287244|51.6248171
2616059967,-0.2874555|51.6248585
2616059973,-0.2871207|51.6245752
2616059974,-0.2873888|51.624897
2616059978,-0.2865586|51.6241247
2616066410,-0.2862414|51.6239112
2616066411,-0.2860581|51.6239646
2616066412,-0.28608|51.6239834
2616066417,-0.2862195|51.6238924
