osm_id,geometry
620020426,-0.2168985|51.5602221
1180291196,-0.1480208|51.5636581
1180291197,-0.1479987|51.5636041
1180291198,-0.1476837|51.5636526
1180291199,-0.1477058|51.5637066
1180291200,-0.1473206|51.5637161
1180291201,-0.1476724|51.5636621
1180291202,-0.147693|51.5637152
1180291203,-0.1473412|51.5637692
1180291204,-0.1467241|51.5638151
1180291205,-0.1473084|51.56372
1180291206,-0.1473291|51.5637703
1180291207,-0.1467462|51.5638655
1303464212,-0.2111483|51.5560534
1303464214,-0.2110884|51.5559882
1303464238,-0.2111669|51.5560741
1303464239,-0.2111176|51.5560913
1303464240,-0.2110403|51.5560065
1444412741,-0.1672653|51.5559014
1444412743,-0.1672167|51.5559066
1444412752,-0.1672768|51.5559425
1444412755,-0.1672282|51.5559477
1634712079,-0.1981405|51.6652711
1634712084,-0.19799|51.6654287
1634712089,-0.1980504|51.6654316
1634712093,-0.1981037|51.665154
1634712107,-0.1979639|51.6654739
1634712108,-0.1981974|51.6651101
1634712113,-0.1980468|51.665312
1634712121,-0.1980525|51.6652668
1634712128,-0.1982451|51.6649968
1634712136,-0.1981347|51.6653164
1634712138,-0.1981557|51.6649926
1634712166,-0.1981932|51.6651571
1634712180,-0.1979695|51.6654278
1634712181,-0.1981504|51.6650361
1634712185,-0.1980448|51.6654777
1634712189,-0.1981079|51.6651071
1634712196,-0.1982398|51.6650403
1651022156,-0.1880064|51.6416399
1651022199,-0.1879975|51.6416166
1651022213,-0.1879226|51.6416277
1651022244,-0.1879316|51.641651
1651480194,-0.1821743|51.6572028
1651480202,-0.1820894|51.6572625
1651480238,-0.1821757|51.6572617
1651480268,-0.182088|51.6572036
1651480337,-0.1821892|51.657171
1651480363,-0.1821027|51.6571721
1651481184,-0.1825446|51.6560433
1651481185,-0.1825912|51.6560431
1651481193,-0.1825907|51.6559936
1651481207,-0.182544|51.6559938
1658274219,-0.1328628|51.5690081
1658274226,-0.132937|51.5690308
1658274232,-0.1329226|51.569041
1669122245,-0.1394159|51.5692041
1669122247,-0.1394038|51.5691945
1669122249,-0.1394468|51.569152
1669122251,-0.1394702|51.5691811
1669122253,-0.1393877|51.5692003
1718569617,-0.140227|51.6371096
1718569618,-0.140201|51.6371735
1718569642,-0.1401653|51.6371546
1718569669,-0.1402627|51.6371285
1753886723,-0.158686|51.5879194
1753886746,-0.1587449|51.5879598
1753886760,-0.1592251|51.587932
1753886785,-0.1593714|51.5879951
1753886801,-0.1592938|51.5879296
1753886816,-0.1587416|51.5879177
1753886825,-0.1594156|51.5879942
1753886834,-0.1592293|51.5879789
1753886840,-0.1586894|51.5879615
1753886841,-0.159298|51.5879766
1753886866,-0.159369|51.5879513
1753886873,-0.1594132|51.5879504
1779985282,-0.2169196|51.5602135
1898144019,-0.1564078|51.6523346
1898144021,-0.1563683|51.6523009
1898144083,-0.156301|51.6523313
1898144084,-0.1563404|51.652365
1977338015,-0.2735022|51.6118143
1977338016,-0.2734209|51.6112144
1977338020,-0.2731374|51.6112147
1977338022,-0.2723998|51.6118609
1977338024,-0.2735792|51.611884
1977338026,-0.273099|51.6117208
1977338028,-0.2734727|51.6118393
1977338030,-0.2741003|51.6114662
1977338033,-0.2736068|51.6118543
1977338035,-0.2732366|51.6117043
1977338047,-0.2736309|51.6118642
1977338049,-0.2731259|51.6117857
1977338051,-0.273301|51.6117177
1977338053,-0.2722657|51.6113129
1977338055,-0.2722979|51.6115628
1977338057,-0.2736309|51.611263
1977338059,-0.2723427|51.6115559
1979773885,-0.160151|51.588183
1979773964,-0.1601695|51.5881072
1979773965,-0.1602123|51.588145
1979773971,-0.1601581|51.5882013
1979774007,-0.1602466|51.5882053
1979774008,-0.1601694|51.588145
1979774027,-0.1602494|51.5881536
1979774029,-0.1601528|51.5881514
1979774030,-0.1601538|51.588238
