osm_id,geometry
804820598,-0.1346006|51.5731731
804820600,-0.1343611|51.5732555
804820601,-0.134323|51.5732154
804820605,-0.1345617|51.5731314
804820606,-0.1345353|51.5730629
804820608,-0.1344872|51.5730888
804820610,-0.1342467|51.5729119
804820612,-0.1342863|51.5728832
804820723,-0.1351513|51.5736207
804820725,-0.1351065|51.5736352
804820727,-0.1349494|51.5734479
804820728,-0.1349941|51.5734334
804820777,-0.1353198|51.5735826
804820779,-0.1352515|51.5736064
804820782,-0.1349977|51.573325
804820791,-0.1350661|51.5733012
849398722,-0.1828348|51.6486728
849398740,-0.1827109|51.6485322
849398751,-0.1826899|51.6487305
849398795,-0.1827617|51.6485775
849398825,-0.1826484|51.6486904
849398873,-0.1826195|51.648639
849398894,-0.1825687|51.6485937
849398916,-0.1827934|51.6486327
895874558,-0.2274125|51.5561514
895874560,-0.2273239|51.5561399
895874563,-0.2274914|51.5556362
895874581,-0.22758|51.5556477
895874600,-0.2275734|51.555305
895874602,-0.227812|51.5553425
895874605,-0.227828|51.5553031
895874607,-0.2275893|51.5552656
1107378977,-0.2787735|51.6497233
1107378978,-0.2788526|51.6497114
1107378984,-0.2786299|51.6493704
1107378986,-0.2786928|51.6493593
1107378988,-0.2786687|51.6493069
1107378990,-0.2786059|51.649318
1107378994,-0.2789165|51.6496308
1107378995,-0.2790029|51.6496164
1107378997,-0.2789342|51.6494582
1107378999,-0.2788477|51.6494727
1180270114,-0.1350158|51.5634996
1180270115,-0.1351006|51.5633427
1180270116,-0.1351788|51.5633587
1180270117,-0.1350951|51.5635156
1180270119,-0.1350571|51.5635607
1180270120,-0.1349867|51.5635461
1180270121,-0.1349376|51.5636364
1180270123,-0.1350091|51.563651
1180270125,-0.1349867|51.5636878
1180270126,-0.1349186|51.5636746
1180270127,-0.1348817|51.5637468
1180270128,-0.134951|51.56376
1261833168,-0.1809094|51.556367
1261833170,-0.1807945|51.5563649
1261833171,-0.180792|51.5564195
1261833173,-0.1809068|51.5564216
1261833180,-0.1807851|51.5564887
1261833181,-0.1808975|51.5564907
1261833182,-0.1808951|51.5565439
1261833183,-0.1807826|51.5565419
1303853786,-0.2006623|51.5629273
1303853787,-0.2005885|51.5629371
1303853789,-0.2006484|51.5631114
1303853791,-0.2007221|51.5631016
1352499334,-0.1490905|51.572754
1426991225,-0.1683495|51.5553761
1426991484,-0.1684315|51.5553771
1426991492,-0.168351|51.5553258
1426991612,-0.1684331|51.5553268
1601292809,-0.2021221|51.6572246
1601292814,-0.202113|51.6572951
1601292844,-0.2020372|51.6572204
1601292846,-0.2020281|51.6572909
1601519469,-0.2084811|51.6582379
1601519493,-0.2085191|51.658282
1601519564,-0.2086696|51.6581753
1601519565,-0.2087076|51.6582193
1634691367,-0.2000176|51.6652408
1634691371,-0.200079|51.6649725
1634691463,-0.2001029|51.6652483
1634691518,-0.2001642|51.66498
1634698436,-0.1994878|51.6671075
1634698470,-0.1991533|51.6672302
1634698487,-0.1990822|51.6671675
1634698488,-0.1990725|51.667225
1634698490,-0.1994372|51.6670646
1634698501,-0.1995578|51.6670758
1634698503,-0.199163|51.6671727
1634698553,-0.1995072|51.6670329
1651476710,-0.1823693|51.656885
1651476723,-0.1822922|51.6569332
1651476772,-0.1823698|51.6569329
1651476773,-0.1822917|51.6568853
1651481174,-0.1826236|51.6560482
1651481194,-0.1826226|51.6561422
1651481216,-0.1825402|51.6561419
1651489150,-0.1841185|51.6564885
1651489229,-0.1840455|51.6564355
1651489236,-0.1841157|51.6564341
1651489259,-0.1840483|51.6564899
1651669814,-0.183889|51.6539735
1651669837,-0.1838876|51.6541761
1651670018,-0.1838136|51.6541759
1651670035,-0.183815|51.6539733
1651704386,-0.1811752|51.6557236
1651704431,-0.1811696|51.6555669
1651704456,-0.1812445|51.6555659
1651704457,-0.1811606|51.6554524
1651704463,-0.1813529|51.6555017
1651704473,-0.1813529|51.6554525
1651704492,-0.1811606|51.6555016
1651704495,-0.18125|51.6557226
1656882617,-0.2228027|51.6450692
1656882621,-0.2227973|51.6450254
1656882622,-0.2226849|51.6450308
1656882623,-0.2226466|51.6450556
1656882626,-0.2226877|51.6450536
1656882638,-0.2226492|51.6450766
1657784823,-0.218931|51.6483814
1657784828,-0.2189161|51.6483013
1657784830,-0.2189439|51.6482744
1657784863,-0.2190132|51.648302
1657784865,-0.2188929|51.6483662
1657784871,-0.2189473|51.6483137
1675578068,-0.1413928|51.568973
1675578070,-0.1415992|51.5689964
1675578071,-0.1415805|51.5690123
1678520120,-0.2039471|51.6349428
1678520211,-0.2039205|51.634998
1678520214,-0.203738|51.6349641
1678520275,-0.2037645|51.6349089
1753886726,-0.1591148|51.5879785
1753886749,-0.1591122|51.5879295
1753886795,-0.1589826|51.5879813
1753886865,-0.1589799|51.5879323
1886209529,-0.1438606|51.6178572
1886209542,-0.1440029|51.6177823
1886209554,-0.1440112|51.6179035
1886209561,-0.1439231|51.6178577
1886209564,-0.1440018|51.6178371
1886209565,-0.1440042|51.6177231
1886209568,-0.1438597|51.6179022
1886209569,-0.143926|51.6177225
1893946822,-0.1657419|51.6464008
1893946843,-0.1660982|51.6464326
1893946846,-0.1658461|51.646599
1893946852,-0.165825|51.646384
1893946855,-0.1659291|51.6465822
1893946857,-0.1659386|51.6462909
1893946864,-0.1660169|51.6462753
1893946914,-0.16602|51.6464482
1916842425,-0.1778514|51.6440171
1916842458,-0.1778633|51.6440237
1916842461,-0.1774911|51.6440105
1916842468,-0.1776197|51.6440114
1916842471,-0.177931|51.6440327
1916842474,-0.1778562|51.6440727
1916842519,-0.1779555|51.6439848
1916842523,-0.1778758|51.6439691
1916847032,-0.1777232|51.6440666
1916847042,-0.1776386|51.6440607
1916847043,-0.1775884|51.6440599
1973016168,-0.2258261|51.5907677
1973016202,-0.2259591|51.5910154
1973016213,-0.2258788|51.5910219
1973016241,-0.2259064|51.5907612
1979773980,-0.1601575|51.5882576
1979774010,-0.1602205|51.5882582
1979774012,-0.1601544|51.588386
1979774014,-0.1602175|51.5883865
1979851016,-0.1602203|51.5913506
1979851040,-0.160341|51.591334
1979851247,-0.1603652|51.5912456
1979851273,-0.1602659|51.591224
1983430310,-0.1526339|51.6023503
1983430312,-0.1526899|51.60245
1983430339,-0.1528239|51.6026775
1983430348,-0.1527928|51.6024267
1983430367,-0.1523529|51.6024151
1983430375,-0.1528939|51.6026616
1983430397,-0.1523785|51.6024579
1983430420,-0.1528284|51.6024871
1983430426,-0.1527955|51.6024946
1983430435,-0.152421|51.6023994
1983430462,-0.1525515|51.6023693
1983430486,-0.1526595|51.6023931
1983513213,-0.1479503|51.5992978
1983513269,-0.1480362|51.599636
1983513275,-0.1481139|51.599611
1983513317,-0.1478645|51.5993228
1983614533,-0.1445141|51.6057237
1983614581,-0.1446043|51.6057113
1983614623,-0.1450237|51.6057853
1983614654,-0.1445567|51.6058473
1983614703,-0.1446343|51.6057982
1983614747,-0.1446717|51.605352
1983614763,-0.1450109|51.6057482
1983614774,-0.1447335|51.6053437
1984449905,-0.1470881|51.6061294
1984584298,-0.1552933|51.6107809
1984584305,-0.1550071|51.6106285
1984584356,-0.154957|51.6106647
1984584384,-0.1552432|51.6108172
1984659526,-0.1745691|51.6120043
1984659579,-0.1745007|51.6118394
1984659580,-0.1746078|51.6119024
1984659593,-0.1744831|51.611883
1984659596,-0.1745866|51.6119599
1984659608,-0.1744451|51.6119854
1984659636,-0.1744626|51.6119411
1984659704,-0.1746254|51.6118588
1984700862,-0.1742136|51.6075937
1984700864,-0.17422|51.6076389
1984700942,-0.1741451|51.607643
1984700989,-0.1741387|51.6075977
1985157107,-0.1522623|51.6079432
1985157131,-0.1524296|51.6079061
1985157157,-0.1510044|51.6075363
1985157171,-0.1511363|51.6074862
1985157191,-0.1512113|51.6074716
1985157193,-0.1512344|51.6075175
1985157195,-0.1521037|51.6077587
1985157209,-0.1521486|51.6077487
1985157213,-0.1520833|51.6077633
1985157244,-0.1508798|51.6074424
1985157247,-0.1523161|51.6077111
1985157250,-0.1511478|51.6075084
1985157363,-0.1521456|51.6078778
1985157365,-0.1523614|51.6079214
1985157374,-0.1508586|51.6073986
1985157393,-0.1521896|51.6079587
1985157468,-0.1511264|51.6074664
1985157482,-0.1511597|51.607532
1985157494,-0.1509832|51.6074942
1985157537,-0.1511092|51.6073518
1985157557,-0.1511304|51.6073956
1985157619,-0.1522479|51.6077264
1985204250,-0.1518808|51.6085644
1985204268,-0.1518431|51.6086154
1985208549,-0.1508157|51.6081449
1985208553,-0.1512211|51.6089748
1985208584,-0.1514955|51.608529
1985208606,-0.1508564|51.6080955
1985208645,-0.1516525|51.6087418
1985208661,-0.1507352|51.6083313
1985208692,-0.1514597|51.6086446
1985208725,-0.1507862|51.6080732
1985208745,-0.1506683|51.6083099
1985208773,-0.1513671|51.6089558
1985208774,-0.1515653|51.6085525
1985208782,-0.1513511|51.6089087
1985208785,-0.1515789|51.6087198
1985210411,-0.1489308|51.6095657
1985210501,-0.1483227|51.6091253
1985210530,-0.1481698|51.6091746
1985210565,-0.149235|51.6091934
1985210639,-0.1489732|51.609527
1985210658,-0.1487191|51.6094761
1985210694,-0.1487615|51.6094374
1985210712,-0.1482713|51.6090988
1985210735,-0.149337|51.6091858
1985210737,-0.1491258|51.6092049
1985210818,-0.1492746|51.6091585
1985210888,-0.1482212|51.6092012
1985210892,-0.1491707|51.6091653
1985210896,-0.1492524|51.6092603
1985211351,-0.1500333|51.6093312
1985211368,-0.150137|51.6093164
1985211472,-0.1500784|51.609291
1985211476,-0.1500919|51.6093566
1985637518,-0.1459922|51.6121347
1985637560,-0.1459385|51.612093
1985637825,-0.1458684|51.6121278
1985721042,-0.1469343|51.6176169
1985721088,-0.1469079|51.6174566
1985721139,-0.1468366|51.6174756
1985721221,-0.1470056|51.6175979
1985789995,-0.1517159|51.614438
1985790022,-0.152072|51.614326
1985790026,-0.1520403|51.6142871
1985790029,-0.1516842|51.6143992
1985847148,-0.1551474|51.6137318
1985847313,-0.1551234|51.6138263
1985847358,-0.1552237|51.6137394
1985847363,-0.1551994|51.6138339
1985860901,-0.1578112|51.6144154
1985860902,-0.1579963|51.6146282
1985860909,-0.1578944|51.6144104
1985860910,-0.157846|51.6146385
1985860918,-0.1579794|51.6144926
1985860957,-0.1579292|51.6146334
1985860961,-0.1580911|51.6146236
1985860966,-0.1580743|51.614488
1985931656,-0.1542317|51.6182185
1985931664,-0.1540177|51.6186759
1985931704,-0.1543333|51.6179933
1985931712,-0.1538937|51.6186536
1985931723,-0.1538096|51.6188046
1985931746,-0.1541172|51.6181736
1985931748,-0.1537838|51.6187791
1985931753,-0.1540849|51.6185217
1985931759,-0.1539781|51.6184827
1985931775,-0.1543092|51.6180449
1985931786,-0.1539293|51.6184739
1985931789,-0.1541042|51.6184802
1985931790,-0.1537429|51.6187926
1985931791,-0.1537936|51.618758
1985931794,-0.1541881|51.6179671
1985931834,-0.154164|51.6180188
1985938343,-0.1544737|51.6189465
1985938352,-0.1547082|51.6185621
1985938372,-0.1550178|51.6178058
1985938410,-0.1551627|51.6176879
1985938415,-0.1549476|51.617961
1985938420,-0.155168|51.6174743
1985938443,-0.1551477|51.6175191
1985938445,-0.1545049|51.6189281
1985938453,-0.1549383|51.6179814
1985938467,-0.1550779|51.6176731
1985938469,-0.1545266|51.6187479
1985938472,-0.154483|51.6189245
1985938474,-0.1552288|51.6175333
1985938475,-0.1545145|51.6187758
1985938487,-0.1551833|51.6176425
1985938490,-0.1550985|51.6176277
1985938522,-0.1550289|51.6179752
1985982047,-0.1526539|51.6206044
1985982118,-0.1520503|51.6206695
1985982315,-0.1520467|51.6206222
1985982398,-0.1526575|51.6206518
1986289673,-0.1712121|51.627945
1986289701,-0.1710792|51.6279584
1986289726,-0.1709839|51.627968
1986290024,-0.1709653|51.6280204
1986290036,-0.171225|51.6279942
1986290040,-0.1697695|51.6281784
1986290044,-0.169948|51.628161
1986290045,-0.1699321|51.6281128
1986290048,-0.1697573|51.6281299
1988932111,-0.1747376|51.6165323
1988932134,-0.1747943|51.6164104
1988932166,-0.1747281|51.6164783
1988932172,-0.1745713|51.6164889
1988932178,-0.1744201|51.6165152
1988932214,-0.1744004|51.6164034
1988932251,-0.1745808|51.6165429
1988932273,-0.1747847|51.6163557
1988932284,-0.1745549|51.6163713
1988932301,-0.1743453|51.6165202
1988932311,-0.1745645|51.616426
1988932364,-0.1743257|51.6164085
1989002172,-0.1741886|51.6126749
1989002174,-0.174269|51.6126651
1989002220,-0.1742119|51.6127486
1989002236,-0.1742923|51.6127388
1989040774,-0.1650185|51.6119203
1989040821,-0.1650121|51.6118734
1989040824,-0.164666|51.6119387
1989040835,-0.1646597|51.6118918
1989045940,-0.1593012|51.61336
1989045954,-0.1595138|51.6137183
1989045982,-0.1594299|51.6137296
1989045983,-0.1593851|51.6133488
1989485588,-0.1612324|51.6123221
1989485698,-0.161285|51.6124372
1989485724,-0.1611436|51.6123377
1994618539,-0.1307693|51.6319576
1994618578,-0.1308244|51.6319529
1994618718,-0.1320443|51.6322871
1994618720,-0.1322571|51.63233
