osm_id,name,access,amenity,barrier,bicycle,building,cuisine,entrance,foot,horse,motor_vehicle,note,source,geometry
319092217,,,,,,,,,,,,,,-0.1497526|51.5822874
319092218,,,,,,,,,,,,,,-0.149684|51.5823514
319092219,,,,,,,,,,,,,,-0.1499157|51.5824474
319092305,,,,gate,no,,,,yes,no,no,,gps+mapnoter,-0.1499873|51.5823783
2131643152,,,,,,,,,,,,,,-0.1846128|51.6054736
2131643161,,,,,,,,,,,,,,-0.1846845|51.6055168
2131643166,,,,,,,,,,,,,,-0.1846663|51.6054393
2131643216,,,,,,,,,,,,,,-0.184738|51.6054826
3363345421,,,,,,,,,,,,,,-0.1498554|51.5554593
3654654415,,,,,,,,,,,,,,-0.1585541|51.5863482
3654654420,,,,,,,,,,,,,,-0.1586129|51.5863446
3654654423,,,,,,,,,,,,,,-0.158546|51.5862964
3654655026,,,,,,,,,,,,,,-0.1586048|51.5862928
3702633740,,customers,,,,,,yes,,,,,,-0.1498852|51.5823423
9935581951,,,,,,,,,,,,,,-0.1428294|51.6142965
9935581952,,,,,,,,,,,,,,-0.142786|51.6142603
9935581953,,,,,,,,,,,,,,-0.1428197|51.6142447
9935581954,,,,,,,,,,,,,,-0.1428632|51.6142809
10536523411,,,,,,,,,,,,,,-0.1454795|51.5777599
10536523412,,,,,,,,,,,,,,-0.1454872|51.5777089
10536523413,,,,,,,,,,,,,,-0.1454487|51.5777482
10536523414,,,,,,,,,,,,,,-0.145518|51.5777206
11405662653,The Hole,,fast_food,,,kiosk,sandwich,,,,,Not sure if it's ever open,,-0.1352192|51.5659933
11739574526,,,,,,,,,,,,,,-0.1498792|51.5554942
11739574527,,,,,,,,,,,,,,-0.1497942|51.5554803
11739574528,,,,,,,,,,,,,,-0.1497913|51.5554763
