osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,building,designation,entrance,layer,office,parking,phone,website,geometry
268503129,,,,,,,,,,,,,,,,-0.175786|51.6294217
268503130,,,,,,,,,,,,,,,,-0.1751766|51.6294917
268503131,,,,,,,,,,,,,,,,-0.1752642|51.6297854
268503132,,,,,,,,,,,,,,,,-0.1750671|51.629808
268503133,,,,,,,,,,,,,,,,-0.1749299|51.6293473
268503134,,,,,,,,,,,,,,,,-0.1757453|51.6292851
273404939,,,,,,,,,,,,,,,,-0.1931753|51.602155
273404941,,,,,,,,,,,,,,,,-0.1930028|51.6020687
273404942,,,,,,,,,,,,,,,,-0.1932298|51.6018939
273404943,,,,,,,,,,,,,,,,-0.1934022|51.6019803
273405409,,,,,,,,,,,,,,,,-0.1860434|51.5986562
273405410,,,,,,,,,,,,,,,,-0.1863976|51.5988808
273405411,,,,,,,,,,,,,,,,-0.186115|51.5989666
273405412,,,,,,,,,,,,,,,,-0.1858798|51.5988161
273405413,,,,,,,,,,,,,,,,-0.1855487|51.5990174
273405414,,,,,,,,,,,,,,,,-0.1854425|51.59895
301555365,,,,,,,,,,,,,,,,-0.1958727|51.5992212
301555366,,,,,,,,,,,,,,,,-0.1956332|51.5994492
301555368,,,,,,,,,,,,,,,,-0.1956859|51.5991455
301555369,,,,,,,,,,,,,,,,-0.1954414|51.5993715
301555370,,,,,,,,,,,,,,,,-0.1959261|51.5988304
301555371,,,,,,,,,,,,,,,,-0.1962101|51.5988925
301555372,,,,,,,,,,,,,,,,-0.1957781|51.5990453
301555373,,,,,,,,,,,,,,,,-0.1959604|51.5991219
301555374,,,,,,,,,,,,,,,,-0.1955134|51.5988041
301555375,,,,,,,,,,,,,,,,-0.1953875|51.5989186
301555376,,,,,,,,,,,,,,,,-0.1953374|51.5987294
301555377,,,,,,,,,,,,,,,,-0.1952115|51.5988439
301555378,,,,,,,,,,,,,,,,-0.1951503|51.5988584
301555379,,,,,,,,,,,,,,,,-0.1951449|51.5990694
301555380,,,,,,,,,,,,,,,,-0.1953044|51.5989233
301555381,,,,,,,,,,,,,,,,-0.1949908|51.5990045
301559361,,,,,,,,,,,,,,,,-0.1949507|51.5995663
301559362,,,,,,,,,,,,,,,,-0.1946153|51.5993779
301559363,,,,,,,,,,,,,,,,-0.1951302|51.599443
301559364,,,,,,,,,,,,,,,,-0.1947866|51.5992603
301559366,,,,,,,,,,,,,,,,-0.194454|51.5992997
301559367,,,,,,,,,,,,,,,,-0.194208|51.5991726
301559368,,,,,,,,,,,,,,,,-0.1945948|51.5991944
301559369,,,,,,,,,,,,,,,,-0.1943593|51.5990596
301559381,,,,,,,,,,,,,,,,-0.1940907|51.5991259
301559382,,,,,,,,,,,,,,,,-0.1938683|51.5990148
301559383,,,,,,,,,,,,,,,,-0.1942619|51.5989936
301559384,,,,,,,,,,,,,,,,-0.1940394|51.5988825
301559386,,,,,,,,,,,,,,,,-0.1953175|51.5997486
301559387,,,,,,,,,,,,,,,,-0.195167|51.5996705
301559388,,,,,,,,,,,,,,,,-0.1954872|51.5996226
301559389,,,,,,,,,,,,,,,,-0.1953367|51.5995445
301559390,,,,,,,,,,,,,,,,-0.1954011|51.5995779
303633065,,,,,,,,,,,,,,,,-0.2279556|51.5892074
303633066,,,,,,,,,,,,,,,,-0.2274503|51.5891478
303633067,,,,,,,,,,,,,,,,-0.227549|51.5888253
303633068,,,,,,,,,,,,,,,,-0.2280542|51.5888849
309409142,,,,,,,,,,,,,,,,-0.1938397|51.5992227
309409145,,,,,,,,,,,,,,,,-0.1935722|51.5994124
309409147,,,,,,,,,,,,,,,,-0.193427|51.5993334
309409149,,,,,,,,,,,,,,,,-0.1936946|51.5991437
711912650,,,,,,,,,,,,,,,,-0.1859373|51.6450734
711912651,,,,,,,,,,,,,,,,-0.1857911|51.6451449
711912652,,,,,,,,,,,,,,,,-0.1865291|51.6457264
711912653,,,,,,,,,,,,,,,,-0.1866753|51.6456549
846281814,,,,,,,,,,,,,,,,-0.1765762|51.6490158
846281819,,,,,,,,,,,,,,,,-0.176825|51.6492543
846281835,,,,,,,,,,,,,,,,-0.1764981|51.6492166
846281836,,,,,,,,,,,,,,,,-0.1747413|51.6494375
846281840,,,,,,,,,,,,,,,,-0.174936|51.6494572
846281860,,,,,,,,,,,,,,,,-0.1764223|51.6492364
846281881,,,,,,,,,,,,,,,,-0.174677|51.6491492
846281884,,,,,,,,,,,,,,,,-0.1767536|51.6491495
846281888,,,,,,,,,,,,,,,,-0.175813|51.6493803
846281899,,,,,,,,,,,,,,,,-0.1760803|51.6494498
846281907,,,,,,,,,,,,,,,,-0.1766803|51.6491687
846281927,,,,,,,,,,,,,,,,-0.175805|51.6495228
846281940,,,,,,,,,,,,,,,,-0.1758376|51.6491216
846281949,,,,,,,,,,,,,,,,-0.176394|51.6490636
846281951,,,,,,,,,,,,,,,,-0.1748296|51.649458
846281966,,,,,,,,,,,,,,,,-0.1745828|51.6494025
846281998,,,,,,,,,,,,,,,,-0.1764936|51.6493411
846282001,,,,,,,,,,,,,,,,-0.1746746|51.6492374
846282008,,,,,,,,,,,,,,,,-0.1756592|51.6491272
846282045,,,,,,,,,,,,,,,,-0.1749574|51.6491509
846282049,,,,,,,,,,,,,,,,-0.1757544|51.6493896
884250266,,,,,,,,,,,,,,,,-0.1760279|51.6327856
910346819,,,,,,,,,,,,,,,,-0.1319509|51.565723
910346820,,,,,,,,,,,,,,,,-0.1320693|51.5656137
910346821,,,,,,,,,,,,,,,,-0.1317914|51.5654958
910346822,,,,,,,,,,,,,,,,-0.1316803|51.5655665
910346825,,,,,,,,,,,,,,,,-0.1319911|51.5656977
1030576792,,,,,,,,,,,,,,,,-0.2679849|51.658048
1030576801,,,,,,,,,,,,,,,,-0.268059|51.6583666
1030576804,,,,,,,,,,,,,,,,-0.2676079|51.6586245
1030576807,,,,,,,,,,,,,,,,-0.2677987|51.6584115
1030576811,,,,,,,,,,,,,,,,-0.2681376|51.6582324
1030576813,,,,,,,,,,,,,,,,-0.268208|51.6583308
1030576814,,,,,,,,,,,,,,,,-0.2686036|51.6582749
1030576820,,,,,,,,,,,,,,,,-0.2686364|51.6581939
1030576821,,,,,,,,,,,,,,,,-0.2680293|51.6581101
1030576822,,,,,,,,,,,,,,,,-0.2691687|51.6585007
1030576824,,,,,,,,,,,,,,,,-0.2679894|51.6582672
1030576825,,,,,,,,,,,,,,,,-0.2690171|51.6584874
1030576836,,,,,,,,,,,,,,,,-0.2691439|51.6585071
1030576841,,,,,,,,,,,,,,,,-0.2679423|51.6581324
1030576845,,,,,,,,,,,,,,,,-0.2685256|51.6581671
1030576847,,,,,,,,,,,,,,,,-0.2688584|51.6584501
1030576852,,,,,,,,,,,,,,,,-0.2679003|51.6580716
1030576859,,,,,,,,,,,,,,,,-0.2684339|51.6584462
1030576861,,,,,,,,,,,,,,,,-0.2685545|51.6583552
1030576863,,,,,,,,,,,,,,,,-0.2675879|51.658474
1030576867,,,,,,,,,,,,,,,,-0.2685558|51.6581145
1030576870,,,,,,,,,,,,,,,,-0.2690913|51.6584689
1030576872,,,,,,,,,,,,,,,,-0.2682115|51.6579873
1030576874,,,,,,,,,,,,,,,,-0.2676676|51.6581295
1030576875,,,,,,,,,,,,,,,,-0.2686942|51.6585549
1030576878,,,,,,,,,,,,,,,,-0.2676814|51.6588372
1030576888,,,,,,,,,,,,,,,,-0.2690842|51.6584578
1030576889,,,,,,,,,,,,,,,,-0.2691324|51.6584466
1030576890,,,,,,,,,,,,,,,,-0.2677123|51.6587812
1030576892,,,,,,,,,,,,,,,,-0.267981|51.6587387
1030576895,,,,,,,,,,,,,,,,-0.2678706|51.6582997
1030576903,,,,,,,,,,,,,,,,-0.2685891|51.6584065
1030576904,,,,,,,,,,,,,,,,-0.269019|51.6586357
1030576907,,,,,,,,,,,,,,,,-0.2686547|51.6581701
1030576909,,,,,,,,,,,,,,,,-0.269199|51.6585889
1030576911,,,,,,,,,,,,,,,,-0.2674715|51.6588798
1030576913,,,,,,,,,,,,,,,,-0.2677013|51.6581958
1030576929,,,,,,,,,,,,,,,,-0.2682654|51.6581985
1030576930,,,,,,,,,,,,,,,,-0.2687938|51.6583521
1030576933,,,,,,,,,,,,,,,,-0.2684978|51.6585351
1030576944,,,,,,,,,,,,,,,,-0.2686498|51.6584946
1030576949,,,,,,,,,,,,,,,,-0.268529|51.6582575
1030576950,,,,,,,,,,,,,,,,-0.2675876|51.6590108
1030576951,,,,,,,,,,,,,,,,-0.2675012|51.6585963
1030576966,,,,,,,,,,,,,,,,-0.2675681|51.6583734
1030576967,,,,,,,,,,,,,,,,-0.2681026|51.6586436
1030576969,,,,,,,,,,,,,,,,-0.2678499|51.6589404
1030576970,,,,,,,,,,,,,,,,-0.2673926|51.65766
1030576971,,,,,,,,,,,,,,,,-0.2678833|51.6585898
1030576981,,,,,,,,,,,,,,,,-0.2678549|51.6575241
1030576983,,,,,,,,,,,,,,,,-0.2688673|51.658238
1030576984,,,,,,,,,,,,,,,,-0.2678434|51.6585351
1030576985,,,,,,,,,,,,,,,,-0.2682656|51.6580496
1107378840,,,,,,,,,,,,,,,,-0.2791435|51.6536618
1107378841,,,,,,,,,,,,,,,,-0.2789348|51.6537256
1107378842,,,,,,,,,,,,,,,,-0.2787522|51.6534954
1107378843,,,,,,,,,,,,,,,,-0.2788135|51.6534767
1107378844,,,,,,,,,,,,,,,,-0.2787165|51.6533545
1107378845,,,,,,,,,,,,,,,,-0.2788602|51.6533106
1107378846,,,,,,,,,,,,,,,,-0.2789581|51.653434
1107378848,,,,,,,,,,,,,,,,-0.2789749|51.6534288
1107378849,,,,,,,,,,,,,,,,-0.2790446|51.6535167
1107378850,,,,,,,,,,,,,,,,-0.2789812|51.6535361
1107378851,,,,,,,,,,,,,,,,-0.2790222|51.6535877
1107378852,,,,,,,,,,,,,,,,-0.2790725|51.6535724
1149802669,,,,,,,,,,,,,,,,-0.1316932|51.5655741
1149802743,,,,,,,,,,,,,,,,-0.1318432|51.5656604
1304601864,,,,,,,,,,,,,,,,-0.2001238|51.5730052
1304601866,,,,,,,,,,,,,,,,-0.2002162|51.572935
1304601867,,,,,,,,,,,,,,,,-0.20027|51.5729624
1304601868,,,,,,,,,,,,,,,,-0.2001776|51.5730326
1304601869,,,,,,,,,,,,,,,,-0.2002369|51.5730628
1304601870,,,,,,,,,,,,,,,,-0.2003159|51.5730029
1304601871,,,,,,,,,,,,,,,,-0.2003294|51.5729926
1304601880,,,,,,,,,,,,,,,,-0.2003001|51.573095
1304601881,,,,,,,,,,,,,,,,-0.2003518|51.5730558
1304601882,,,,,,,,,,,,,,,,-0.2003555|51.573053
1304601883,,,,,,,,,,,,,,,,-0.200325|51.5730375
1304601884,,,,,,,,,,,,,,,,-0.2003486|51.5730195
1304601890,,,,,,,,,,,,,,,,-0.2003524|51.5731216
1304601892,,,,,,,,,,,,,,,,-0.2004041|51.5730824
1304601896,,,,,,,,,,,,,,,,-0.2002709|51.5728935
1304601898,,,,,,,,,,,,,,,,-0.2003247|51.5729209
1304601903,,,,,,,,,,,,,,,,-0.2005552|51.5732249
1304601905,,,,,,,,,,,,,,,,-0.2006122|51.5731816
1304601907,,,,,,,,,,,,,,,,-0.2005514|51.5731507
1304601908,,,,,,,,,,,,,,,,-0.2005842|51.5731258
