osm_id,amenity,entrance,level,maxheight,parking,geometry
268224519,,,,,,-0.2040156|51.6550454
268224520,,,,,,-0.2045602|51.6551432
268224521,,,,,,-0.2043039|51.6557018
268224522,,,,,,-0.2038211|51.6556296
268224529,,,,,,-0.2038782|51.6555061
268224530,,,,,,-0.2038157|51.655495
268224543,,,,,,-0.2038298|51.6554644
1601278274,,,,,,-0.2042767|51.6557123
1643307830,,,,,,-0.2549006|51.6600102
1643307831,,,,,,-0.2540961|51.6601023
1643307832,,,,,,-0.2549884|51.6603052
1643307833,,,,,,-0.254184|51.6603974
2104918670,parking_entrance,,0,,multi-storey,-0.2230527|51.577726
2104918672,,exit,0,,,-0.2230903|51.577771
2104925166,,,,,,-0.2256571|51.5769225
2104925174,,,,,,-0.2256916|51.5769639
2106182611,,,,,,-0.2252769|51.5768706
2106195012,,,,,,-0.2260746|51.5775671
2106195013,,,,,,-0.2235425|51.5782522
2106195014,,,,,,-0.2244062|51.5772171
2106195015,,,,,,-0.2235962|51.5782622
2106195016,,,,,,-0.2259151|51.5772157
2106195017,,,,,,-0.2261067|51.5775221
2106195018,,,,,,-0.2254925|51.5768253
2106195019,,,,,,-0.2257178|51.576997
2106195020,,,,,,-0.2232667|51.5780409
2106195021,,,,,,-0.2248568|51.5780988
2106195022,,,,,,-0.2243646|51.5783101
2106195023,,,,,,-0.2257796|51.5769899
2106195024,,,,,,-0.2230222|51.5776904
2106195025,,,,,,-0.2230677|51.5778796
2106195026,,,,,,-0.2232395|51.5775154
2106195027,,,,,,-0.2231188|51.5778121
2106195028,,,,,,-0.2252982|51.5779968
2106195029,,,,,,-0.2258494|51.577003
2106195030,,,,,,-0.2236847|51.5782655
2106195031,,,,,,-0.2231188|51.5775488
2106195032,,,,,,-0.2240575|51.5783239
2106195033,,,,,,-0.2260316|51.5774671
2106195034,,,,,,-0.2259592|51.5771564
2106195035,,,,,,-0.2244244|51.5783147
2106195036,,,,,,-0.224889|51.5781405
2106195037,,,,,,-0.2256138|51.5779368
2106195038,,,,,,-0.2253788|51.5780057
2106195039,,,,,,-0.225581|51.5768053
2106195040,,,,,,-0.2246888|51.5781905
2106195041,,,,,,-0.2251572|51.5780055
2106195042,,,,,,-0.2256682|51.5778798
2106195043,,,,,,-0.2235747|51.5783272
2106195044,,,,,,-0.2252484|51.5768887
2106195045,,,,,,-0.2258439|51.5772404
2106195046,,,,,,-0.2236552|51.5783372
2106195047,,,,,,-0.2252833|51.5769354
2106195048,,,,,,-0.2231375|51.5775654
2106195049,,,,,,-0.2256239|51.5778221
2106195050,,,,,,-0.2232904|51.5775704
2106195051,,,,,,-0.223165|51.578009
2106195052,,,,,,-0.2229578|51.5777071
2106195053,,,,,,-0.2242614|51.5782555
2106195054,,,,,,-0.2254806|51.5768056
2106195055,,,,,,-0.2242238|51.5772771
2106195056,,,,,,-0.2259726|51.5775388
2106195057,,,,,,-0.2243791|51.5771817
2106195058,,,,,,-0.2260102|51.5774938
2106195059,,,,,,-0.2258197|51.5777555
2106195060,,,,,,-0.2252538|51.5779771
2106195061,,,,,,-0.2247844|51.5781255
2106195062,,,,,,-0.2230796|51.5778336
2106195063,,,,,,-0.2246905|51.5781572
2106195064,,,,,,-0.2233575|51.5780255
2106195065,,,,,,-0.2228935|51.5776404
2106195066,,,,,,-0.2248139|51.5781638
2106195067,,,,,,-0.2243039|51.5782973
2106195068,,,,,,-0.2246697|51.5782334
2106195069,,,,,,-0.2251894|51.5780472
2106195070,,,,,,-0.2250741|51.5780338
2106195071,,,,,,-0.225109|51.5780722
2106195072,,,,,,-0.2246287|51.578257
