osm_id,entrance,geometry
28926671,,-0.2655754|51.660372
28926672,,-0.2645829|51.660464
28926674,,-0.2643536|51.6601435
28926675,,-0.2654555|51.659937
356785133,,-0.2556799|51.6048717
356785134,,-0.2551404|51.6053328
356785135,,-0.2548294|51.6050972
356785136,,-0.2555159|51.6047475
621443446,,-0.1352359|51.5836301
621443448,,-0.1354636|51.583548
1473255038,,-0.2646249|51.6605502
1473255039,,-0.2655329|51.6602847
1473255049,,-0.2656171|51.6602689
1473255054,,-0.2645158|51.6604766
2091314819,,-0.2557551|51.6049974
2091314820,,-0.2555008|51.6051492
2091314821,,-0.2558138|51.6049674
2091314822,,-0.2556294|51.6048974
2091314824,,-0.2557596|51.6050829
2091314825,,-0.2557859|51.6050207
2091314830,,-0.2556915|51.6049445
2091314841,,-0.2555526|51.6051884
2091314847,,-0.2557211|51.6050537
2091314851,,-0.2557465|51.6049165
7593491106,,-0.2008144|51.6142895
7593491108,,-0.2010132|51.6140007
7593491109,,-0.2011655|51.6141297
7641231111,,-0.1353857|51.5834637
7641231112,,-0.1351546|51.5835463
7641231113,,-0.134734|51.5827254
7641231114,,-0.1347479|51.5828482
7641231115,,-0.134631|51.582853
7641231116,,-0.1346171|51.5827283
7641231117,,-0.1345267|51.5828155
7641231118,,-0.1344702|51.5827547
7641231119,,-0.1342498|51.5827944
7641231120,,-0.1343171|51.5828734
8443635367,,-0.1343627|51.5827845
8443635368,,-0.1343425|51.5827623
8736179775,,-0.2576817|51.5680974
8736179776,,-0.2575967|51.5681308
8736179777,,-0.2573209|51.5678591
8736179778,,-0.2574245|51.5678184
8736179779,,-0.2575262|51.5679186
8736179780,,-0.257552|51.5679086
8736179781,,-0.2576017|51.5679576
8736179782,,-0.2575575|51.567975
9723808471,main,-0.2652759|51.6599706
10542814523,,-0.2006702|51.6141674
10542814524,,-0.2006842|51.6141505
10542814525,,-0.2006388|51.6141129
10542814526,,-0.2005157|51.6141701
10542814527,,-0.2005691|51.6142144
10542814530,,-0.2006882|51.6141826
