osm_id,amenity,cash_in,check_date,entrance,indoor,operator,geometry
26411689,,,,,,,-0.1760614|51.6312468
26411690,,,,,,,-0.1754705|51.6313076
26411691,,,,,,,-0.1755282|51.6315889
26411692,,,,,,,-0.1761352|51.6315272
378856740,atm,no,2023-07-29,,no,Tesco,-0.1303397|51.6480169
378856744,,,,,,,-0.1301249|51.6481919
378856747,,,,,,,-0.1299813|51.6481188
378856750,,,,,,,-0.1302356|51.6479331
781833456,,,,,,,-0.1757366|51.6312798
884250240,,,,,,,-0.1757579|51.6315655
2440903321,,,,,,,-0.1302952|51.6480718
2440903322,,,,,,,-0.1302478|51.6481094
4582606138,,,,,,,-0.2599448|51.594018
4582606139,,,,,,,-0.2597697|51.5939594
4582606140,,,,,,,-0.2595642|51.5936483
4582606141,,,,,,,-0.2596283|51.5936156
4582606143,,,,,,,-0.2595899|51.5935771
4582606144,,,,,,,-0.2608354|51.5930664
4582606162,,,,,,,-0.2612618|51.5934531
6324958617,,,,yes,,,-0.259598|51.5936306
11226588013,,,,,,,-0.1300698|51.6482229
11226588014,,,,,,,-0.1299933|51.6481786
11226588015,,,,,,,-0.1300332|51.6481511
11226588016,,,,,,,-0.1302507|51.6479695
11226588017,,,,,,,-0.1302721|51.6479513
11226588018,,,,,,,-0.1303357|51.6480437
