osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,amenity,branch,brand,brand:website,brand:wikidata,brand:wikipedia,check_date,check_date:opening_hours,contact:instagram,contact:phone,contact:website,cuisine,diet:kosher,entrance,fhrs:id,fixme,indoor_seating,level,not:brand:wikidata,note,opening_hours,opening_hours:signed,outdoor_seating,payment:cash,payment:credit_cards,payment:debit_cards,phone,shop,source,source:addr,survey:date,takeaway,website,wheelchair,geometry
410949899,Bagel Delight Bakery,London,,155,,Cricklewood Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,-0.214823|51.5561463
815702506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1664309|51.5552671
815702541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1664211|51.5552441
815702578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.166694|51.5551885
815702611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1666358|51.5551665
842611050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1351253|51.5638205
842611328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1350967|51.563869
842611867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1352426|51.5638475
842612140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1352159|51.5638949
1149900604,Wenzel's,,,,,,,,Wenzel's,,Q99357750,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,-0.1342948|51.5657595
1311723358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1778678|51.5561302
1311724232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1779183|51.5563493
1444412372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1664278|51.5552189
1598304259,Bells Hill Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bakery,,,,,,,-0.2150083|51.6469757
1634404179,Greggs,,,134,EN5 5XQ,High Street,fast_food,,Greggs,,Q3403981,en:Greggs,,,,,https://www.greggs.co.uk/shop-finder?shop-code=2271,sandwich;bakery,,,758283,,,,,,Mo-Sa 06:30-20:00; Su 07:30-17:00,,,,,,,bakery,,,,yes,,,-0.2015562|51.6550346
1859052576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1488741|51.5712233
2094002616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1785899|51.5560284
2094002617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1784307|51.5560567
2094002630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.177981|51.5560759
