osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:parentstreet,addr:postcode,addr:street,addr:unit,beauty,brand,brand:website,brand:wikidata,brand:wikipedia,check_date,check_date:opening_hours,contact:email,contact:facebook,contact:instagram,contact:phone,contact:twitter,contact:website,email,fixme,internet_access,level,note,old_name,opening_hours,opening_hours:signed,operator,payment:cash,payment:credit_cards,phone,shop,source,source:addr:postcode,survey:date,url,website,wheelchair,geometry
410952465,Solarium Portofino,,,,,,,,,tanning,,,,,,,,,,,,,,,,,,,,,,,,,beauty,,,,,,,-0.2138466|51.5553197
410955709,Pretty Nails,,,,114,,,,,nails,,,,,,,,,,,,,,,,,,,,,,,,,beauty,,,,,,,-0.2132976|51.5552752
611282346,Classic Beauty London,,,,,,,,,,,,,,,,,,,,,,,,,,,Kem's Hair & Beauty,,,,,,+44 20 8617 4330,beauty,,,,,https://classicbeautylondon.co.uk/,,-0.1326601|51.5702932
842611174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1350285|51.5639864
842611237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1351771|51.5639638
842611792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1350579|51.5639378
842611974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1351507|51.5640133
901823535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1356111|51.5637973
901823554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1358022|51.56389
901823563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1355822|51.5638474
901823573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1358275|51.563839
970356688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1484627|51.5709649
1150114233,Skye Nails & Beauty,,,,742,,,Holloway Road,,,,,,,,,,,,,,,,,,,,,,,,,,,beauty,,,,,,,-0.1304063|51.5643187
1737084386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1787275|51.6302109
1737084429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1787132|51.6303235
1737097588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1783148|51.6301907
1737097594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1784531|51.6301975
1737097598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1786622|51.6302077
1737097679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1782916|51.6303722
1737097695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1784298|51.630379
1737097701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1786479|51.6303203
1911584546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483242|51.6483844
1911584548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1479435|51.6484598
1911584549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1479584|51.6484393
2328776461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1432271|51.5918836
2328776465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1431161|51.5919042
2328776467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1432502|51.5919332
2328776468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1431382|51.591952
2328776494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1430338|51.5923014
2328776500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1430576|51.5923556
2328776502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1428215|51.592387
2328776506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1426814|51.592442
2328776508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1426143|51.5924735
2328776510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1426623|51.5925194
2328776535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1434191|51.5929825
2328776536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1432689|51.5929981
2328776537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1432686|51.5930085
