osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,contact:website,entrance,internet_access,internet_access:fee,opening_hours,phone,second_hand,shop,source,website,geometry
815702422,,,,,,,,,,,,,,,,,,,-0.1665858|51.5554598
815702446,,,,,,,,,,,,,,,,,,,-0.1665361|51.5553989
815702498,,,,,,,,,,,,,,,,,,,-0.1668445|51.555395
815702523,,,,,,,,,,,,,,,,,,,-0.1667822|51.5553299
1687075788,,,,,,,,,,,,,,,,,,,-0.1774677|51.5559444
2094002547,,,,,,,,,,,,,,,,,,,-0.1777999|51.5557175
2094002550,,,,,,,,,,,,,,,,,,,-0.1778583|51.5557285
2094002552,,,,,,,,,,,,,,,,,,,-0.1777624|51.5557342
2094002553,,,,,,,,,,,,,,,,,,,-0.1778996|51.5557346
2094002554,,,,,,,,,,,,,,,,,,,-0.17783|51.5557415
2094002556,,,,,,,,,,,,,,,,,,,-0.1778793|51.5557436
2094002562,,,,,,,,,,,,,,,,,,,-0.177809|51.5557758
2094002573,,,,,,,,,,,,,,,,,,,-0.1779442|51.5558289
2094002584,,,,,,,,,,,,,,,,,,,-0.1775872|51.5558854
2094002592,,,,,,,,,,,,,,,,,,,-0.177706|51.555948
2094002607,,,,,,,,,,,,,,,,,,,-0.1775879|51.5560137
2094002761,,,,,,,,,,,,,,,,,,,-0.178709|51.5566001
2094002763,,,,,,,,,,,,,,,,,,,-0.1788479|51.5566109
2094002764,,,,,,,,,,,,,,,,,,,-0.1786968|51.5566522
2094002765,,,,,,,,,,,,,,,,,,,-0.1788366|51.5566591
2096222278,,,,,,,,,,main,,,,,,,photograph,,-0.1775317|51.5559813
2096222316,,,,,,,,,,main,,,,,,,photograph,,-0.1787059|51.5566132
2328776419,,,,,,,,,,,,,,,,,,,-0.1425239|51.5915078
2328776429,,,,,,,,,,,,,,,,,,,-0.1425667|51.591561
2328776440,,,,,,,,,,,,,,,,,,,-0.142383|51.5916409
4058930618,,,,,,,,,,,,,,,,,,,-0.2767252|51.6561659
4058943079,,,,,,,,,,,,,,,,,,,-0.2762315|51.6563735
4058943081,,,,,,,,,,,,,,,,,,,-0.2762997|51.656157
4058943085,,,,,,,,,,,,,,,,,,,-0.2761749|51.6563217
4058943495,,,,,,,,,,,,,,,,,,,-0.2767388|51.6559725
4058943497,,,,,,,,,,,,,,,,,,,-0.2767651|51.6561491
4058943517,,,,,,,,,,,,,,,,,,,-0.2763837|51.6562339
4565979095,,,,,,,,,,,,,,,,,,,-0.1463002|51.5702222
4565979096,,,,,,,,,,,,,,,,,,,-0.1462498|51.5703006
4565979097,,,,,,,,,,,,,,,,,,,-0.1462931|51.570311
4565979098,,,,,,,,,,,,,,,,,,,-0.1464473|51.5702543
4947820436,,,,,,,,,,,,,,,,,,,-0.143547|51.5904841
4947820437,,,,,,,,,,,,,,,,,,,-0.1436268|51.5906121
4947820438,,,,,,,,,,,,,,,,,,,-0.1434849|51.5905219
4947820447,,,,,,,,,,,,,,,,,,,-0.1436889|51.5905744
5659477791,,,,,,,,,,,,,,,,,,,-0.1485447|51.5707397
5659477792,,,,,,,,,,,,,,,,,,,-0.1485828|51.5708402
5659477795,,,,,,,,,,,,,,,,,,,-0.1486279|51.5707541
5659477798,,,,,,,,,,,,,,,,,,,-0.1485086|51.5708266
6598898490,The Book Warehouse,London,38,NW11 8LL,Golders Green Road,,,,,,,,Mo-Su 09:30-21:00,+44 20 8458 0032,,books,,,-0.1976442|51.5724096
6947966048,Waterstones,,,,,Waterstones,Q151779,,https://www.waterstones.com/bookshops/finchley,,wlan,no,Mo-Sa 09:30-18:00; Su 11:00-17:00,,,books,,,-0.1765028|51.6159181
7942929024,St James Bookshop,,,,,,,,,,,,,,,books,,,-0.145158|51.5890261
9537627923,,,,,,,,,,,,,,,,,,,-0.1423413|51.5915994
9573592795,,,,,,,,,,,,,,,,,,,-0.1465153|51.5899472
9573592797,,,,,,,,,,,,,,,,,,,-0.1464398|51.5900122
9573592803,,,,,,,,,,,,,,,,,,,-0.1465821|51.5899772
9573592807,,,,,,,,,,,,,,,,,,,-0.1465066|51.5900422
9733723249,,,,,,,,,,,,,,,,,,,-0.2763362|51.6561917
10172071555,Waterstones,,,EN5 5XY,,Waterstones,Q151779,Waterstones,,,wlan,no,Mo-Sa 09:00-17:30; Su 10:00-16:30,,no,books,,https://www.waterstones.com/bookshops/barnet,-0.2024196|51.6552344
10172071561,The Works,,,EN5 5XY,,The Works,Q7775853,en:The Works (retailer),,,,,,,,books,,https://www.theworks.co.uk/Store?storeId=0653,-0.2031757|51.6554493
