osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,check_date,door,entrance,level,name:en,operator,phone,repair,second_hand,shop,website,geometry
210381234,,,,,,,,,,,,,,,,,,,,-0.2613504|51.6590047
389899587,Continental Cars,London,,N7 0ED,Campdale Road,,,,,,,,,fiat,,yes,,car,www.continentalcars.net,-0.132424|51.5578446
583974059,,,,,,,,,,,,,,,,,,,,-0.2574037|51.5896961
583974075,,,,,,,,,,,,,,,,,,,,-0.2567905|51.589093
583974091,,,,,,,,,,,,,,,,,,,,-0.2556532|51.5893596
583974103,,,,,,,,,,,,,,,,,,,,-0.2549773|51.5896862
583974119,,,,,,,,,,,,,,,,,,,,-0.254752|51.5899329
583974127,,,,,,,,,,,,,,,,,,,,-0.255546|51.5904328
585252089,,,,,,,,,,,,,,,,,,,,-0.249783|51.5851354
585252090,,,,,,,,,,,,,,,,,,,,-0.2493956|51.5852804
622031920,,,,,,,,,,,,,,,,,,,,-0.1616229|51.5852046
622031921,,,,,,,,,,,,,,,,,,,,-0.1620051|51.5849176
622031922,,,,,,,,,,,,,,,,,,,,-0.1622653|51.5850893
622031924,,,,,,,,,,,,,,,,,,,,-0.1621848|51.5851424
622031932,,,,,,,,,,,,,,,,,,,,-0.1625402|51.5853763
622031933,,,,,,,,,,,,,,,,,,,,-0.1623517|51.5854864
1303464296,,,,,,,,,,,,,,,,,,,,-0.2112239|51.5564135
1303464314,,,,,,,,,,,,,,,,,,,,-0.2115247|51.556313
1470012895,,,,,,,,,,,,,,,,,,,,-0.2573888|51.5895992
1470012917,,,,,,,,,,,,,,,,,,,,-0.2561536|51.5902266
1470012977,,,,,,,,,,,,,,,,,,,,-0.2556736|51.5904015
1470013000,,,,,,,,,,,,,,,,,,,,-0.2565425|51.5899957
1567062389,,,,,,,,,,,,,,,,,,,,-0.199724|51.5809161
1567062390,,,,,,,,,,,,,,,,,,,,-0.1992988|51.5809822
1567062391,,,,,,,,,,,,,,,,,,,,-0.1993037|51.5809945
1567062392,,,,,,,,,,,,,,,,,,,,-0.1989078|51.5810561
1567062393,,,,,,,,,,,,,,,,,,,,-0.1998153|51.5811431
1567062394,,,,,,,,,,,,,,,,,,,,-0.1993776|51.5811976
1567062395,,,,,,,,,,,,,,,,,,,,-0.1993828|51.5812103
1567062396,,,,,,,,,,,,,,,,,,,,-0.1989891|51.581258
1629120634,,,,,,,,,,,,,,,,,,,,-0.1977201|51.6535772
1629120636,,,,,,,,,,,,,,,,,,,,-0.1979068|51.6538667
1629120638,,,,,,,,,,,,,,,,,,,,-0.1981636|51.6538022
1629120642,,,,,,,,,,,,,,,,,,,,-0.1979751|51.6535132
1830045978,,,,,,,,,,,,,,,,,,,,-0.2283447|51.5673088
1830045979,,,,,,,,,,,,,,,,,,,,-0.22866|51.5674082
1830045980,,,,,,,,,,,,,,,,,,,,-0.2281738|51.5674133
1830045983,,,,,,,,,,,,,,,,,,,,-0.2285797|51.5674573
1830045984,,,,,,,,,,,,,,,,,,,,-0.228778|51.5674828
1830045987,,,,,,,,,,,,,,,,,,,,-0.2286592|51.56751
1830045989,,,,,,,,,,,,,,,,,,,,-0.2286957|51.5675331
1830045993,,,,,,,,,,,,,,,,,,,,-0.2284903|51.5676133
1965917145,,,,,,,,,,,,,,,,,,,,-0.1547256|51.6080503
1965956539,,,,,,,,,,,,,,,,,,,,-0.1541482|51.6076198
1965956543,,,,,,,,,,,,,,,,,,,,-0.1533847|51.6078797
1965956552,,,,,,,,,,,,,,,,,,,,-0.1545218|51.608043
1965956555,,,,,,,,,,overhead,yes,,,,,,,,,-0.1537148|51.6082537
1965956560,,,,,,,,,,,,,,,,,,,,-0.1538091|51.6083606
1983317542,,,,,,,,,,,,,,,,,,,,-0.1515113|51.605657
1983317608,,,,,,,,,,,,,,,,,,,,-0.1514417|51.6056672
1983317731,,,,,,,,,,,,,,,,,,,,-0.15143|51.6056367
1983317811,,,,,,,,,,,,,,,,,,,,-0.1514997|51.6056265
2091495066,,,,,,,,,,,,,,,,,,,,-0.2457137|51.5834262
2091495070,,,,,,,,,,,,,,,,,,,,-0.2452604|51.583192
2091495084,,,,,,,,,,,,,,,,,,,,-0.2455131|51.5834015
2091495085,,,,,,,,,,,,,,,,,,,,-0.2461996|51.5831999
2091495086,,,,,,,,,,,,,,,,,,,,-0.2460039|51.5830377
2091495094,,,,,,,,,,,,,,,,,,,,-0.2460392|51.5830212
2091495097,,,,,,,,,,,,,,,,,,,,-0.2456225|51.5833506
2091495099,,,,,,,,,,,,,,,,,,,,-0.2458909|51.5828983
2091670558,,,,,,,,,,,,,,,,,,,,-0.2317561|51.5716933
2091670562,,,,,,,,,,,,,,,,,,,,-0.2314686|51.5718428
2091670573,,,,,,,,,,,,,,,,,,,,-0.2321725|51.5723657
2091670576,,,,,,,,,,,,,,,,,,,,-0.2324746|51.5722087
2091670577,,,,,,,,,,,,,,,,,,,,-0.2322626|51.5719272
2091670581,,,,,,,,,,,,,,,,,,,,-0.2323543|51.571882
