osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,email,entrance,phone,service,shop,short_name,website,geometry
144128316,The Village Garage,,,,,,,,,,,,car_repair,,,-0.132453|51.5701349
267022996,,,,,,,,,,,,,,,,-0.1568607|51.6062423
267022997,,,,,,,,,,,,,,,,-0.157067|51.606074
267022998,,,,,,,,,,,,,,,,-0.1573988|51.6062309
267022999,,,,,,,,,,,,,,,,-0.1563703|51.607073
697025210,Chaseville Motor Company,,89,,Bramley Road,,,,,,,,car_repair,,,-0.1342657|51.6470261
1303464296,,,,,,,,,,,,,,,,-0.2112239|51.5564135
1303464298,,,,,,,,,,,,,,,,-0.2112831|51.5564825
1303464307,,,,,,,,,,,,,,,,-0.2114041|51.5566303
1303464310,,,,,,,,,,,,,,,,-0.211486|51.556551
1303464312,,,,,,,,,,,,,,,,-0.2116731|51.5564855
1303464314,,,,,,,,,,,,,,,,-0.2115247|51.556313
1379793013,Continental Cars,London,,N7 0ED,Campdale Road,,,,,,,,car_repair,,www.continentalcars.net,-0.1325796|51.5577346
1435912449,,,,,,,,,,,,,car_repair,,,-0.1703514|51.6486499
1567062449,,,,,,,,,,,,,,,,-0.2001593|51.5872565
1567062450,,,,,,,,,,,,,,,,-0.200448|51.5872576
1567062451,,,,,,,,,,,,,,,,-0.2001373|51.5872758
1567062452,,,,,,,,,,,,,,,,-0.2000314|51.5873348
1567062453,,,,,,,,,,,,,,,,-0.2001364|51.5873359
1567062454,,,,,,,,,,,,,,,,-0.200416|51.5874784
1567062455,,,,,,,,,,,,,,,,-0.2000186|51.5875097
1567062456,,,,,,,,,,,,,,,,-0.2000606|51.5875307
1598072511,,,,,,,,,,,,,car_repair,,,-0.2092377|51.6526275
1601266428,,,,,,,,,,,,,,,,-0.2007056|51.6581864
1601266464,,,,,,,,,,,,,,,,-0.2007285|51.6581512
1601266483,,,,,,,,,,,,,,,,-0.2005903|51.6581517
1601266484,,,,,,,,,,,,,,,,-0.2008389|51.6581235
1634346933,Barnet Motor Factors,,,,,,,,,,,,car_repair,,,-0.1984993|51.6525869
1701653583,,,,,,,,,,,,,,,,-0.1750998|51.6315039
1701653606,,,,,,,,,,,,,,,,-0.1749039|51.6314267
1701653640,,,,,,,,,,,,,,,,-0.1750663|51.6314055
1701653656,,,,,,,,,,,,,,,,-0.1749374|51.6315252
1965917052,,,,,,,,,,,,,,,,-0.1564844|51.6068032
1965917068,,,,,,,,,,,,,,,,-0.1562344|51.6070094
1983536742,,,,,,,,,,,,,,,,-0.1470522|51.5987327
1983536750,,,,,,,,,,,,,,,,-0.1471505|51.598695
1983536754,,,,,,,,,,,,,,,,-0.1472072|51.598752
1983536771,,,,,,,,,,,,,,,,-0.1471089|51.5987897
1983607393,,,,,,,,,,,,,,,,-0.1466387|51.6069084
1983607454,,,,,,,,,,,,,,,,-0.1464727|51.6067237
1983607498,,,,,,,,,,,,,,,,-0.1469152|51.6067301
1983607628,,,,,,,,,,,,,,,,-0.1467621|51.6065964
1984449990,,,,,,,,,,,,,,,,-0.1485019|51.604853
1984564904,,,,,,,,,,,,,,,,-0.1544141|51.6087639
1984564939,,,,,,,,,,,,,,,,-0.1538962|51.6091778
1984564957,,,,,,,,,,,,,,,,-0.1545366|51.6092082
1984565009,,,,,,,,,,,,,,,,-0.1538518|51.6091826
1984565011,,,,,,,,,,,,,,,,-0.1537556|51.6088339
1984565020,,,,,,,,,,,,,,,,-0.1539226|51.6092735
1987013830,,,,,,,,,,,,,,,,-0.1768977|51.6224937
1987013840,,,,,,,,,,,,,,,,-0.1768047|51.6224838
1987013845,,,,,,,,,,,,,,,,-0.1772518|51.6226335
1987013867,,,,,,,,,,,,,,,,-0.1767931|51.6225886
1987013874,,,,,,,,,,,,,,,,-0.1772652|51.622527
2097192589,,,,,,,,,,,,,,,,-0.2375339|51.5749015
2097192800,,,,,,,,,,,,,,,,-0.2370012|51.5746582
2097192958,,,,,,,,,,,,,,,,-0.2371802|51.5745818
2097192971,,,,,,,,,,,,,,,,-0.2373549|51.574978
2097413932,,,,,,,,,,,,,,,,-0.2391832|51.584057
2097413991,,,,,,,,,,,,,,,,-0.2389269|51.5840448
2097414003,,,,,,,,,,,,,,,,-0.2387976|51.5850963
2097414008,,,,,,,,,,,,,,,,-0.2390539|51.5851085
2105809846,,,,,,,,,,,,,,,,-0.2647815|51.6592078
2105809848,,,,,,,,,,,,,,,,-0.2642344|51.6592532
2105809850,,,,,,,,,,,,,,,,-0.264806|51.6593211
2105809851,,,,,,,,,,,,,,,,-0.2642588|51.6593666
3054722764,Auto Services (West Hendon),,,,,,,,,,,,car_repair,,,-0.2398188|51.5775012
3077931664,National Tyres and Autocare,,,,,National Tyres and Autocare,Q6979055,en:National Tyres and Autocare,,,,,car_repair,National Tyres,,-0.2542603|51.6583908
3077931668,Halfords Autocentre,,,,,Halfords Autocentre,Q5641894,en:Halfords Autocentre,,,,,car_repair,,https://www.halfords.com/locations/borehamwood-autocentre/,-0.2541479|51.658497
4511925629,,,,,,,,,,,,,,,,-0.1428988|51.5963436
4511925630,,,,,,,,,,,,,,,,-0.14268|51.5963889
5296044631,,,,,,,,,,,,,,,,-0.2700772|51.602061
5296044632,,,,,,,,,,,,,,,,-0.2699484|51.602126
5296044633,,,,,,,,,,,,,,,,-0.2699026|51.602091
5296044634,,,,,,,,,,,,,,,,-0.2700314|51.602026
5577985239,Valentinos Motors,,,,,,,,,,,,car_repair,,,-0.2774013|51.6088174
6238247502,M & A Coachworks,,,,,,,,,,,,car_repair,,,-0.1459715|51.5558991
6238247772,Kwik Fit,,,,,Kwik Fit,Q958053,en:Kwik Fit,,,,,car_repair,,,-0.1488181|51.5558239
6939098923,Charmrace,,,,,,,,,,,repair,car_repair,,,-0.1789114|51.6152902
7787114533,,,,,,,,,,,,,,,,-0.1562698|51.5909587
7787114534,,,,,,,,,,,,,,,,-0.1567876|51.5909555
7787114535,,,,,,,,,,,,,,,,-0.1567925|51.5912575
7787114536,,,,,,,,,,,,,,,,-0.1566639|51.5912583
7787114537,,,,,,,,,,,,,,,,-0.1566628|51.5911914
7787114538,,,,,,,,,,,,,,,,-0.1565985|51.5911918
7787114539,,,,,,,,,,,,,,,,-0.1565992|51.5912342
7787114540,,,,,,,,,,,,,,,,-0.1564971|51.5912349
7787114541,,,,,,,,,,,,,,,,-0.1564984|51.5913176
7787114542,,,,,,,,,,,,,,,,-0.1562756|51.5913189
7942672279,,,,,,,,,,,,,,,,-0.1858509|51.569758
7942672280,,,,,,,,,,,,,,,,-0.1859436|51.5698067
7942672283,,,,,,,,,,,,,,,,-0.1860325|51.5698492
7942672284,,,,,,,,,,,,,,,,-0.1859707|51.5698188
7942674185,,,,,,,,,,,,,,,,-0.1854664|51.5700413
7942674186,,,,,,,,,,,,,,,,-0.1858234|51.5702104
7942674187,,,,,,,,,,,,,,,,-0.186034|51.5700595
7942674188,,,,,,,,,,,,,,,,-0.185917|51.569988
7942674189,,,,,,,,,,,,,,,,-0.1860545|51.56986
8088615450,,,,,,,,,,,,,,,,-0.1567475|51.5913971
8088615451,,,,,,,,,,,,,,,,-0.1567825|51.591357
8088615452,,,,,,,,,,,,,,,,-0.1565988|51.5912936
8088615453,,,,,,,,,,,,,,,,-0.1565608|51.5913374
8088615454,,,,,,,,,,,,,,,,-0.1567841|51.5909325
8088615455,,,,,,,,,,,,,,,,-0.1567855|51.5908367
8088615456,,,,,,,,,,,,,,,,-0.1567358|51.5908383
8088615457,,,,,,,,,,,,,,,,-0.1567385|51.5909008
8088615458,,,,,,,,,,,,,,,,-0.1565923|51.5909017
8088615459,,,,,,,,,,,,,,,,-0.1565937|51.5909342
8870727517,C B Motors,London,9,NW11 8JR,Hoop Lane,,,,,,+44 20 8455 3373,,car_repair,,,-0.1991903|51.5736755
9395562279,,,,,,,,,,,,,,,,-0.142905|51.5963552
9395562280,,,,,,,,,,,,,,,,-0.1429863|51.5963384
9395562281,,,,,,,,,,,,,,,,-0.1430069|51.5963767
9395562282,,,,,,,,,,,,,,,,-0.1427068|51.5964389
9409999632,,,,,,,,,,,,,,,,-0.2115204|51.5565909
9409999633,,,,,,,,,,main,,,,,,-0.2115945|51.5563942
9437531847,,,,,,,,,,,,,,,,-0.2087672|51.5729845
9437531848,,,,,,,,,,,,,,,,-0.2088745|51.5730921
9437531849,,,,,,,,,,,,,,,,-0.208849|51.5731037
9437531850,,,,,,,,,,,,,,,,-0.2090314|51.5732804
9437531851,,,,,,,,,,,,,,,,-0.20901|51.5732904
9437531852,,,,,,,,,,,,,,,,-0.2089496|51.5732571
9437531853,,,,,,,,,,,,,,,,-0.2088718|51.5732263
9437531854,,,,,,,,,,,,,,,,-0.2088571|51.5732279
9437531855,,,,,,,,,,,,,,,,-0.208727|51.5731488
9502728235,,,,,,,,,,,,,,,,-0.1571925|51.6063992
9505986004,,,,,,,,,,,,,,,,-0.1486048|51.6048842
9505986005,,,,,,,,,,,,,,,,-0.1485834|51.6048383
9505986006,,,,,,,,,,,,,,,,-0.1485233|51.6048988
9522788420,,,,,,,,,,,,,,,,-0.1562686|51.6065285
9522788421,,,,,,,,,,,,,,,,-0.1564437|51.6066104
9522788422,,,,,,,,,,,,,,,,-0.1567548|51.606756
9522788425,,,,,,,,,,,,,,,,-0.1561341|51.6066393
9522788426,,,,,,,,,,,,,,,,-0.1563093|51.6067213
9522788427,,,,,,,,,,,,,,,,-0.1566203|51.6068668
