osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,addr:unit,alt_name,amenity,atm,automatic_door,branch,brand,brand:wikidata,brand:wikipedia,butcher,cash_in,charge,check_date,contact:facebook,contact:website,covered,cuisine,description,diet:halal,door,drive_through,entrance,fee,fhrs:id,fhrs:local_authority_id,fixme,former_name,indoor,level,name:ar,name:en,name:ta,note,note:name:ta,old_name,opening_hours,operator,operator:wikidata,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,phone,post_office:type,ref,shop,source,source:addr,source:addr:postcode,source:name,survey:date,toilets:wheelchair,website,wheelchair,geometry
25744394,Tesco Express,London,,,23-25,,N6 6QX,Swain's Lane,,,,,,,,Tesco Express,Q98456772,en:Tesco,,,,,,https://www.tesco.com/store-locator/london/23-25-swains-ln,,,,,,,,,424394,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,limited,-0.1493587|51.5620778
75167303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1498276|51.6522586
75167304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1497533|51.6521593
75167306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1500709|51.6520678
75167307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1501452|51.6521671
144122753,Becky's Convenience Store,,,,91,,,Dresden Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.1333668|51.5707414
245435426,North Hill Food & Wine,,,,19,,,North Hill,,,,,,,,,,,,,,,,,,,,,,,,,423360,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.1511189|51.5758549
305442496,Tesco Express,Wembley,,,86,,HA0 3NJ,East Lane,,,,,,,,Tesco Express,Q98456772,,,,,,,,,,,,,,,,533622,,,,,,,,,,,,Mo-Sa 00:06-00:00; Su 06:00-23:00,,,,,,,,,,convenience,,FHRS Open Data,,,,,https://www.tesco.com/store-locator/wembley/east-ln,,-0.305306|51.5629
305527929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.3008473|51.5626203
309557513,Corner Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.1961148|51.6000742
369880565,Oakwood Food Centre,,,,67-69,,,Bramley Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.1351116|51.6467161
378856740,,,,,,,,,,,,atm,,,,,,,,no,,2023-07-29,,,,,,,,,,,,,,,no,,,,,,,,,Tesco,,,,,,,,,,,,,,,,,,-0.1303397|51.6480169
378856744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1301249|51.6481919
378856747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1299813|51.6481188
378856750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1302356|51.6479331
410216401,Euro Food & Wine,,,,219,,,Cricklewood Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,,,,,-0.2168964|51.5577757
410216403,Martin News,London,,,217,,NW2 3HS,Cricklewood Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is not a ""Martin's"" owned by McColls but a separate company called Martin News.
https://opengovuk.com/company/12773842",,,,,,,,,,,,,convenience,,,,,,,,,-0.2167325|51.5576281
