osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:unit,brand,brand:website,brand:wikidata,brand:wikipedia,contact:phone,contact:website,door,electronics,entrance,level,note,opening_hours,phone,repair,service,shop,source:addr:postcode,survey:date,website,wheelchair,geometry
305084452,Currys,,,,,,,currys,,Q3246464,en:Currys,,https://www.currys.co.uk/store-finder/currys-wembley--2335.html,,,,,,,,,,electronics,,,,,-0.2801614|51.5611738
410952470,TV4U,,,,,,,,,,,,,,,,,,,,yes,,electronics,,,,,-0.2137264|51.555213
842610991,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1369516|51.5604676
842611044,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1371038|51.5604977
842611861,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.136929|51.5605115
842612050,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1370813|51.5605416
901823519,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1356495|51.56413
901823540,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1354556|51.5640924
901823550,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1356705|51.5640881
901823566,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1354768|51.5640504
935567267,S.M. Sewing Machnes,,,,,,,,,,,,,,,,,Sewing machines shop,,,,,electronics,,,,,-0.2526734|51.5607296
1055546393,Holloway Hoovers,,,750,,Holloway Road,,,,,,,,,,,,,,+44 20 7281 6911,,repair,electronics,,,,,-0.1307168|51.5643993
1427170820,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1740076|51.5552132
1427170867,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1739794|51.5552607
1427171007,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1740585|51.5552789
1427171046,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1740867|51.5552313
1842096061,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1370862|51.5604795
1965956683,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1420149|51.6106548
1965956714,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1423468|51.6109139
1965956716,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1422324|51.6109704
1965956717,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1412864|51.6110145
1965956737,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1416186|51.6112738
2631295949,Sony,London,London Designer Outlet,,HA9 0FD,Wembley Park Boulevard,55,Sony,,Q41187,en:Sony,,,,,,1,,Mo-Sa 9:00-20:00; Su 11:00-17:00,+44 20 8795 2129,,,electronics,,,http://www.london-designer-outlet.com/brand-directory/viners,,-0.2833864|51.5565993
4037357413,Apple Store,,,,,,,Apple Store,,Q421253,en:Apple Store,,,,,,1,,,+44 20 3126 9200,,,electronics,,,https://www.apple.com/uk/retail/brentcross/,yes,-0.2248594|51.5761643
4345562600,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2380088|51.5761278
4345562601,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2380534|51.576171
4345562602,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2378968|51.5761724
4345562603,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2379116|51.5761867
4345562605,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2379414|51.5762156
4691563251,sxpro,,,234,,Archway Road,,,,,,,,,audio,,,,,,,,electronics,,,https://sxpro.co.uk/,,-0.1417689|51.5744289
4691593758,Aerial Communications,,,182,,Archway Road,,,,,,,,,tv,,,,,,,,electronics,,,,,-0.1401833|51.5727803
5221350292,Currys,,,,,,,currys,,Q3246464,en:Currys,,https://www.currys.co.uk/store-finder/staples-corner--2432.html,,,,,,,,,,electronics,,,,,-0.2288931|51.5697174
5283782510,AV Lounge,,,,,,,,,,,,,,,,0,,,,,,electronics,,,,,-0.2956639|51.5958983
9451088251,,,,,,,,,,,,,,sliding,,main,,,,,,,,,,,yes,-0.1421808|51.6107844
9502274700,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1415925|51.6112534
9506349960,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1420836|51.6107085
9506349976,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1420325|51.6106686
10172071568,Pocket Geek Tech Repair,,,,EN5 5XY,,,Pocket Geek Tech Repair,https://www.pocketgeektechrepair.co.uk,,,+44 20 8616 7667,,,,,,,,,,,electronics,,,,,-0.2034495|51.655637
10612075761,CeX,London,,,N12 9QG,High Road,,CeX,,Q5055676,,,,,,,,,,,,,electronics,,,,,-0.1763947|51.6151198
10678662620,Fone Club,,,,,,,,,,,,,,,,,,,,,,electronics,,,,,-0.1762075|51.613393
10678662629,Fast Tech,London,,,,High Road,,,,,,,,,,,,,,,,,electronics,,,,,-0.1763608|51.6138159
10678662638,Gadgetry,London,,,,High Road,,,,,,,,,,,,,,,,,electronics,,,,,-0.1759995|51.6140683
11737267846,CeX,Borehamwood,,,WD6 1AG,Shenley Road,,CeX,,Q5055676,,,,,,,,,,,,,electronics,code-point_open,2024-03-16,https://uk.webuy.com/site/storeDetail/?branchId=3079,,-0.2761388|51.6558625
