osm_id,name,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,contact:website,fhrs:id,opening_hours,shop,survey:date,website,geometry
410949883,Iceland,,,,,Iceland,Q721810,en:Iceland (supermarket),https://www.iceland.co.uk/store-finder/store?StoreID=348&StoreName=CRICKLEWOOD,,,frozen_food,,,-0.2148296|51.556598
469357217,,,,,,,,,,,,,,,-0.1451236|51.5896718
618860802,,,,,,,,,,,,,,,-0.1357412|51.5640596
901823516,,,,,,,,,,,,,,,-0.1355179|51.5639737
901823543,,,,,,,,,,,,,,,-0.1356895|51.5640497
901823554,,,,,,,,,,,,,,,-0.1358022|51.56389
901823559,,,,,,,,,,,,,,,-0.135709|51.5640114
901823561,,,,,,,,,,,,,,,-0.1357971|51.5640703
901823563,,,,,,,,,,,,,,,-0.1355822|51.5638474
901823573,,,,,,,,,,,,,,,-0.1358275|51.563839
1634404187,Iceland,,126,EN5 5XQ,High Street,Iceland,Q721810,en:Iceland (supermarket),https://www.iceland.co.uk/store-finder/store?StoreID=332&StoreName=BARNET,756933,Mo-Sa 08:00-20:00; Su 11:00-17:00,frozen_food,,,-0.2015|51.6547637
1977316035,,,,,,,,,,,,,,,-0.2773297|51.6119828
1977413769,,,,,,,,,,,,,,,-0.2770212|51.6117398
1977413770,,,,,,,,,,,,,,,-0.2773141|51.612001
1977413771,,,,,,,,,,,,,,,-0.2774705|51.6118891
1977413772,,,,,,,,,,,,,,,-0.2769394|51.6118532
1977413773,,,,,,,,,,,,,,,-0.2773608|51.6120165
1977413775,,,,,,,,,,,,,,,-0.2769082|51.6117419
1977413776,,,,,,,,,,,,,,,-0.2769348|51.6117111
1977413777,,,,,,,,,,,,,,,-0.277007|51.6117747
2376012559,,,,,,,,,,,,,,,-0.2826037|51.585448
2376012560,,,,,,,,,,,,,,,-0.2829093|51.5854781
2376012561,,,,,,,,,,,,,,,-0.2826356|51.5856737
2376012562,,,,,,,,,,,,,,,-0.2826601|51.5855383
2376012563,,,,,,,,,,,,,,,-0.2825088|51.5854709
2376012567,,,,,,,,,,,,,,,-0.2829797|51.5855907
5230067130,,,,,,,,,,,,,,,-0.1358802|51.5640864
5230067131,,,,,,,,,,,,,,,-0.1359887|51.5638699
5230067132,,,,,,,,,,,,,,,-0.1359365|51.5639741
9537810590,,,,,,,,,,,,,,,-0.1450807|51.5897886
9537810591,,,,,,,,,,,,,,,-0.1450143|51.5897865
9537810592,,,,,,,,,,,,,,,-0.1450009|51.5896682
11120023514,Iceland,Borehamwood,137-141,WD6 1AH,Shenley Road,Iceland,Q721810,,,,,frozen_food,2024-03-15,https://www.iceland.co.uk/store-finder/store?StoreID=1209&StoreName=BOREHAMWOOD%202,-0.2743525|51.6567785
