osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:parentstreet,addr:postcode,addr:street,addr:unit,amenity,brand,brand:wikidata,brand:wikipedia,check_date,contact:email,contact:facebook,contact:instagram,contact:phone,contact:pinterest,contact:twitter,contact:website,disused,entrance,female,fixme,level,male,note,old_name,opening_hours,opening_hours:signed,phone,reservation,sex,shop,short_name,source,source:addr:postcode,speciality,style,survey:date,toilets:wheelchair,unisex,website,wheelchair,geometry
410216405,High Cut Barbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,hairdresser,,,,,,,,,,,-0.2166482|51.5575767
410936550,New Inspiration Salon,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hairdresser,,,,afro carribean,,,,,,,-0.2157257|51.557241
581427092,Vanity Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hairdresser,,,,,,,,,,,-0.1295669|51.5718494
818912146,L'Amel Hairdressing,London,,,4,,NW3 2SB,South Hill Park,,,,,,,,,,,,,,,,,,,,,,,,,,,hairdresser,,,,,,,,,,,-0.1655454|51.5556234
842436024,Kayjay Hair & Beauty Salon,,,,,,,,,,,,,,,,,+44 20 8616 9502,,,,,,,,,,,,,,,,,hairdresser,,,,,,,,,,,-0.1352568|51.5651753
842610978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1359662|51.5625822
842610985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1360518|51.5621328
842611010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1365734|51.5614598
842611062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1354051|51.5635562
842611156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1357614|51.5625898
842611173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1362195|51.5621191
842611192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1364225|51.5614277
842611213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1355857|51.5632409
842611235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1360773|51.5620882
842611242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1351333|51.5635001
842611357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1359988|51.5625241
842611442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1358149|51.562486
842611526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1359148|51.5626809
