osm_id,name,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,entrance,level,note,opening_hours,phone,shop,source,website,geometry
1261475924,,,,,,,,,,,,,,,,,,-0.1784211|51.5575176
1261475925,,,,,,,,,,,,,,,,,,-0.1785003|51.5575095
1687236389,,,,,,,,,,,,,,,,,,-0.1738273|51.6302355
1687236391,,,,,,,,,,,,,,,,,,-0.1737915|51.6301296
1687236400,,,,,,,,,,,,,,,,,,-0.1737763|51.6302475
1687236407,,,,,,,,,,,,,,,,,,-0.173715|51.6301478
1687453606,,,,,,,,,,,,,,,,,,-0.1747718|51.630449
1687453632,,,,,,,,,,,,,,,,,,-0.1747499|51.6304151
1687453650,,,,,,,,,,,,,,,,,,-0.1745977|51.6304841
1687453658,,,,,,,,,,,,,,,,,,-0.1745701|51.6304322
1687453661,,,,,,,,,,,,,,,,,,-0.1746496|51.6304114
1687453684,,,,,,,,,,,,,,,,,,-0.1746663|51.6304365
1911500197,,,,,,,,,,,,,,,,,,-0.1475027|51.6467524
1911500206,,,,,,,,,,,,,,,,,,-0.1474063|51.6467663
1911500219,,,,,,,,,,,,,,,,,,-0.1474893|51.6467175
2094002540,,,,,,,,,,,,,,,,,,-0.1759908|51.5556707
2094002557,,,,,,,,,,,,,,,,,,-0.1759413|51.5557469
2094047938,,,,,,,,,,,,,,,,,,-0.1759244|51.5556555
2094047984,,,,,,,,,,,,,,,,,,-0.1758933|51.555753
2094047991,,,,,,,,,,,,,,,,,,-0.1758562|51.5557557
2094047992,,,,,,,,,,,,,,,,,,-0.1759292|51.5557619
2094047993,,,,,,,,,,,,,,,,,,-0.1758864|51.555763
2095564920,,,,,,,,,,,,,,,,,,-0.1789|51.5557713
2095564922,,,,,,,,,,,,,,,,,,-0.1789066|51.5558129
2096222254,,,,,,,,,,main,,,,,,photograph,,-0.1759768|51.5556675
2100686046,,,,,,,,,,main,,,,,,photograph,,-0.1784254|51.5575299
2100686048,,,,,,,,,,,,,,,,,,-0.1785124|51.5575483
2100686049,,,,,,,,,,,,,,,,,,-0.1784388|51.55756
2629957454,Chapelle Jewellery,London,London Designer Outlet,"Unit 56, First Floor",HA9 0TG,Wembley Park Boulevard,,,,,1,,Mo-Sa 9:00-20:00; Su 11:00-17:00,+44 20 8903 1431,jewelry,,http://www.london-designer-outlet.com/brand-directory/chapelle,-0.2836824|51.5562519
3362338738,,,,,,,,,,,,,,,,,,-0.1472|51.6467538
3362338739,,,,,,,,,,,,,,,,,,-0.1474126|51.6467833
3362338740,,,,,,,,,,,,,,,,,,-0.1472257|51.6468118
5654602982,,,,,,,,,,,,,,,,,,-0.1738272|51.6301877
5762034748,Rockman,,,,,,,,,,,,,,jewelry,,,-0.247162|51.6145729
6553222071,Swarovski,,,,,,Swarovski,Q611115,en:Swarovski,,0,,,,jewelry,,,-0.2239182|51.5762675
6553222072,Ernest Jones,,,,,,Ernest Jones,Q5393358,en:Ernest Jones (retailer),,0,,,,jewelry,,,-0.2237788|51.5763192
6553257185,Glamrocks,,,,,,,,,,0,,,,jewelry,,,-0.223753|51.5764732
8942055107,G Mantella,,,,,,,,,,,Unknown if construction completed,,,jewelry,,,-0.201923|51.6551184
9426707483,,,,,,,,,,,,,,,,,,-0.1738016|51.6301937
9437838550,,,,,,,,,,,,,,,,,,-0.1787798|51.5557796
9437838551,,,,,,,,,,main,,,,,,photograph,,-0.1787835|51.5558007
9437838552,,,,,,,,,,,,,,,,,,-0.178787|51.5558201
9573479793,,,,,,,,,,,,,,,,,,-0.1473031|51.590801
9573479794,,,,,,,,,,,,,,,,,,-0.1474312|51.5906941
9573479796,,,,,,,,,,,,,,,,,,-0.1472674|51.5907845
9573479797,,,,,,,,,,,,,,,,,,-0.1473955|51.5906776
9573592775,,,,,,,,,,,,,,,,,,-0.1471164|51.5902173
9573592779,,,,,,,,,,,,,,,,,,-0.1470409|51.5902822
9573592787,,,,,,,,,,,,,,,,,,-0.1466823|51.5900223
9573592788,,,,,,,,,,,,,,,,,,-0.1467157|51.5900373
9573592790,,,,,,,,,,,,,,,,,,-0.1466068|51.5900872
9573592792,,,,,,,,,,,,,,,,,,-0.1466401|51.5901022
9573605517,,,,,,,,,,,,,,,,,,-0.1471832|51.5902473
9573605519,,,,,,,,,,,,,,,,,,-0.1471077|51.5903122
10172071563,Elements By Nature,,,,EN5 5XY,,,,,,,,,,jewelry,,,-0.2040237|51.6556873
10172071566,SP Moments,,,,EN5 5XY,,,,,,,,,,jewelry,,,-0.2040924|51.6556998
