osm_id,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,brand,brand:wikidata,check_date,dry_cleaning,leisure,level,note,opening_hours,phone,self_service,service,shop,source,sport,survey:date,toilets:wheelchair,website,wheelchair,geometry
410936569,Shannon Dry Cleaners,,,,,,,,,,,,,,,,,,laundry,,,,,,,-0.2157003|51.5568269
410949911,Express Dry Cleaners,London,,137,,Cricklewood Broadway,,,,,,,,,,,,,laundry,,,,,,,-0.2143139|51.5557118
410952463,Jena Laundrette & Dry Cleaning,,,121,,,,,,,,,,,,,,,laundry,,,,,,,-0.2138766|51.5553621
410952476,Connaught Dry Cleaners,,,118,,,,,,,,,,,,,,,laundry,,,,,,,-0.213386|51.5553306
842611077,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1360829|51.5623674
842611259,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1358989|51.5623292
842612078,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1360549|51.5624196
842612163,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1358709|51.5623815
931614808,Sun Dry Cleaners,London,,167,,Fortess Road,,,,,,,,specialist dry cleaning with a touch of class,,+44 20 7455 9954,,,laundry,,,,,,,-0.1386133|51.5568407
931621310,Tufnell Park Launderette,London,,145,NW5 2HR,Fortess Road,,,,,,,,,Mo-Su 08:30-20:00,,,,laundry,,,,,https://tufnellparklaunderette.com/,,-0.1390454|51.556247
1326745003,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1465661|51.5563508
1326745004,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1465275|51.5563094
1326745005,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1463985|51.5563533
1326745006,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146439|51.5563952
1326745036,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1466234|51.5562766
1326745043,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1466984|51.5562978
1326745045,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1465605|51.556345
1598083643,Jasmin Express,,,,,,,,,,,,,,,,,,laundry,,,,,,,-0.2090527|51.6528447
1598304272,The Cleaning Room,,,,,,,,,,,,,,,,,,laundry,,,,,,,-0.2149198|51.6470523
1631430650,Drycleaners and tailors,,,35,,Aylmer Parade,,,,,,,,,,,,,laundry,,,,,,,-0.1587032|51.5819396
1658255889,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1327809|51.5650597
1658255897,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1327609|51.5650794
1658255905,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1328322|51.5650776
1658255943,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1328124|51.5650976
2376007894,The Launderette Dry Cleaning and Ironing Centre Of Stanmore,,,,,,,,,,,,,,,,yes,,laundry,,,,,,,-0.3011956|51.6066701
2430158081,Legends,Wembley,GB,296,,Preston Road,,,,,,,,,,+44 20 8908 5989,,,laundry,survey;Bing 2012,,2013-08-17,,,,-0.2942825|51.5734303
2517463837,,Wembley,GB,208,,Preston Road,,,,,,,,,,+44 20 8904 0614,,,laundry,survey;Bing 2012,,2013-08-17,no,,yes,-0.2946252|51.5706902
4269007707,Evergreen,,,34,,North End Road,,,,,,,,,,,,,laundry,,,,,,,-0.1935328|51.5713317
4345562643,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2385665|51.5766757
4345562644,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2386025|51.5767114
4345562645,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2384558|51.5767189
4345562646,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2383818|51.5767477
4345562648,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2384917|51.5767545
4345562650,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2384177|51.5767834
4381516870,,,,,,,,,,,,,,,,,,,laundry,,,,,,,-0.2226577|51.6091607
4603423062,Beyond Move,,,9,,Cat Hill,,,,,,fitness_centre,,,,,,,laundry,,pilates,,,,,-0.1622267|51.6431249
4687847201,The Wash House,,,337,,Archway Road,,,,,,,,,,,no,,laundry,,,,,,,-0.146677|51.57733
4689762605,Highgate Dry Cleaners,,,246,,Archway Road,,,,,,,,,,,,,laundry,,,,,,,-0.141993|51.5746789
4691593764,Archway Dry Cleaners & Quality Shoe Repairs,,,194,,Archway Road,,,,,,,,,,,,,laundry,,,,,,,-0.1404445|51.5730566
5022667743,,,,,,,,,,,,,,,Mo-Su 07:00-20:00,,,,laundry,,,,,,,-0.263801|51.5972079
5064506300,Dry Cleaners,London,,223,N3 1NT,Nether Street,,,,,,,,,,,,key_cutting,laundry,,,,,,,-0.1887886|51.6093624
5762034699,Kelly's Laundrette,,,,,,,,,2023-01-22,,,0,,,,,,laundry,,,,,,,-0.2848995|51.5948345
6617849277,St James Launderette,,,,,,,,,,,,,,Mo-Su 08:00-19:00,,yes,,laundry,,,,,,yes,-0.1459193|51.5893026
8011454997,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1466664|51.5562618
9448291003,CleanzOne,,,146,,Colney Hatch Lane,,,,,yes,,,,Mo-Su 07:00-21:00,+44 20 8365 3344,yes,,laundry,,,,,,,-0.1469078|51.5993514
9573479813,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1478811|51.5911014
9573479814,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1480369|51.5909741
9573479815,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1479521|51.5911342
9573479816,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1481082|51.591007
9711873045,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1999853|51.5882173
9711873053,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2001421|51.5882189
9711873054,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2001431|51.5881805
9711873055,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1999864|51.5881789
9711873058,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2001197|51.5881803
10559413175,Wash R Us,,,,,East End Road,,,,,,,,,,,,,laundry,,,,,,,-0.1788553|51.5915728
10909996728,Revolution Laundry,,,,,,washing_machine,Revolution Laundry,Q113516904,,,,,,,,yes,,laundry,,,,,,,-0.2431508|51.5803472
11334870385,SupaClean Laundrette,,,89,,Dresden Road,,,,,,,,,,,,,laundry,,,,,,,-0.1332976|51.5707678
