osm_id,name,addr:city,addr:housenumber,addr:street,brand,brand:wikidata,shop,geometry
410949888,Cricklewood Locksmith,London,165,Cricklewood Broadway,,,locksmith,-0.2150514|51.5563426
842611173,,,,,,,,-0.1362195|51.5621191
842611235,,,,,,,,-0.1360773|51.5620882
842611457,,,,,,,,-0.1362467|51.5620706
842611700,,,,,,,,-0.136101|51.5620418
2328776470,,,,,,,,-0.1432971|51.592034
2328776473,,,,,,,,-0.1431895|51.5920573
2328776474,,,,,,,,-0.1433171|51.5920771
2328776475,,,,,,,,-0.1432035|51.5920969
3362338753,,,,,,,,-0.1476439|51.6471637
3362338754,,,,,,,,-0.1473738|51.6472028
3362338755,,,,,,,,-0.1476596|51.6472133
3362338756,,,,,,,,-0.1473888|51.6472532
4894490338,,,,,,,,-0.1481529|51.5778656
4894490341,,,,,,,,-0.1480967|51.5778419
4894505391,,,,,,,,-0.1480777|51.5779351
5226344381,,,,,,,,-0.1479977|51.5779329
5226344383,,,,,,,,-0.1480533|51.5779596
5749897920,,,,,,,locksmith,-0.2476295|51.6146233
11793854435,Timpson,,,,Timpson,Q7807658,locksmith,-0.2698618|51.6559521
