osm_id,door,entrance,wheelchair,geometry
245803277,,,,-0.276239|51.6132888
245803278,,,,-0.27559|51.6129925
245803279,,,,-0.2754389|51.6131105
245803281,,,,-0.2747713|51.6128066
245803282,,,,-0.2748897|51.612714
245803283,,,,-0.2742142|51.612399
245803284,,,,-0.2749154|51.6117956
245803285,,,,-0.2752432|51.6116715
245803286,,,,-0.2756866|51.6112888
245803287,,,,-0.2764527|51.6116384
245803288,,,,-0.2762343|51.6118536
245803289,,,,-0.2756709|51.612429
245803290,,,,-0.2766459|51.6129032
245803291,,,,-0.2763306|51.6131299
245803292,,,,-0.2763465|51.6132118
268224522,,,,-0.2038211|51.6556296
268224529,,,,-0.2038782|51.6555061
268224530,,,,-0.2038157|51.655495
268224532,,,,-0.2032076|51.6557429
268224533,,,,-0.2028978|51.655688
268224534,,,,-0.2028344|51.6558255
268224535,,,,-0.2024068|51.6557496
268224536,,,,-0.2024577|51.6554547
268224537,,,,-0.2023747|51.6554397
268224538,,,,-0.2023533|51.6553574
268224539,,,,-0.2019279|51.6553525
268224540,,,,-0.2019149|51.6551468
268224541,,,,-0.2023465|51.6551448
268224542,,,,-0.2023933|51.65504
268224543,,,,-0.2038298|51.6554644
276213182,,,,-0.2030971|51.6559902
1380219019,,,,-0.2040405|51.6558958
1600445138,,,,-0.20211|51.6551426
1600449067,,,,-0.2023956|51.6553947
1600449069,,,,-0.2031101|51.655962
1600449071,,,,-0.202603|51.6551376
1600449073,,,,-0.2031783|51.6558063
1600449081,,,,-0.2025437|51.6550659
1600449082,,,,-0.2029427|51.6557645
1600449083,,,,-0.2028712|51.6559196
1600452913,,,,-0.2022245|51.6553639
1600452920,,,,-0.2019476|51.6553774
1977288132,,,,-0.2766378|51.6128597
1977288147,,,,-0.2760064|51.6121717
1977288153,,,,-0.2761397|51.6120256
1977288155,,,,-0.2748493|51.6117645
1977288182,,,,-0.2749633|51.6116704
1977288195,,,,-0.2749978|51.6116924
1977288199,,,,-0.2764291|51.6130489
1977288228,,,,-0.2764864|51.6130451
1977307413,,main,,-0.27484|51.6126905
2106179456,,,,-0.2218012|51.5768468
2106179459,,,,-0.221662|51.5766766
2106179464,,,,-0.223016|51.5773374
2106179467,,,,-0.2214376|51.5763268
2106179469,,,,-0.223123|51.5774681
2106179472,,,,-0.2238331|51.5773522
2106179474,,,,-0.2243563|51.5755282
2106179479,,,,-0.2229421|51.5773608
2106179482,,,,-0.2244905|51.5754529
2106179497,,,,-0.2241785|51.5768347
2106179515,,,,-0.2237411|51.5757602
2106179518,,,,-0.2251308|51.576763
2106179520,,,,-0.2224963|51.5759695
2106179524,,,,-0.2258922|51.5761609
2106179527,,,,-0.2235983|51.575805
2106179530,,,,-0.2260661|51.5761601
2106179534,,,,-0.2233699|51.5770356
2106179537,,,,-0.2243817|51.5755595
2106179539,,,,-0.2233863|51.5771891
