osm_id,name,access,addr:city,addr:country,addr:postcode,addr:street,addr:suburb,alt_name,amenity,backrest,bin,building:levels,defibrillator:location,description,emergency,entrance,fare_zone,fee,indoor,internet_access,internet_access:fee,layer,level,line,name:ja,name:ru,naptan:AtcoCode,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,network,network:subway,network:train,network:website,network:wikidata,note:wheelchair,old_name,operator,operator:wikidata,platforms,public_transport,railway,ref,ref:crs,ref:stanox,ref:tiploc,shelter_type,source,source:network,source_ref,start_date,station,subway,survey:date,toilets,toilets:disposal,toilets:wheelchair,train,unisex,website,wheelchair,wheelchair:description,wikidata,wikipedia,geometry
2013971,Finchley Central,,,,,,,,,,,,,,,,4,,,,,,,Northern,,,940GZZLUFYC,,,,,London Underground,,,,,,Finchley (Church End),,,,station,station,,,,,,,,,,subway,yes,,,,,,,,yes,,Q1416721,en:Finchley Central tube station,-0.192318|51.6008355
13884199,Mill Hill Broadway,,,,,,,Mill Hill Broadway Rail Station,,,,,,,,,,,,,,,,,,,9100MLHB,,,,,National Rail,,,https://www.nationalrail.co.uk/stations/mil/,Q26334,,,Thameslink,,,station,station,,MIL,,,,GPS waypoint,,,1868-07-13,,,,,,no,,,,no,,Q2396825,en:Mill Hill Broadway railway station,-0.2488001|51.6126689
21141346,North Wembley,,,,,,,,,,,,,,,,4,,,,,,,Bakerloo,,,9100NWEMBLY,,,,,London Underground;London Overground,London Overground,London Overground,https://www.nationalrail.co.uk/stations/nwb/,Q26334,,,Transport for London,,,station,station,,NWB,72010,NWEMBLY,,NPE,Sign,http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations,,subway,yes,,,,,,,,no,,Q730267,en:North Wembley station,-0.3038698|51.5624017
43450256,Hendon,,,,,,,,,,,,,,,,,,,wlan,customers,,,,,,9100HDON,,,,,National Rail,,,https://www.nationalrail.co.uk/stations/hen/,Q26334,,,Thameslink,,,station,station,,HEN,,,,NPE;local knowledge,,http://en.wikipedia.org/wiki/List_of_London_railway_stations,1868-07-13,,,,,,,yes,,,limited,Step-free southbound only. Access from platform to train by manual boarding ramp.,Q2047351,en:Hendon railway station,-0.2388805|51.5802174
182117639,Gospel Oak Platform 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stop_position,stop,1,,,,,,,,,,,,,,,yes,,,,,,,-0.1518572|51.5555452
469760990,Wembley Park,,,,,,,,,,,,,,,,4,,,,,,,Metropolitan;Jubilee,,,490000257374,N,Wembley Park,86374,no,London Underground,,,,,,,Transport for London,,,station,station,,ZWY,,,,naptan_import;survey,,,,subway,yes,2013-08-23,,,,,,,yes,,Q956849,en:Wembley Park tube station,-0.2800532|51.5636297
618860761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1296768|51.5637743
622958460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1525963|51.5556583
622958550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1516152|51.5552946
641843831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1291461|51.5636028
641843898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1296335|51.56329
1304054853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.194345|51.5720735
1304054855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1946026|51.5721579
1389887370,Archway,,,,,,,,,,,,,,,,2;3,,,,,,,Northern,,Арчвей,940GZZLUACY,,,,,London Underground,,,,,,,London Underground,,,station,station,,,,,,,,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,,subway,yes,,,,,,,,no,,Q636351,en:Archway tube station,-0.1349977|51.5654371
1422925294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subway_entrance,,,,,,,,,,,,,,,,,,,,,,,-0.1944435|51.5721058
1638039854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1295876|51.5637366
1651504140,Arnos Grove,,,,,,,,,,,,,,,,4,,,,,,,Piccadilly,,,940GZZLUASG,,,,,London Underground,,,,,,,London Underground,,2,station,station,,,,,,,,,,subway,yes,,,,,,,,no,,Q697151,en:Arnos Grove tube station,-0.1332873|51.6164024
1670707933,East Finchley,,,,,,,,,,,,,,,,3,,,,,,,Northern,,Ист-Финчли,940GZZLUEFY,,,,,London Underground,,,,,,,,,,station,station,,,,,,,,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,,subway,yes,,,,,,,,no,,Q1277850,en:East Finchley tube station,-0.1648137|51.5871881
1670707949,Highgate,,,,,,,,,,,,,,,,3,,,,,-3,,Northern,,Хайгейт,940GZZLUHGT,,,,,London Underground,,,,,,,,,,station,station,,,,,,,,,,subway,yes,,,,,,,,no,,Q617824,en:Highgate tube station,-0.1458316|51.5776825
1670707975,Tufnell Park,,,,,,,,,,,,,,,,2,,,,,,,Northern,,Тафнелл-парк,940GZZLUTFP,,,,,London Underground,,,,,,,London Underground,,,station,station,,,,,,,,,,subway,yes,,,,,,,,no,,Q1780856,en:Tufnell Park tube station,-0.138457|51.5568005
1678368302,Hendon Central,,,,,,,,,,,,,,,,3;4,,,,,,,Northern,,Хэндон-сентрал,940GZZLUHCL,,,,,London Underground,,,,,,,,,,station,station,,,,,,,,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,,subway,yes,,,,,,,,yes,,Q1308799,en:Hendon Central tube station,-0.2265541|51.5834006
1687814967,High Barnet,,,,,,,,,,,,,,,,5,,,,,,,Northern,,,940GZZLUHBT,,,,,London Underground,,,,Q20075,,,Transport for London,Q682520,2,station,station,,ZHB,,,,,,,,subway,yes,,,,,,,,yes,Step-free access street to train,Q671034,en:High Barnet tube station,-0.1938826|51.650399
